#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -455119.3481978815 18.1784358349978
10 60 -5 -4 0.5 1 91999.08978218178 4.091841470028157
10 60 -5 -4 1 1.5 90642.97075268152 3.240801721825846
10 60 -5 -4 1.5 2 71091.40308341112 2.438341585046146
10 60 -5 -4 2 2.5 55989.26019147838 1.880709784811188
10 60 -5 -4 2.5 3 45023.16406465114 1.473974061416811
10 60 -5 -4 3 3.5 36928.93046705885 1.165474762121448
10 60 -5 -4 3.5 4 30798.23411046109 0.925021697232296
10 60 -5 -4 4 4.5 26039.06997859537 0.7371773624145135
10 60 -5 -4 4.5 5 22264.19113865494 0.7022103049384896
10 60 -5 -4 5 5.5 19214.54294305097 0.4693667839201225
10 60 -5 -4 5.5 6 16712.01261817594 0.5750835961916891
10 60 -5 -4 6 6.5 14631.07230057042 0.3084890691479814
10 60 -5 -4 6.5 7 12881.06253549713 0.2522244626670727
10 60 -5 -4 7 7.5 11395.15543091314 0.2083629772350832
10 60 -5 -4 7.5 8 10123.04877769378 0.1736089885125693
10 60 -5 -4 8 8.5 9026.210082779349 0.1454363371849468
10 60 -5 -4 8.5 9 8074.638802724932 0.1229053768365702
10 60 -5 -4 9 9.5 7244.634420899304 0.1039357518429824
10 60 -5 -4 9.5 10 6517.225163712198 0.08815446749667899
10 60 -5 -4 10 10.5 5877.044446037847 0.07599665108227782
10 60 -5 -4 10.5 11 5311.513692712042 0.0655304974388855
10 60 -5 -4 11 11.5 4810.238117458253 0.2156674399402618
10 60 -5 -4 11.5 12 4364.555358279467 0.1584833807537507
10 60 -5 -4 12 12.5 3967.191508957636 0.1131427997561332
10 60 -5 -4 12.5 13 3611.998764487952 0.07744340475392164
10 60 -5 -4 13 13.5 3293.748373062876 0.04936615487258678
10 60 -5 -4 13.5 14 3007.970142586507 0.02944685426427895
10 60 -5 -4 14 14.5 2750.824536386257 0.02612955672202588
10 60 -5 -4 14.5 15 2518.997467189417 0.02272481163026896
10 60 -5 -4 15 16 4429.806000922176 0.1353719823546271
10 60 -5 -4 16 17 3741.271836380573 0.03155513111096298
10 60 -5 -4 17 18 3173.406462339413 0.02567002087698711
10 60 -5 -4 18 19 2702.429906618576 0.02070937597454758
10 60 -5 -4 19 20 2309.803825886082 0.01741681668227102
10 60 -5 -4 20 21 1980.946908301058 0.01459241116117482
10 60 -5 -4 21 22 1704.297772742394 0.01350288970343172
10 60 -5 -4 22 23 1470.62494077529 0.01444729023273794
10 60 -5 -4 23 24 1272.505230354209 0.0146446061687584
10 60 -5 -4 24 25 1103.935544159715 0.0136213222688184
10 60 -5 -4 25 26 960.0336450087116 0.01261090689899902
10 60 -5 -4 26 27 836.809055919182 0.01180443497059969
10 60 -5 -4 27 28 730.9831573139967 0.01146415625737518
10 60 -5 -4 28 29 639.8479229738105 0.01140517916564932
10 60 -5 -4 29 30 561.1597845627325 0.01077592709475539
10 60 -5 -4 30 31 493.052781602098 0.01027132295473621
10 60 -5 -4 31 32 433.9674270622298 0.009692583979074243
10 60 -5 -4 32 33 382.5955532746562 0.008820507899486074
10 60 -5 -4 33 34 337.8365317493764 0.008143190807572864
10 60 -5 -4 34 35 298.7615722894297 0.007647422516981806
10 60 -5 -4 35 36 264.5843839142759 0.007042951180949331
10 60 -5 -4 36 37 234.6372706141125 0.006170671027717844
10 60 -5 -4 37 38 208.3516642689505 0.005598638891001428
10 60 -5 -4 38 39 185.2423824781794 0.005204403666795088
10 60 -5 -4 39 40 164.8985002250774 0.007698485472644734
10 60 -5 -4 40 42 278.0497850765443 0.007515319071899285
10 60 -5 -4 42 44 221.7611960618494 0.005270567957865069
10 60 -5 -4 44 46 177.5761174174567 0.003648797025590511
10 60 -5 -4 46 48 142.7219731344195 0.001799727336702972
10 60 -5 -4 48 50 115.1036190215216 0.000667134673889791
10 60 -5 -4 50 52 93.12645639221304 0.001140102256002251
10 60 -5 -4 52 54 75.57061032056178 0.002575301444068145
10 60 -5 -4 54 56 61.49467848475803 0.0003558026462826547
10 60 -5 -4 56 58 50.17040621787547 0.0002896877995652858
10 60 -5 -4 58 60 41.0306617591929 0.0002371341517530823
10 60 -5 -4 60 65 73.17473401469711 0.0004244790528389331
10 60 -5 -4 65 70 45.04374900043685 0.0002621427872568916
10 60 -5 -4 70 80 45.58761567202749 0.0009342628054582747
10 60 -5 -4 80 90 18.12736738795299 0.0004386443722026456
10 60 -5 -4 90 100 7.328346850864278 0.0002093986085878186
10 60 -4 -3.5 0 0.5 -306982.466891541 5.408423314220272
10 60 -4 -3.5 0.5 1 37341.83575370964 0.03639094151003519
10 60 -4 -3.5 1 1.5 46255.06787535908 1.984214014977624
10 60 -4 -3.5 1.5 2 38051.7856936751 1.400855290979962
10 60 -4 -3.5 2 2.5 30696.87733789623 1.032569361079368
10 60 -4 -3.5 2.5 3 25076.37334633837 0.8091853071382502
10 60 -4 -3.5 3 3.5 20812.4367493112 0.6487968991714297
10 60 -4 -3.5 3.5 4 17525.06771540789 0.515139577237278
10 60 -4 -3.5 4 4.5 14940.47460248428 0.4083115243938664
10 60 -4 -3.5 4.5 5 12870.38238384226 0.3237104560157604
10 60 -4 -3.5 5 5.5 11184.8464376699 0.2599348174626357
10 60 -4 -3.5 5.5 6 9792.661825715526 0.2119145404540177
10 60 -4 -3.5 6 6.5 8628.509229626925 0.1732668536187703
10 60 -4 -3.5 6.5 7 7644.65628093979 0.1425851154162956
10 60 -4 -3.5 7 7.5 6805.541271685583 0.1187776300457699
10 60 -4 -3.5 7.5 8 6084.18745252131 0.0996264403074747
10 60 -4 -3.5 8 8.5 5459.786041254136 0.0836080710951137
10 60 -4 -3.5 8.5 9 4916.042608858019 0.07028247334801563
10 60 -4 -3.5 9 9.5 4440.019346573239 0.05924443438470917
10 60 -4 -3.5 9.5 10 4021.314179901204 0.05036940112177035
10 60 -4 -3.5 10 10.5 3651.470363444292 0.04616556330392996
10 60 -4 -3.5 10.5 11 3323.543452949737 0.04276398050524222
10 60 -4 -3.5 11 11.5 3031.777991923761 0.1370708039335113
