#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -492461.0628527619 8.582709333568346
10 60 -5 -4 0.5 1 72948.9643689128 3.36628652397485
10 60 -5 -4 1 1.5 82168.33152839099 3.166336560272612
10 60 -5 -4 1.5 2 66376.57905801632 2.520621920833946
10 60 -5 -4 2 2.5 53116.2781405202 2.012520754142315
10 60 -5 -4 2.5 3 43200.22891840574 1.624155004326894
10 60 -5 -4 3 3.5 35759.95926732145 1.321070411831897
10 60 -5 -4 3.5 4 30060.35381852573 1.079266141241533
10 60 -5 -4 4 4.5 25596.44268021364 0.8871743007766781
10 60 -5 -4 4.5 5 22029.10916897438 0.7292552525213978
10 60 -5 -4 5 5.5 19127.85134460027 0.6040604916597658
10 60 -5 -4 5.5 6 16732.45399500778 0.5903976868721657
10 60 -5 -4 6 6.5 14729.10816705087 0.4279424275828205
10 60 -5 -4 6.5 7 13035.10505546187 0.3626700564855128
10 60 -5 -4 7 7.5 11589.17034426479 0.3086406126294605
10 60 -5 -4 7.5 8 10344.9835057272 0.2639831974374829
10 60 -5 -4 8 8.5 9266.924645132651 0.2268075467509334
10 60 -5 -4 8.5 9 8327.161875317584 0.1954452836653218
10 60 -5 -4 9 9.5 7503.634089131115 0.1686302498756049
10 60 -5 -4 9.5 10 6778.620976058906 0.1462086370347606
10 60 -5 -4 10 10.5 6137.7220690105 0.1284395968614263
10 60 -5 -4 10.5 11 5569.11060538688 0.1126417838613634
10 60 -5 -4 11 11.5 5062.979475702391 0.09785535996525141
10 60 -5 -4 11.5 12 4611.127595640966 0.2086904749348832
10 60 -5 -4 12 12.5 4206.644455171486 0.1581878798169782
10 60 -5 -4 12.5 13 3843.668999178389 0.1177070160465519
10 60 -5 -4 13 13.5 3517.198318197351 0.08522957652894547
10 60 -5 -4 13.5 14 3222.939871130795 0.05912814771909325
10 60 -5 -4 14 14.5 2957.19358839758 0.0479240431600374
10 60 -5 -4 14.5 15 2716.754139088904 0.04221242914582035
10 60 -5 -4 15 16 4799.836768251891 0.07197932903181936
10 60 -5 -4 16 17 4078.471234881296 0.09814014782705272
10 60 -5 -4 17 18 3479.638371287461 0.1720796429040092
10 60 -5 -4 18 19 2979.858811064112 0.03887093482626369
10 60 -5 -4 19 20 2560.703803638294 0.03259811249836275
10 60 -5 -4 20 21 2207.582578164298 0.02717549705130295
10 60 -5 -4 21 22 1908.852723757502 0.02249445547886353
10 60 -5 -4 22 23 1655.160355739708 0.01906698457582934
10 60 -5 -4 23 24 1438.938010420402 0.01611161131427252
10 60 -5 -4 24 25 1254.030586845479 0.01443226675996812
10 60 -5 -4 25 26 1095.403714006123 0.01357156105132162
10 60 -5 -4 26 27 958.9203331757232 0.0127111002456104
10 60 -5 -4 27 28 841.163206283817 0.01244550917613196
10 60 -5 -4 28 29 739.294618528034 0.01259728422201079
10 60 -5 -4 29 30 650.9522553216131 0.01208851010983381
10 60 -5 -4 30 31 574.1617759133741 0.01175814826945043
10 60 -5 -4 31 32 507.2649976448878 0.01125577505399633
10 60 -5 -4 32 33 448.8646286909497 0.01024981774969547
10 60 -5 -4 33 34 397.779582653558 0.009524604174885098
10 60 -5 -4 34 35 353.0087054099993 0.009081584929674591
10 60 -5 -4 35 36 313.700966834348 0.008479864439721041
