#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -972111.649151488 13.13003344798926
10 60 -5 -4 0.5 1 31304.34571642876 0.2316477394051617
10 60 -5 -4 1 1.5 82217.68066832027 3.617119996328256
10 60 -5 -4 1.5 2 72707.90075280119 2.96112319342501
10 60 -5 -4 2 2.5 60174.04168610355 2.374773346360598
10 60 -5 -4 2.5 3 49750.1983998436 1.906092801786144
10 60 -5 -4 3 3.5 41549.77261141202 1.534049611043883
10 60 -5 -4 3.5 4 35101.59602487729 1.235800214650226
10 60 -5 -4 4 4.5 29970.0032429819 0.9988004946135334
10 60 -5 -4 4.5 5 25826.44994511045 0.8105086177129124
10 60 -5 -4 5 5.5 22433.10474816357 0.653135225551523
10 60 -5 -4 5.5 6 19618.37137158755 0.5334821253818518
10 60 -5 -4 6 6.5 17256.92901840306 0.7970572750164138
10 60 -5 -4 6.5 7 15256.09440986963 0.3638104816018313
10 60 -5 -4 7 7.5 13546.13030486406 0.3033202699389221
10 60 -5 -4 7.5 8 12073.82225724683 0.2547549684622936
10 60 -5 -4 8 8.5 10797.88891917771 0.2149605984450318
10 60 -5 -4 8.5 9 9685.859021072332 0.1825641257673851
10 60 -5 -4 9 9.5 8711.853726651272 0.1550867952755652
10 60 -5 -4 9.5 10 7854.996324816149 0.1321639974003119
10 60 -5 -4 10 10.5 7098.259641090411 0.1144274609832792
10 60 -5 -4 10.5 11 6427.6172728505 0.09904460374400514
10 60 -5 -4 11 11.5 5831.410037594492 0.0849764084950948
10 60 -5 -4 11.5 12 5299.868773016026 0.2306540669851529
10 60 -5 -4 12 12.5 4824.748050919466 0.1703552611697887
10 60 -5 -4 12.5 13 4399.045741200906 0.1224512312701336
10 60 -5 -4 13 13.5 4016.77920678685 0.08439493148944166
10 60 -5 -4 13.5 14 3672.811929598042 0.05414640024855544
10 60 -5 -4 14 14.5 3362.714472141214 0.0401201584077171
10 60 -5 -4 14.5 15 3082.648746027873 0.03502183779892221
10 60 -5 -4 15 16 5428.966203506239 0.06620336643754854
10 60 -5 -4 16 17 4593.310593610903 0.2018776751419864
10 60 -5 -4 17 18 3902.252146450727 0.03969237774572321
10 60 -5 -4 18 19 3327.737953310619 0.03209514935042534
10 60 -5 -4 19 20 2847.787384742115 0.02699957014738175
10 60 -5 -4 20 21 2445.033348302294 0.02257719036924755
10 60 -5 -4 21 22 2105.649772131907 0.01868779607275428
10 60 -5 -4 22 23 1818.557113971659 0.01702510442783023
10 60 -5 -4 23 24 1574.816484955601 0.0176277942221077
10 60 -5 -4 24 25 1367.177887146938 0.01641888807694158
10 60 -5 -4 25 26 1189.729352822887 0.01522142504904878
10 60 -5 -4 26 27 1037.627443784634 0.01429408185413195
10 60 -5 -4 27 28 906.8840519840107 0.01402091999034383
10 60 -5 -4 28 29 794.1980527884643 0.01413604647609645
10 60 -5 -4 29 30 696.8298611868186 0.01338181428627649
10 60 -5 -4 30 31 612.4975423471498 0.01279394778805454
10 60 -5 -4 31 32 539.2909620867327 0.01213163947397788
10 60 -5 -4 32 33 475.6054290517299 0.01105085760849533
10 60 -5 -4 33 34 420.089116669204 0.01023695087371834
10 60 -5 -4 34 35 371.6000024192533 0.009691953051628843
10 60 -5 -4 35 36 329.1702731694474 0.008968955319971883
10 60 -5 -4 36 37 291.9772754224065 0.007837178528518507
10 60 -5 -4 37 38 259.319821576533 0.007134234957561603
10 60 -5 -4 38 39 230.5991565460333 0.006685595046832304
10 60 -5 -4 39 40 205.3016763291871 0.006270031830069911
10 60 -5 -4 40 42 346.2602253834468 0.009700727038534751
10 60 -5 -4 42 44 276.2293448653856 0.006768222202197194
10 60 -5 -4 44 46 221.2341315577823 0.004724473747330649
10 60 -5 -4 46 48 177.8376200638509 0.002327626059297927
10 60 -5 -4 48 50 143.4403314096227 0.001035088913909021
10 60 -5 -4 50 52 116.0621864795296 0.001403439487361879
10 60 -5 -4 52 54 94.1877346166723 0.00328035029068019
10 60 -5 -4 54 56 76.64640508893729 0.0005516060594175087
10 60 -5 -4 56 58 62.53242326329842 0.0004490499095268774
10 60 -5 -4 58 60 51.14005849850934 0.0003674477129393949
10 60 -5 -4 60 65 91.19858206785675 0.0006573583763014312
10 60 -5 -4 65 70 56.12994561585695 0.0004057105865200583
10 60 -5 -4 70 80 56.79001122709874 0.001166238528199415
10 60 -5 -4 80 90 22.57004840765633 0.0005486538123165019
10 60 -5 -4 90 100 9.119842239839906 0.000263564846063602
10 60 -4 -3.5 0 0.5 -618115.080956064 7.348391669103876
10 60 -4 -3.5 0.5 1 -4161.318320551275 0.1846976009865102
10 60 -4 -3.5 1 1.5 38615.91109435473 0.589152613953047
10 60 -4 -3.5 1.5 2 37457.96566826085 1.681830040091882
10 60 -4 -3.5 2 2.5 32164.57805631735 1.2877659618498
10 60 -4 -3.5 2.5 3 27172.64943377595 1.038321077856381
10 60 -4 -3.5 3 3.5 23037.83709680845 0.8511722870753147
10 60 -4 -3.5 3.5 4 19690.62050263493 0.686973221032531
10 60 -4 -3.5 4 4.5 16975.41349599456 0.5519036330442759
10 60 -4 -3.5 4.5 5 14752.59505131648 0.4429157574395504
10 60 -4 -3.5 5 5.5 12912.95782409502 0.3598549902580999
10 60 -4 -3.5 5.5 6 11374.02859125986 0.2967957219680102
10 60 -4 -3.5 6 6.5 10073.82962007516 0.2453577629275969
10 60 -4 -3.5 6.5 7 8965.507419112757 0.2039304414302023
10 60 -4 -3.5 7 7.5 8013.263644710597 0.1713684134729192
10 60 -4 -3.5 7.5 8 7189.407415889362 0.1448113264932545
10 60 -4 -3.5 8 8.5 6472.242582044811 0.1224173572127256
10 60 -4 -3.5 8.5 9 5844.560807909304 0.1035949129045548
10 60 -4 -3.5 9 9.5 5292.549255081793 0.08782463518218719
10 60 -4 -3.5 9.5 10 4804.997135864032 0.07507350412288361
10 60 -4 -3.5 10 10.5 4372.714469410598 0.06462351150730683
10 60 -4 -3.5 10.5 11 3988.098412180339 0.05578488223409295
10 60 -4 -3.5 11 11.5 3644.804737140761 0.048826369301878
10 60 -4 -3.5 11.5 12 3337.500001808661 0.1482515516108833
10 60 -4 -3.5 12 12.5 3061.67198674685 0.1143135527258892
10 60 -4 -3.5 12.5 13 2813.478677435413 0.08708208940379336
10 60 -4 -3.5 13 13.5 2589.631248864629 0.06527294451052512
10 60 -4 -3.5 13.5 14 2387.300543333533 0.04786990290813264
10 60 -4 -3.5 14 14.5 2204.041340499209 0.03394268034162451
10 60 -4 -3.5 14.5 15 2037.732695397379 0.0237749355349024
10 60 -4 -3.5 15 16 3635.340680852192 0.08423755263129351
10 60 -4 -3.5 16 17 3131.540563635919 0.03215160077661494
10 60 -4 -3.5 17 18 2710.291867382148 0.05585202874817696
10 60 -4 -3.5 18 19 2355.969336060705 0.08561720758734737
10 60 -4 -3.5 19 20 2056.296527960782 0.1006757524087334
10 60 -4 -3.5 20 21 1801.543790466683 0.01436157268790339
10 60 -4 -3.5 21 22 1583.940515560528 0.0123107401955167
10 60 -4 -3.5 22 23 1397.23644441791 0.0105538119260018
10 60 -4 -3.5 23 24 1236.369660027825 0.009144785386752119
10 60 -4 -3.5 24 25 1097.217230378928 0.007908609986998272
10 60 -4 -3.5 25 26 976.3998220527045 0.007189972551145729
10 60 -4 -3.5 26 27 871.1333161900168 0.008856397565409679
10 60 -4 -3.5 27 28 779.1109417400536 0.009753612845315729
10 60 -4 -3.5 28 29 698.4141369064487 0.01038574968242756
10 60 -4 -3.5 29 30 627.4388551369874 0.01099484195901823
10 60 -4 -3.5 30 31 564.838282247277 0.01165456753892613
10 60 -4 -3.5 31 32 509.4769979175625 0.01254683771418286
10 60 -4 -3.5 32 33 460.3937286547439 0.0135279490939979
10 60 -4 -3.5 33 34 416.7715135391045 0.01437488001261045
10 60 -4 -3.5 34 35 377.9138761213185 0.01492719895793471
10 60 -4 -3.5 35 36 343.2245857475758 0.01522844325575079
10 60 -4 -3.5 36 37 312.1920509963908 0.01529887177491673
10 60 -4 -3.5 37 38 284.3759965359118 0.001768952344832542
10 60 -4 -3.5 38 39 259.3957520614036 0.001604240249832856
10 60 -4 -3.5 39 40 236.921401385979 0.001458213223827443
10 60 -4 -3.5 40 42 415.0489546590267 0.002539028293085721
10 60 -4 -3.5 42 44 348.7297302151977 0.002117677512501359
10 60 -4 -3.5 44 46 294.2787575755627 0.001776636753959338
10 60 -4 -3.5 46 48 249.3209462707036 0.001499079210134369
10 60 -4 -3.5 48 50 212.0086836003683 0.001270157921823056
10 60 -4 -3.5 50 52 180.8936043915233 0.001081441675552242
