#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -209914.0428898669 6.664431941346265
10 60 -5 -4 0.5 1 103177.2062768042 3.502305881935172
10 60 -5 -4 1 1.5 83705.57651357718 2.701350968607585
10 60 -5 -4 1.5 2 62906.94731831572 2.040093989300658
10 60 -5 -4 2 2.5 48659.36782458447 1.586852025233384
10 60 -5 -4 2.5 3 38773.31537709285 1.260040661669336
10 60 -5 -4 3 3.5 31647.95542051129 1.013140598664904
10 60 -5 -4 3.5 4 26327.90374792159 0.8201394886527851
10 60 -5 -4 4 4.5 22236.01283525837 0.6677256468028645
10 60 -5 -4 4.5 5 19010.43413566355 0.5453292107995367
10 60 -5 -4 5 5.5 16415.31024462609 0.5581604375438474
10 60 -5 -4 5.5 6 14291.6148669627 0.3752297998507856
10 60 -5 -4 6 6.5 12528.70413660778 0.3148682889532211
10 60 -5 -4 6.5 7 11047.59709220521 0.2659389630644
10 60 -5 -4 7 7.5 9790.487586498659 0.225656107373652
10 60 -5 -4 7.5 8 8714.16923298363 0.1924372117609892
10 60 -5 -4 8 8.5 7785.724272666487 0.1648628034909052
10 60 -5 -4 8.5 9 6979.639137892041 0.1417625018520994
10 60 -5 -4 9 9.5 6275.834444244236 0.122067465078544
10 60 -5 -4 9.5 10 5658.286139881486 0.1056174641043981
10 60 -5 -4 10 10.5 5114.048998276394 0.0925953312571437
10 60 -5 -4 10.5 11 4632.549388491704 0.08106277067327028
10 60 -5 -4 11 11.5 4205.064161324156 0.1985201661718747
10 60 -5 -4 11.5 12 3824.333543683472 0.1501795195549676
10 60 -5 -4 12 12.5 3484.26781031174 0.1114417857761509
10 60 -5 -4 12.5 13 3179.723677464896 0.08058811540786337
10 60 -5 -4 13 13.5 2906.328606012051 0.05601159959360302
10 60 -5 -4 13.5 14 2660.344968499182 0.03834503504822351
10 60 -5 -4 14 14.5 2438.562270871866 0.03408688505533064
10 60 -5 -4 14.5 15 2238.208746748514 0.02996120622492526
10 60 -5 -4 15 16 3939.758048724278 0.1359166348402141
10 60 -5 -4 16 17 3350.658869752587 0.1253538993637449
10 60 -5 -4 17 18 2854.791587652651 0.03389364663462402
10 60 -5 -4 18 19 2441.792195196089 0.02731849189240165
10 60 -5 -4 19 20 2096.047628232473 0.02286427056287721
10 60 -5 -4 20 21 1805.244509577141 0.0190433889911219
10 60 -5 -4 21 22 1559.591807977757 0.0157022929734012
10 60 -5 -4 22 23 1351.247418872025 0.01328774139210509
10 60 -5 -4 23 24 1173.885019820297 0.01286734422274094
10 60 -5 -4 24 25 1022.371880424914 0.01216936413663916
10 60 -5 -4 25 26 892.5194258129226 0.0114481419917638
10 60 -5 -4 26 27 780.8925612328122 0.01073206816124639
10 60 -5 -4 27 28 684.6592097222115 0.0104490295617552
10 60 -5 -4 28 29 601.4719351512642 0.01046322227284691
10 60 -5 -4 29 30 529.3794137456227 0.0100114378805074
10 60 -5 -4 30 31 466.7529687655841 0.009685068379951645
10 60 -5 -4 31 32 412.2266012625429 0.009227104417959708
10 60 -5 -4 32 33 364.6506789427003 0.008416037543383936
10 60 -5 -4 33 34 323.054553087329 0.007812668577514614
10 60 -5 -4 34 35 286.1237297831397 0.008206706145074349
10 60 -5 -4 35 36 254.6377435599194 0.00688963689594857
10 60 -5 -4 36 37 226.5240918455671 0.006164160513918659
10 60 -5 -4 37 38 201.7670834718017 0.005682255781579215
10 60 -5 -4 38 39 179.9316623197347 0.005326061409419935
10 60 -5 -4 39 40 160.6437104574626 0.004958196614040844
10 60 -5 -4 40 42 272.0474011224275 0.007865405947597992
10 60 -5 -4 42 44 218.2099433980337 0.005801403256498361
10 60 -5 -4 44 46 175.6978426553846 0.004233541341932323
10 60 -5 -4 46 48 141.970023844872 0.00243527854948411
10 60 -5 -4 48 50 115.0943147104734 0.001019134224605978
10 60 -5 -4 50 52 93.591638726025 0.0006608169455262214
10 60 -5 -4 52 54 76.32369000092265 0.001927511167110652
10 60 -5 -4 54 56 62.40720146054067 0.002678476972434396
10 60 -5 -4 56 58 51.15470474637254 0.0003588229273105981
10 60 -5 -4 58 60 42.02838610126464 0.0002947532787302976
10 60 -5 -4 60 65 75.51306628804527 0.0005311772809903914
10 60 -5 -4 65 70 46.98659292460656 0.0003324122551617847
10 60 -5 -4 70 80 48.23685602273775 0.0007740478650717364
10 60 -5 -4 80 90 19.56419671030889 0.0003883765348184909
10 60 -5 -4 90 100 8.062866753710404 0.0001943263303729736
10 60 -4 -3.5 0 0.5 -150476.8094586504 3.656840837560594
10 60 -4 -3.5 0.5 1 47430.04504885958 2.015798985172296
10 60 -4 -3.5 1 1.5 43445.26834069021 1.527955610421486
10 60 -4 -3.5 1.5 2 33844.98122491851 1.097325298353098
10 60 -4 -3.5 2 2.5 26711.43272991934 0.8270500614198681
10 60 -4 -3.5 2.5 3 21583.9313549363 0.6595509175422194
10 60 -4 -3.5 3 3.5 17809.78398058408 0.5389066831157834
10 60 -4 -3.5 3.5 4 14950.76342357141 0.4388419774186332
10 60 -4 -3.5 4 4.5 12727.81420533903 0.357412375833519
10 60 -4 -3.5 4.5 5 10960.3992979219 0.2918573603710684
10 60 -4 -3.5 5 5.5 9528.387426925154 0.2408118149614893
10 60 -4 -3.5 5.5 6 8349.488177646532 0.2011938174127863
10 60 -4 -3.5 6 6.5 7365.780590203402 0.168733149939726
10 60 -4 -3.5 6.5 7 6535.482384688307 0.1422928184074408
10 60 -4 -3.5 7 7.5 5827.773390930191 0.1212267957516815
10 60 -4 -3.5 7.5 8 5219.457717356679 0.1038377624208806
10 60 -4 -3.5 8 8.5 4692.757557958754 0.0891276572838251
10 60 -4 -3.5 8.5 9 4233.823806771396 0.07667820229198696
10 60 -4 -3.5 9 9.5 3831.707677619841 0.0659887282586169
10 60 -4 -3.5 9.5 10 3477.638037301298 0.05720402139468206
10 60 -4 -3.5 10 10.5 3164.504532316683 0.04986790168095467
10 60 -4 -3.5 10.5 11 2886.482260408105 0.04343598471041332
10 60 -4 -3.5 11 11.5 2638.753273724967 0.122645496082896
10 60 -4 -3.5 11.5 12 2417.298462537386 0.09562385670506046
10 60 -4 -3.5 12 12.5 2218.740923775465 0.07394832459794998
10 60 -4 -3.5 12.5 13 2040.222904751658 0.05652882957429028
10 60 -4 -3.5 13 13.5 1879.311614103415 0.04253727682271347
10 60 -4 -3.5 13.5 14 1733.924705773587 0.03136094238448095
10 60 -4 -3.5 14 14.5 1598.579338222809 0.03215681854658214
10 60 -4 -3.5 14.5 15 1482.800690842675 0.01680788010276046
10 60 -4 -3.5 15 16 2649.388754860421 0.05777779397658378
10 60 -4 -3.5 16 17 2287.263100637911 0.02348075441705078
10 60 -4 -3.5 17 18 1984.205590993364 0.03404701463614401
10 60 -4 -3.5 18 19 1728.990606956564 0.05398251264273313
10 60 -4 -3.5 19 20 1512.826809644455 0.06435475315834083
10 60 -4 -3.5 20 21 1328.763356196222 0.0110737256484299
10 60 -4 -3.5 21 22 1171.258562819913 0.00938337907246023
10 60 -4 -3.5 22 23 1035.860042578343 0.007966127340296225
10 60 -4 -3.5 23 24 918.9640894854915 0.006819853301522016
10 60 -4 -3.5 24 25 817.6363253305179 0.005832165409287882
10 60 -4 -3.5 25 26 729.4714201851588 0.005055356988918902
10 60 -4 -3.5 26 27 652.4870470782462 0.006026827812092961
10 60 -4 -3.5 27 28 585.0397468923674 0.006779075891586217
10 60 -4 -3.5 28 29 525.7616092230458 0.00735075987847722
10 60 -4 -3.5 29 30 473.5077822027849 0.007837908402052562
10 60 -4 -3.5 30 31 427.3159673643006 0.008342455495380818
10 60 -4 -3.5 31 32 386.3739924030783 0.009013631213520057
10 60 -4 -3.5 32 33 349.9932791497255 0.009760867951342789
10 60 -4 -3.5 33 34 317.5879125394323 0.01042655360356548
10 60 -4 -3.5 34 35 288.6575429983247 0.01089004180784059
10 60 -4 -3.5 35 36 262.7732701425124 0.0111703483176484
10 60 -4 -3.5 36 37 239.5664941917555 0.0112599283118584
10 60 -4 -3.5 37 38 218.7194101625392 0.00116049260896034
10 60 -4 -3.5 38 39 199.9568734841676 0.001045927341465358
10 60 -4 -3.5 39 40 183.0400248642039 0.0009452829238227878
10 60 -4 -3.5 40 42 321.7005132400311 0.001633271079356291
10 60 -4 -3.5 42 44 271.466752981268 0.001349783056298293
10 60 -4 -3.5 44 46 229.7368251365079 0.00106576467345576
10 60 -4 -3.5 46 48 195.7137525847246 0.000941588954361805
10 60 -4 -3.5 48 50 167.1013662531198 0.0007934588048215119
10 60 -4 -3.5 50 52 143.1463007815867 0.0006726293822794105
10 60 -4 -3.5 52 54 123.0027777121893 0.0005729630434530009
10 60 -4 -3.5 54 56 105.9957400742605 0.000490230113982193
10 60 -4 -3.5 56 58 91.58259121224566 0.0004214503601360775
10 60 -4 -3.5 58 60 79.32491147465747 0.0003636571604772598
10 60 -4 -3.5 60 65 155.786427122333 0.000711727462885392
10 60 -4 -3.5 65 70 110.7628021978972 0.0005056808148111713
10 60 -4 -3.5 70 80 137.381311249268 0.0006337944607821555
10 60 -4 -3.5 80 90 73.35502944077908 0.0003474065015751648
10 60 -4 -3.5 90 100 40.19788632576696 0.0008531627380250484
10 60 -3.5 -3.25 0 0.5 -86013.91222817566 1.896934282107395
10 60 -3.5 -3.25 0.5 1 22495.40425771063 1.067251104304887
10 60 -3.5 -3.25 1 1.5 21856.73062151883 0.7657772453567304
10 60 -3.5 -3.25 1.5 2 17290.08408504481 0.6004035999940243
10 60 -3.5 -3.25 2 2.5 13755.84169497471 0.4764251576762035
10 60 -3.5 -3.25 2.5 3 11173.48992109167 0.4108989540363837
10 60 -3.5 -3.25 3 3.5 9254.560564184081 0.3543232067368081
10 60 -3.5 -3.25 3.5 4 7791.473201896875 0.3069194027611957
10 60 -3.5 -3.25 4 4.5 6648.40718610353 0.2684149249771508
10 60 -3.5 -3.25 4.5 5 5736.160880330429 0.238854536611143
10 60 -3.5 -3.25 5 5.5 4994.783544377046 0.2150399452157217
10 60 -3.5 -3.25 5.5 6 4382.915611050277 0.1970485272540827
10 60 -3.5 -3.25 6 6.5 3871.283882120307 0.183040374342454
10 60 -3.5 -3.25 6.5 7 3438.675712066724 0.07374172052232097
10 60 -3.5 -3.25 7 7.5 3069.382324719903 0.06282543911402172
10 60 -3.5 -3.25 7.5 8 2751.543931299102 0.05345677063951371
10 60 -3.5 -3.25 8 8.5 2476.04382485445 0.04550915577419801
10 60 -3.5 -3.25 8.5 9 2235.761080208081 0.03913445444050012
10 60 -3.5 -3.25 9 9.5 2025.052281170638 0.03389427187994443
10 60 -3.5 -3.25 9.5 10 1839.386778752356 0.02953065969359159
10 60 -3.5 -3.25 10 10.5 1675.084623853134 0.0258170012143637
10 60 -3.5 -3.25 10.5 11 1529.125261893538 0.02248942695177902
10 60 -3.5 -3.25 11 11.5 1399.006362057107 0.06478236358293543
10 60 -3.5 -3.25 11.5 12 1282.637567449876 0.05043380404913478
10 60 -3.5 -3.25 12 12.5 1178.259789998483 0.03891289982584567
10 60 -3.5 -3.25 12.5 13 1084.382838798535 0.02968331242527711
10 60 -3.5 -3.25 13 13.5 999.7366271066554 0.02228523167377716
10 60 -3.5 -3.25 13.5 14 923.2329507217294 0.0163659159825329
10 60 -3.5 -3.25 14 14.5 853.9348962743982 0.01164084168192403
10 60 -3.5 -3.25 14.5 15 791.0322334792971 0.008609692921822898
10 60 -3.5 -3.25 15 16 1415.510778125203 0.02948899137118133
10 60 -3.5 -3.25 16 17 1224.683001146627 0.01197117930291824
10 60 -3.5 -3.25 17 18 1064.885067331309 0.01824268589734857
10 60 -3.5 -3.25 18 19 930.2249363276233 0.02844314248977753
10 60 -3.5 -3.25 19 20 816.0861974328498 0.03361535819396977
10 60 -3.5 -3.25 20 21 718.8178256836592 0.03566802333409669
10 60 -3.5 -3.25 21 22 635.5087141172995 0.00481894144911621
10 60 -3.5 -3.25 22 23 563.8193252833627 0.004084065723532149
10 60 -3.5 -3.25 23 24 501.8567179351313 0.003496425941989401
10 60 -3.5 -3.25 24 25 448.0790423250174 0.003000734949750949
10 60 -3.5 -3.25 25 26 401.2228904648677 0.002591928778770125
10 60 -3.5 -3.25 26 27 360.2471285328345 0.002247417575290456
10 60 -3.5 -3.25 27 28 324.2892470358516 0.001959202525938508
10 60 -3.5 -3.25 28 29 292.6309054711703 0.001712874185102464
10 60 -3.5 -3.25 29 30 264.6712599329663 0.001507299579884602
10 60 -3.5 -3.25 30 31 239.9052297488263 0.001323439939284299
10 60 -3.5 -3.25 31 32 217.9065190115345 0.001179041740044795
10 60 -3.5 -3.25 32 33 198.3138891080935 0.001040391125428641
10 60 -3.5 -3.25 33 34 180.8199161321297 0.0009306110939348855
10 60 -3.5 -3.25 34 35 165.1621338642477 0.0008300481646301705
10 60 -3.5 -3.25 35 36 151.1155592553723 0.000744454186275334
10 60 -3.5 -3.25 36 37 138.4867304241361 0.0006689937538624235
10 60 -3.5 -3.25 37 38 127.1087796149806 0.0006025678304553139
10 60 -3.5 -3.25 38 39 116.8372709366552 0.0005443893306420478
10 60 -3.5 -3.25 39 40 107.5468478833685 0.000493019580844134
10 60 -3.5 -3.25 40 42 190.6151757483699 0.0008544484932428986
10 60 -3.5 -3.25 42 44 162.7488544105805 0.000709665666249748
10 60 -3.5 -3.25 44 46 139.6039136620651 0.0005936313937127125
10 60 -3.5 -3.25 46 48 120.265048618982 0.0005005493423482221
10 60 -3.5 -3.25 48 50 103.8845688031505 0.003887166435973199
10 60 -3.5 -3.25 50 52 90.29533609076451 0.0003625465515142423
10 60 -3.5 -3.25 52 54 78.65222671628364 0.0003109159744383305
10 60 -3.5 -3.25 54 56 68.72877915513752 0.0002683229217552707
10 60 -3.5 -3.25 56 58 60.23605183761643 0.0002325280746475755
10 60 -3.5 -3.25 58 60 52.93958646195065 0.0002024280955481572
10 60 -3.5 -3.25 60 65 106.6432330685545 0.0004274492499973803
10 60 -3.5 -3.25 65 70 78.83399895312265 0.0003831361843253944
10 60 -3.5 -3.25 70 80 103.6836647981865 0.0006612645695440733
10 60 -3.5 -3.25 80 90 60.42884906055374 0.000489300442353624
10 60 -3.5 -3.25 90 100 36.3628692622691 0.0004043894020071548
10 60 -3.25 -3 0 0.5 -93033.83555722079 1.950344763885369
10 60 -3.25 -3 0.5 1 21687.92819569981 1.037812716756889
10 60 -3.25 -3 1 1.5 21926.40575993919 0.8181093528073689
10 60 -3.25 -3 1.5 2 17514.9517614949 0.5695508056523977
10 60 -3.25 -3 2 2.5 14004.76355766299 0.4424418178259657
