#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -481801.1119216695 14.24471457826439
10 60 -5 -4 0.5 1 96983.84862041986 4.421722026891075
10 60 -5 -4 1 1.5 95217.92761035504 3.451476734640892
10 60 -5 -4 1.5 2 74511.18544732264 2.575034163208329
10 60 -5 -4 2 2.5 58579.66377093732 1.974267716650502
10 60 -5 -4 2.5 3 47038.26562035702 1.540916134232248
10 60 -5 -4 3 3.5 38534.7037964536 1.215061846472963
10 60 -5 -4 3.5 4 32103.72006818475 0.9624413536694192
10 60 -5 -4 4 4.5 27117.99264202984 1.33694228899185
10 60 -5 -4 4.5 5 23168.13926135467 0.6086824279882421
10 60 -5 -4 5 5.5 19980.44382061874 0.4863930588144285
10 60 -5 -4 5.5 6 17367.10695326237 0.74835340620848
10 60 -5 -4 6 6.5 15195.88162241581 0.3202850232974015
10 60 -5 -4 6.5 7 13371.35734636138 0.2622118634735671
10 60 -5 -4 7 7.5 11823.26758472175 0.2168095504985104
10 60 -5 -4 7.5 8 10498.77183303142 0.180702162653688
10 60 -5 -4 8 8.5 9357.428567017834 0.1514011418439623
10 60 -5 -4 8.5 9 8367.777361107535 0.1278833922006015
10 60 -5 -4 9 9.5 7504.984191133832 0.1080720673962787
10 60 -5 -4 9.5 10 6749.184930565431 0.09162793217819853
10 60 -5 -4 10 10.5 6084.301735054318 0.07899519604234229
10 60 -5 -4 10.5 11 5497.18265236303 0.06812434824496449
10 60 -5 -4 11 11.5 4976.966039454393 0.2186602557812876
10 60 -5 -4 11.5 12 4514.605792319334 0.1600023250603044
10 60 -5 -4 12 12.5 4102.510050234516 0.1135451035534061
10 60 -5 -4 12.5 13 3734.265627999636 0.07701107324828627
10 60 -5 -4 13 13.5 3404.420754074521 0.0483202961677307
10 60 -5 -4 13.5 14 3108.316686981341 0.03060324037460305
10 60 -5 -4 14 14.5 2841.953641987458 0.02713330447977569
10 60 -5 -4 14.5 15 2601.880640520193 0.02360341236271779
10 60 -5 -4 15 16 4574.149623342901 0.1527070145912148
10 60 -5 -4 16 17 3861.645157564378 0.03277405440849179
10 60 -5 -4 17 18 3274.279434062573 0.02665411294083242
10 60 -5 -4 18 19 2787.339842291289 0.02150724253351655
10 60 -5 -4 19 20 2381.571947734681 0.01809032401433797
10 60 -5 -4 20 21 2041.83929854166 0.01514960154213441
10 60 -5 -4 21 22 1756.146404081011 0.01357820033604185
10 60 -5 -4 22 23 1514.919684865398 0.0147174750134127
10 60 -5 -4 23 24 1310.464255077177 0.01505523344394533
10 60 -5 -4 24 25 1136.559939104054 0.01406643971131416
10 60 -5 -4 25 26 988.1499944532073 0.0130617474076189
10 60 -5 -4 26 27 861.1029141394285 0.01225584457722562
10 60 -5 -4 27 28 752.0254705972678 0.01193241585667693
10 60 -5 -4 28 29 658.1159429003317 0.01188673983824629
10 60 -5 -4 29 30 577.0539511683756 0.01122402707608217
10 60 -5 -4 30 31 506.9103073106123 0.0106795137573954
10 60 -5 -4 31 32 446.0731745345662 0.01007250312665064
