#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -486760.0099665173 9.340712192526553
10 60 -5 -4 0.5 1 85123.12776800862 0.3339056244294625
10 60 -5 -4 1 1.5 88705.69201439062 3.370542022079462
10 60 -5 -4 1.5 2 70526.91957296852 2.347009852339397
10 60 -5 -4 2 2.5 55967.98894240378 1.699353778691147
10 60 -5 -4 2.5 3 45250.64078942117 1.732788563822396
10 60 -5 -4 3 3.5 37276.91925518419 0.9895280233977246
10 60 -5 -4 3.5 4 31203.70030217328 0.7802517065611028
10 60 -5 -4 4 4.5 26468.5106744682 0.6326888094081369
10 60 -5 -4 4.5 5 22698.9149731691 0.5613083123498654
10 60 -5 -4 5 5.5 19643.66304129003 0.8368598182350979
10 60 -5 -4 5.5 6 17129.18637405493 0.3630761821877968
10 60 -5 -4 6 6.5 15032.59014106429 0.3039708848737064
10 60 -5 -4 6.5 7 13264.88757775819 0.2552597287176468
10 60 -5 -4 7 7.5 11760.27522345832 0.2140071144622198
10 60 -5 -4 7.5 8 10469.11530059623 0.1797053521131602
10 60 -5 -4 8 8.5 9353.322358491914 0.1515101730747119
10 60 -5 -4 8.5 9 8383.192832667879 0.1280996276727819
10 60 -5 -4 9 9.5 7535.210654204113 0.1087657586340356
10 60 -5 -4 9.5 10 6790.535338890285 0.09234288955121883
10 60 -5 -4 10 10.5 6133.86637674794 0.07896642309970048
10 60 -5 -4 10.5 11 5552.662636200098 0.06826389274829125
10 60 -5 -4 11 11.5 5036.547606008455 0.2469329988962272
10 60 -5 -4 11.5 12 4576.851028850451 0.1852986457370207
10 60 -5 -4 12 12.5 4166.28355431002 0.1361905857902457
10 60 -5 -4 12.5 13 3798.674974718824 0.09712735933499062
10 60 -5 -4 13 13.5 3468.76680771122 0.06634249967419237
10 60 -5 -4 13.5 14 3172.052941428913 0.0418496298871105
10 60 -5 -4 14 14.5 2904.657977861933 0.02794952830208786
10 60 -5 -4 14.5 15 2663.232174855013 0.02487638818001869
10 60 -5 -4 15 16 4691.896251069885 0.06905757592176087
10 60 -5 -4 16 17 3971.85949610341 0.1781308858280681
10 60 -5 -4 17 18 3376.427055741176 0.02781544271692837
10 60 -5 -4 18 19 2881.324126998829 0.02288496058054079
10 60 -5 -4 19 20 2467.574434363159 0.0189777078003317
10 60 -5 -4 20 21 2120.20939462514 0.01588295701731113
10 60 -5 -4 21 22 1827.327678087288 0.01333806886964339
10 60 -5 -4 22 23 1579.403183688373 0.01148833259048843
10 60 -5 -4 23 24 1368.759076112633 0.0121465446682123
10 60 -5 -4 24 25 1189.171252370123 0.01272631946494585
10 60 -5 -4 25 26 1035.566016113811 0.01339671585037649
10 60 -5 -4 26 27 903.7866805434181 0.01400603666388633
10 60 -5 -4 27 28 790.4107839625533 0.01414830105500187
10 60 -5 -4 28 29 692.6070342365348 0.01417718513255295
10 60 -5 -4 29 30 608.0244456286075 0.01389396390209185
10 60 -5 -4 30 31 534.702189805387 0.01370414415066534
10 60 -5 -4 31 32 470.998373939643 0.01350725493909977
10 60 -5 -4 32 33 415.533926693992 0.01328763025395574
10 60 -5 -4 33 34 367.1462705093233 0.01305576479643378
10 60 -5 -4 34 35 324.8523192271028 0.01274843951472349
10 60 -5 -4 35 36 287.8179050252119 0.01225598983353393
10 60 -5 -4 36 37 255.3331105836269 0.01178067046873821
10 60 -5 -4 37 38 226.7924765980778 0.0111999858725369
10 60 -5 -4 38 39 201.6782962785514 0.001219675976585677
10 60 -5 -4 39 40 179.5464410770482 0.00108057890659552
10 60 -5 -4 40 42 302.7701442265193 0.001812696371814582
10 60 -5 -4 42 44 241.4359421217419 0.001438397136013236
10 60 -5 -4 44 46 193.2463385319022 0.001144218434490085
10 60 -5 -4 46 48 155.2103045286147 0.0009178224535730806
10 60 -5 -4 48 50 125.0604361039985 0.005589074929744697
10 60 -5 -4 50 52 101.0676256392541 0.002430153832634119
10 60 -5 -4 52 54 81.90376913698695 0.0004811089402068092
10 60 -5 -4 54 56 66.54440448625628 0.003128671412738981
10 60 -5 -4 56 58 54.19436706399319 0.0003182064184485967
10 60 -5 -4 58 60 44.23408590490554 0.0002599376119434282
10 60 -5 -4 60 65 78.58753364964579 0.000464079562078723
10 60 -5 -4 65 70 48.044350340862 0.0002853977689767362
10 60 -5 -4 70 80 48.02184107032642 0.0009299230294672611
10 60 -5 -4 80 90 18.63655319211624 0.000508334690245249
10 60 -5 -4 90 100 7.288391825315225 0.000232314714415871
10 60 -4 -3.5 0 0.5 -327208.8378101387 5.398789767874405
10 60 -4 -3.5 0.5 1 36288.16027745114 0.2325240533755277
10 60 -4 -3.5 1 1.5 47140.73103341001 2.088158126331109
10 60 -4 -3.5 1.5 2 39131.55828376425 1.335616453390685
10 60 -4 -3.5 2 2.5 31719.58962567025 0.9435934460525459
10 60 -4 -3.5 2.5 3 25998.95251328487 0.7440896612097276
10 60 -4 -3.5 3 3.5 21635.55009810375 0.6176680224525626
10 60 -4 -3.5 3.5 4 18259.07869453974 0.507475763970433
10 60 -4 -3.5 4 4.5 15596.86323752665 0.411137461573162
10 60 -4 -3.5 4.5 5 13459.5223561049 0.329323365845994
10 60 -4 -3.5 5 5.5 11715.60020438869 0.2639310770555312
10 60 -4 -3.5 5.5 6 10272.45187372485 0.2148585292907228
10 60 -4 -3.5 6 6.5 9063.560288671973 0.1772361979565176
10 60 -4 -3.5 6.5 7 8040.200518659681 0.1480094915405061
10 60 -4 -3.5 7 7.5 7166.01748828886 0.1239384086675273
10 60 -4 -3.5 7.5 8 6413.385219944841 0.1040478055374479
10 60 -4 -3.5 8 8.5 5760.979761687548 0.08762570112867252
10 60 -4 -3.5 8.5 9 5192.071349298923 0.07393279759435245
10 60 -4 -3.5 9 9.5 4693.370521058641 0.06267207816381415
10 60 -4 -3.5 9.5 10 4254.176037166443 0.05344594650887302
10 60 -4 -3.5 10 10.5 3865.777707852256 0.04590440300944465
10 60 -4 -3.5 10.5 11 3521.017682010313 0.03978077287501947
10 60 -4 -3.5 11 11.5 3213.954253705817 0.1531109811608076
10 60 -4 -3.5 11.5 12 2939.616661390961 0.1178559077407044
10 60 -4 -3.5 12 12.5 2693.819847865816 0.08967371886046749
10 60 -4 -3.5 12.5 13 2473.014838309713 0.0672920618903845
10 60 -4 -3.5 13 13.5 2274.173019198548 0.04937895746843424
10 60 -4 -3.5 13.5 14 2094.698735797343 0.03512140223620008
10 60 -4 -3.5 14 14.5 1932.356653943759 0.023755767810826
10 60 -4 -3.5 14.5 15 1785.213299021842 0.01495670332701593
10 60 -4 -3.5 15 16 3181.604930882228 0.04009342074505184
10 60 -4 -3.5 16 17 2737.290736640589 0.02908238652526052
10 60 -4 -3.5 17 18 2366.485685358938 0.06885308873279428
10 60 -4 -3.5 18 19 2055.121266888323 0.09044998408171523
10 60 -4 -3.5 19 20 1792.18408408424 0.01195203735596806
10 60 -4 -3.5 20 21 1568.972727060848 0.01017028578144163
10 60 -4 -3.5 21 22 1378.552153608457 0.00863731306048976
10 60 -4 -3.5 22 23 1215.360331868595 0.007452831691352912
10 60 -4 -3.5 23 24 1074.902098534387 0.006391059928091636
10 60 -4 -3.5 24 25 953.5200551587092 0.005581482190336828
10 60 -4 -3.5 25 26 848.2245326325988 0.004843494967758488
10 60 -4 -3.5 26 27 756.556195611553 0.004253086318954047
10 60 -4 -3.5 27 28 676.4806333341384 0.003742240128985941
10 60 -4 -3.5 28 29 606.3074438293449 0.004503004972207236
10 60 -4 -3.5 29 30 544.6255488041439 0.005627136432281077
10 60 -4 -3.5 30 31 490.2513615733002 0.006251882406900222
10 60 -4 -3.5 31 32 442.1883133587017 0.006865847730978203
10 60 -4 -3.5 32 33 399.593913530123 0.007500034409474665
10 60 -4 -3.5 33 34 361.7529151050917 0.007769650021316465
10 60 -4 -3.5 34 35 328.0559469529345 0.007878732244080311
10 60 -4 -3.5 35 36 297.9821153062772 0.008096718916590362
10 60 -4 -3.5 36 37 271.0846884040744 0.008283444386051997
10 60 -4 -3.5 37 38 246.9793202696856 0.008376010336718309
10 60 -4 -3.5 38 39 225.334289820907 0.008496920625162829
10 60 -4 -3.5 39 40 205.8624463907234 0.008620031119875193
10 60 -4 -3.5 40 42 360.7884008971195 0.01738796281040322
10 60 -4 -3.5 42 44 303.3306177622223 0.001475098481705572
10 60 -4 -3.5 44 46 256.1475033096919 0.001238368596659711
10 60 -4 -3.5 46 48 217.1786180710636 0.001044390139213647
10 60 -4 -3.5 48 50 184.8232273090187 0.0008858242444205189
10 60 -4 -3.5 50 52 157.8272934009245 0.0007544479682053407
10 60 -4 -3.5 52 54 135.2009453543494 0.000645383782511999
10 60 -4 -3.5 54 56 116.1572112433184 0.0005539852577811644
10 60 -4 -3.5 56 58 100.0662687176863 0.0004770985401592043
10 60 -4 -3.5 58 60 86.42095941852112 0.0004121719090477427
10 60 -4 -3.5 60 65 168.8993510374104 0.0008072527414526576
10 60 -4 -3.5 65 70 119.2261211603863 0.0005727418262324591
10 60 -4 -3.5 70 80 146.3386682986654 0.0007107833769168792
10 60 -4 -3.5 80 90 76.90861792852718 0.0003810361390605976
