#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -510576.6938970319 9.903529720497318
10 60 -5 -4 0.5 1 89685.8260606321 0.346439193803235
10 60 -5 -4 1 1.5 92841.5661744893 3.545334327325691
10 60 -5 -4 1.5 2 73597.46649345018 2.455169899039902
10 60 -5 -4 2 2.5 58282.17614071092 1.770612071806681
10 60 -5 -4 2.5 3 47043.92669227806 2.004439598342287
10 60 -5 -4 3 3.5 38701.74405528457 1.026283216495358
10 60 -5 -4 3.5 4 32359.59560621328 0.808892422599456
10 60 -5 -4 4 4.5 27422.46549398485 0.6556566370782093
10 60 -5 -4 4.5 5 23497.46040012221 0.5475413498388662
10 60 -5 -4 5 5.5 20320.06398047512 0.8455622626534023
10 60 -5 -4 5.5 6 17707.83981946136 0.3755182579916436
10 60 -5 -4 6 6.5 15531.79532005943 0.3142524165323266
10 60 -5 -4 6.5 7 13698.65000133627 0.2637459487941669
10 60 -5 -4 7 7.5 12139.503988199 0.2210586726814654
10 60 -5 -4 7.5 8 10802.44388411563 0.1856085177405475
10 60 -5 -4 8 8.5 9647.678733834633 0.1564917281957605
10 60 -5 -4 8.5 9 8644.206333094124 0.1323150300067937
10 60 -5 -4 9 9.5 7767.506858372002 0.1123521575855193
10 60 -5 -4 9.5 10 6997.951600269908 0.09539924261571286
10 60 -5 -4 10 10.5 6319.61512895042 0.08159340889051236
10 60 -5 -4 10.5 11 5719.453838974221 0.0705472474137423
10 60 -5 -4 11 11.5 5186.682955829939 0.2500772804869484
10 60 -5 -4 11.5 12 4712.29820808775 0.1871948683919982
10 60 -5 -4 12 12.5 4288.733934117077 0.1371336195597905
10 60 -5 -4 12.5 13 3909.589441376273 0.09733126882520082
10 60 -5 -4 13 13.5 3569.41311510246 0.06597462481749972
10 60 -5 -4 13.5 14 3263.535898537685 0.04106869828274284
10 60 -5 -4 14 14.5 2987.943769176802 0.02889738576914169
10 60 -5 -4 14.5 15 2739.168647970606 0.02571874911518535
10 60 -5 -4 15 16 4824.619753029534 0.08114824536914966
10 60 -5 -4 16 17 4083.076373410165 0.1910618387164504
10 60 -5 -4 17 18 3470.066596664996 0.02876394075929056
10 60 -5 -4 18 19 2960.508008530358 0.02366776502913126
10 60 -5 -4 19 20 2534.802527068793 0.01962977931407295
10 60 -5 -4 20 21 2177.498183378424 0.01643274619027579
10 60 -5 -4 21 22 1876.314334842582 0.01380093421857964
10 60 -5 -4 22 23 1621.424771208555 0.0117032390114673
10 60 -5 -4 23 24 1404.913655429913 0.01236442109711788
10 60 -5 -4 24 25 1220.365106130326 0.01293204552553107
10 60 -5 -4 25 26 1062.550518481621 0.01364678474647008
10 60 -5 -4 26 27 927.1875831400428 0.01427697633334901
10 60 -5 -4 27 28 810.751372946364 0.01438826066532783
10 60 -5 -4 28 29 710.3264959054258 0.01441107411881148
10 60 -5 -4 29 30 623.4927537664375 0.0141076200994803
10 60 -5 -4 30 31 548.2320608415448 0.01389528327104017
10 60 -5 -4 31 32 482.8549386141044 0.0136803072236944
10 60 -5 -4 32 33 425.9426803317608 0.01345745574110424
10 60 -5 -4 33 34 376.2995338767608 0.0132287993076261
10 60 -5 -4 34 35 332.9145815807573 0.01291643394796438
10 60 -5 -4 35 36 294.9302031649511 0.01240778413506405
10 60 -5 -4 36 37 261.6166465511112 0.01192797532297618
10 60 -5 -4 37 38 232.3516605250159 0.01133671802023173
10 60 -5 -4 38 39 206.6032937996173 0.001265472580428195
10 60 -5 -4 39 40 183.9152720634554 0.001121369835743735
10 60 -5 -4 40 42 310.1009380154756 0.001881846928711184
10 60 -5 -4 42 44 247.2455752602265 0.001493798870484397
10 60 -5 -4 44 46 197.8705107613655 0.001188781381387116
10 60 -5 -4 46 48 158.905800321905 0.0009538909583852728
10 60 -5 -4 48 50 128.0248527296978 0.00565514210708784
10 60 -5 -4 50 52 103.4539467328836 0.002454600247219219
10 60 -5 -4 52 54 83.8309981744862 0.0005007740437577013
10 60 -5 -4 54 56 68.10561864116214 0.003167789523544684
10 60 -5 -4 56 58 55.46267986732045 0.0003314405197656356
10 60 -5 -4 58 60 45.2671996332345 0.0002707821920466813
10 60 -5 -4 60 65 80.41875460031989 0.0004838099624890901
10 60 -5 -4 65 70 49.16231698189656 0.0002978230288590566
10 60 -5 -4 70 80 49.14226710805144 0.0009538807342508449
10 60 -5 -4 80 90 19.07652131285848 0.0005234857179843289
10 60 -5 -4 90 100 7.464082374629788 0.0002380402212338595
10 60 -4 -3.5 0 0.5 -341609.8767530958 5.687536065292079
10 60 -4 -3.5 0.5 1 38036.44476433506 0.2577413353792508
10 60 -4 -3.5 1 1.5 49080.02909748666 2.183189115581627
10 60 -4 -3.5 1.5 2 40634.0692237851 1.388114825938828
10 60 -4 -3.5 2 2.5 32877.10335735885 0.9767977224983042
10 60 -4 -3.5 2.5 3 26909.45317540881 0.7689822618485778
10 60 -4 -3.5 3 3.5 22367.57633662846 0.6372943082060374
10 60 -4 -3.5 3.5 4 18859.01818093177 0.5226720206119353
10 60 -4 -3.5 4 4.5 16096.60981457681 0.4228940048506047
10 60 -4 -3.5 4.5 5 13881.54809305734 0.3387403865308443
10 60 -4 -3.5 5 5.5 12076.13545089201 0.271632985182805
10 60 -4 -3.5 5.5 6 10583.49287351556 0.2212006265453965
10 60 -4 -3.5 6 6.5 9334.159917044753 0.1824058884812985
10 60 -4 -3.5 6.5 7 8277.320330183629 0.1522204988614249
10 60 -4 -3.5 7 7.5 7375.101616520737 0.1274292713605973
10 60 -4 -3.5 7.5 8 6598.756821648608 0.1070102712428707
10 60 -4 -3.5 8 8.5 5926.118014869264 0.0901648518311049
10 60 -4 -3.5 8.5 9 5339.811734664933 0.07609851971665194
10 60 -4 -3.5 9 9.5 4826.048353844905 0.06452930824252689
10 60 -4 -3.5 9.5 10 4373.734194750055 0.05503277171283116
10 60 -4 -3.5 10 10.5 3973.847033486321 0.04726259920244047
10 60 -4 -3.5 10.5 11 3618.977449092059 0.0409585163652082
10 60 -4 -3.5 11 11.5 3302.979585601856 0.1557191097131181
10 60 -4 -3.5 11.5 12 3020.715235522845 0.1197909370084744
10 60 -4 -3.5 12 12.5 2767.860481550737 0.09107056172433659
10 60 -4 -3.5 12.5 13 2540.750593791424 0.06825077559869897
10 60 -4 -3.5 13 13.5 2336.259851435954 0.04999759042357255
10 60 -4 -3.5 13.5 14 2151.710373771984 0.03547389093409947
10 60 -4 -3.5 14 14.5 1984.796828257833 0.02389704522806824
10 60 -4 -3.5 14.5 15 1833.52593091076 0.01517920102855896
10 60 -4 -3.5 15 16 3267.373350638708 0.03848789210451287
10 60 -4 -3.5 16 17 2810.716610117025 0.03185172545499881
10 60 -4 -3.5 17 18 2429.668701296593 0.07222352452390624
10 60 -4 -3.5 18 19 2109.746595210783 0.09405489157961711
10 60 -4 -3.5 19 20 1839.61578702586 0.0123162823099392
10 60 -4 -3.5 20 21 1610.323617051034 0.01048327085322853
10 60 -4 -3.5 21 22 1414.736311518899 0.008904358978497839
10 60 -4 -3.5 22 23 1247.133496716653 0.007684937189651464
10 60 -4 -3.5 23 24 1102.892785555107 0.006591141160924963
10 60 -4 -3.5 24 25 978.2537365209603 0.005756969532171752
10 60 -4 -3.5 25 26 870.1428095543937 0.00499762132790238
10 60 -4 -3.5 26 27 776.0319348437597 0.00438816132032116
10 60 -4 -3.5 27 28 693.83007098562 0.003862668556166682
10 60 -4 -3.5 28 29 621.799885527636 0.004757255613412781
10 60 -4 -3.5 29 30 558.4912307472742 0.005881328136979391
10 60 -4 -3.5 30 31 502.6878314596847 0.006494624833067064
10 60 -4 -3.5 31 32 453.3657038010672 0.007112291916484992
10 60 -4 -3.5 32 33 409.6592335907837 0.007763268502685605
10 60 -4 -3.5 33 34 370.8335703088526 0.008034383379197152
10 60 -4 -3.5 34 35 336.2626855105754 0.008138519404042199
10 60 -4 -3.5 35 36 305.4114830053172 0.008359399198695883
10 60 -4 -3.5 36 37 277.8210910324728 0.008544195638023666
10 60 -4 -3.5 37 38 253.0967387997154 0.008624145965143271
10 60 -4 -3.5 38 39 230.8977237948043 0.008734228884662798
10 60 -4 -3.5 39 40 210.9291390117908 0.008853294105506393
10 60 -4 -3.5 40 42 369.6278717401472 0.0178466948934215
10 60 -4 -3.5 42 44 310.7181806230259 0.001526522082315296
10 60 -4 -3.5 44 46 262.35031596523 0.001281712929142031
10 60 -4 -3.5 46 48 222.4090059664098 0.001081553653932588
10 60 -4 -3.5 48 50 189.2511365016533 0.0009173862748639294
10 60 -4 -3.5 50 52 161.5896310269668 0.0007818108736330487
10 60 -4 -3.5 52 54 138.4086784597233 0.0006688753040293705
10 60 -4 -3.5 54 56 118.9007913926751 0.0005744175458772816
10 60 -4 -3.5 56 58 102.4198150120158 0.0004948901021037955
10 60 -4 -3.5 58 60 88.44551118293943 0.0004277190625572302
10 60 -4 -3.5 60 65 172.8321475218754 0.0008382069020740346
10 60 -4 -3.5 65 70 121.9808338976385 0.000595247164653756
10 60 -4 -3.5 70 80 149.6923831059761 0.0007397008720317899
10 60 -4 -3.5 80 90 78.65945748031038 0.000397248365032965
10 60 -4 -3.5 90 100 42.34091348327057 0.0002191938152051875
10 60 -3.5 -3.25 0 0.5 -192015.1117895649 2.928323504602304
10 60 -3.5 -3.25 0.5 1 16938.07643986872 0.01757617262774147
