#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -491559.9035199136 23.89806954486994
10 60 -5 -4 0.5 1 64372.09793899477 0.2149458772182697
10 60 -5 -4 1 1.5 77317.8575298232 2.363019033407909
10 60 -5 -4 1.5 2 63374.11663916564 1.644832013284031
10 60 -5 -4 2 2.5 51154.8062551702 1.208785779170285
10 60 -5 -4 2.5 3 41881.37117901276 1.19781908384175
10 60 -5 -4 3 3.5 34863.16472890248 0.7328634533769218
10 60 -5 -4 3.5 4 29453.05448138162 0.5917309408432629
10 60 -5 -4 4 4.5 25193.98159823255 0.6258960786253738
10 60 -5 -4 4.5 5 21774.90205677223 0.9137825270881876
10 60 -5 -4 5 5.5 18982.54310950232 0.3414816334443458
10 60 -5 -4 5.5 6 16667.91264937503 0.287636755125277
10 60 -5 -4 6 6.5 14724.74376247873 0.2431387633132545
10 60 -5 -4 6.5 7 13075.58570782203 0.2061560979782371
10 60 -5 -4 7 7.5 11662.88979307223 0.1749767650180729
10 60 -5 -4 7.5 8 10443.05554924838 0.1489491846059536
10 60 -5 -4 8 8.5 9382.502908098491 0.1274576767791586
10 60 -5 -4 8.5 9 8454.945820359704 0.109372670911398
10 60 -5 -4 9 9.5 7639.495262073521 0.09420184923874331
10 60 -5 -4 9.5 10 6919.359458486783 0.0813388399710675
10 60 -5 -4 10 10.5 6280.846487246567 0.070741410681876
10 60 -5 -4 10.5 11 5712.690809810721 0.06199093237592024
10 60 -5 -4 11 11.5 5205.535653104167 0.05443702105276316
10 60 -5 -4 11.5 12 4751.527883214455 0.048210856904916
10 60 -5 -4 12 12.5 4344.036732526793 0.1883694825646671
10 60 -5 -4 12.5 13 3977.426121154986 0.1445296688921189
10 60 -5 -4 13 13.5 3646.870677643785 0.1092392652462877
10 60 -5 -4 13.5 14 3348.215635341663 0.08044805433655711
10 60 -5 -4 14 14.5 3077.872384497281 0.05718842184660389
10 60 -5 -4 14.5 15 2832.724918166875 0.03853213716411119
10 60 -5 -4 15 16 5017.538682078329 0.1396126135514351
10 60 -5 -4 16 17 4277.458264589812 0.03501191283794469
10 60 -5 -4 17 18 3660.671426883875 0.1068902851156963
10 60 -5 -4 18 19 3143.989214360706 0.02427388223895832
10 60 -5 -4 19 20 2709.128590726375 0.02045146810223741
10 60 -5 -4 20 21 2341.547278791028 0.01736217357438363
10 60 -5 -4 21 22 2029.589818079444 0.01478783830248176
10 60 -5 -4 22 23 1763.855142046406 0.01265423686822942
10 60 -5 -4 23 24 1536.710472527829 0.01134375654169162
10 60 -5 -4 24 25 1341.922527523601 0.01228569228214837
10 60 -5 -4 25 26 1174.375767311861 0.01304978873577056
10 60 -5 -4 26 27 1029.851472897393 0.0138673900169124
10 60 -5 -4 27 28 904.853417484964 0.01436931928549257
10 60 -5 -4 28 29 796.4713176087804 0.01450419752302423
10 60 -5 -4 29 30 702.2742938775144 0.01423170358827974
10 60 -5 -4 30 31 620.223170016528 0.01424227391214572
10 60 -5 -4 31 32 548.6008471412096 0.01429543042706882
10 60 -5 -4 32 33 485.957053833532 0.01425014474301634
10 60 -5 -4 33 34 431.0628154513303 0.01415691863911661
10 60 -5 -4 34 35 382.8735361077095 0.01402814795511631
10 60 -5 -4 35 36 340.4983154624143 0.01373739474200875
10 60 -5 -4 36 37 303.1753388738049 0.01338194819771843
10 60 -5 -4 37 38 270.2518055827584 0.01290550935186729
10 60 -5 -4 38 39 241.1667967672615 0.001608612517202346
10 60 -5 -4 39 40 215.4369420087127 0.001437158711325992
10 60 -5 -4 40 42 365.0740732927047 0.002436215388797791
10 60 -5 -4 42 44 292.9947016252439 0.001962552606016743
10 60 -5 -4 44 46 235.9658449441708 0.001582640501311516
10 60 -5 -4 46 48 190.6503764714912 0.00128694033205079
10 60 -5 -4 48 50 154.4984789526855 0.00104772002049458
10 60 -5 -4 50 52 125.5504344893133 0.005699410102963043
10 60 -5 -4 52 54 102.2904800560917 0.002403257034913509
10 60 -5 -4 54 56 83.54063076925111 0.0008467014066866341
10 60 -5 -4 56 58 68.38030933626261 0.0004738537867297055
10 60 -5 -4 58 60 56.08759803030075 0.0003913788865261836
10 60 -5 -4 60 65 100.4362553750998 0.0007110464191413257
10 60 -5 -4 65 70 62.10431534603934 0.0004484645856877023
