#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -213928.40948001 6.93494045099942
10 60 -5 -4 0.5 1 95668.56136671202 3.354123795244959
10 60 -5 -4 1 1.5 79553.42458889587 1.861910178384278
10 60 -5 -4 1.5 2 60334.01092726826 1.234871744840348
10 60 -5 -4 2 2.5 46963.12636847707 1.046475356277369
10 60 -5 -4 2.5 3 37616.07141749811 0.6640239112603012
10 60 -5 -4 3 3.5 30844.94527595144 0.5470497954956954
10 60 -5 -4 3.5 4 25768.75892760996 0.9036655224008427
10 60 -5 -4 4 4.5 21850.48189823136 0.3350611520036182
10 60 -5 -4 4.5 5 18751.43841157756 0.2761321735524689
10 60 -5 -4 5 5.5 16250.14693650418 0.229412067856174
10 60 -5 -4 5.5 6 14196.81313220285 0.1921241651125456
10 60 -5 -4 6 6.5 12487.05525353016 0.1616398109399597
10 60 -5 -4 6.5 7 11046.17682843438 0.136482953095765
10 60 -5 -4 7 7.5 9819.46887611692 0.1153484270816989
10 60 -5 -4 7.5 8 8765.979656764974 0.09780061993842537
10 60 -5 -4 8 8.5 7854.486062466444 0.08339617890305817
10 60 -5 -4 8.5 9 7060.763384045021 0.07132745176932076
10 60 -5 -4 9 9.5 6365.715210666359 0.06122728380523768
10 60 -5 -4 9.5 10 5754.097262749551 0.05268684099155507
10 60 -5 -4 10 10.5 5213.564480625609 0.04571711066182615
10 60 -5 -4 10.5 11 4734.020736985873 0.04001437455099222
10 60 -5 -4 11 11.5 4307.12740169 0.03509521667729132
10 60 -5 -4 11.5 12 3925.924989086012 0.1766156733947355
10 60 -5 -4 12 12.5 3584.566336303912 0.1353067772611212
10 60 -5 -4 12.5 13 3278.10447632966 0.1019309673301905
10 60 -5 -4 13 13.5 3002.323236627726 0.07520513891631708
10 60 -5 -4 13.5 14 2753.608073980852 0.05354054936469765
10 60 -5 -4 14 14.5 2528.848753382059 0.03615419803918485
10 60 -5 -4 14.5 15 2325.354588729383 0.02230851576086934
