#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -898836.4146749671 13.52912536798976
10 60 -5 -4 0.5 1 52888.43169475887 0.7440011245198548
10 60 -5 -4 1 1.5 90424.33332963164 4.161628562767874
10 60 -5 -4 1.5 2 76840.12138142731 3.025170373177389
10 60 -5 -4 2 2.5 62507.52929135051 2.209451413436909
10 60 -5 -4 2.5 3 51137.22035009453 1.643939961497381
10 60 -5 -4 3 3.5 42385.56240396151 2.07328626269009
10 60 -5 -4 3.5 4 35594.9179546667 1.223473751888378
10 60 -5 -4 4 4.5 30241.33308024413 0.8310363321543264
10 60 -5 -4 4.5 5 25949.81247788014 0.6969205331552075
10 60 -5 -4 5 5.5 22456.17510234794 0.5902187821739062
10 60 -5 -4 5.5 6 19572.82743784908 0.6739176316441444
10 60 -5 -4 6 6.5 17164.53368694186 0.4195332688395865
10 60 -5 -4 6.5 7 15132.00620017832 0.3548163062387175
10 60 -5 -4 7 7.5 13401.1633106617 0.2985250573983649
10 60 -5 -4 7.5 8 11915.72606378163 0.2506232171708689
10 60 -5 -4 8 8.5 10632.27998050649 0.2109034498807887
10 60 -5 -4 8.5 9 9516.829301043539 0.1780447836026724
10 60 -5 -4 9 9.5 8542.379929530422 0.150783457347643
10 60 -5 -4 9.5 10 7687.244861563709 0.1272884637555762
10 60 -5 -4 10 10.5 6933.78476087268 0.1080646110458474
10 60 -5 -4 10.5 11 6267.518005145137 0.09301083595346427
10 60 -5 -4 11 11.5 5676.445722853405 0.271168969381506
10 60 -5 -4 11.5 12 5150.537702056658 0.1999808591071996
10 60 -5 -4 12 12.5 4681.354721114559 0.1436790422503691
10 60 -5 -4 12.5 13 4261.747490484666 0.09914977884272957
10 60 -5 -4 13 13.5 3885.622756168206 0.06419787406230171
10 60 -5 -4 13.5 14 3547.759646623153 0.04213757567549692
10 60 -5 -4 14 14.5 3243.665885906289 0.03730634911789821
10 60 -5 -4 14.5 15 2969.458631256032 0.03299815176933407
10 60 -5 -4 15 16 5219.428609638909 0.1495916844387466
10 60 -5 -4 16 17 4404.831321383644 0.04488269181456417
10 60 -5 -4 17 18 3733.041092168654 0.03615158158163467
10 60 -5 -4 18 19 3175.993877556322 0.02952998306591326
10 60 -5 -4 19 20 2711.777704706752 0.02430071720118576
10 60 -5 -4 20 21 2323.135859833747 0.02019990746612166
10 60 -5 -4 21 22 1996.371187442654 0.01683340269141809
10 60 -5 -4 22 23 1720.538832560791 0.01409964843901435
10 60 -5 -4 23 24 1486.836975800422 0.0139300257967534
10 60 -5 -4 24 25 1288.144118966807 0.01430337861688713
10 60 -5 -4 25 26 1118.665962555824 0.01526124271981644
10 60 -5 -4 26 27 973.665988891967 0.01586234460239666
10 60 -5 -4 27 28 849.2534725396551 0.01565213881281124
10 60 -5 -4 28 29 742.2166362162596 0.01571400924581212
10 60 -5 -4 29 30 649.89452493589 0.01547365921908295
10 60 -5 -4 30 31 570.0728755751087 0.01508085176988061
10 60 -5 -4 31 32 500.9018274518614 0.01464730576066131
10 60 -5 -4 32 33 440.8314317344237 0.01433447611333349
10 60 -5 -4 33 34 388.5578927811475 0.0140701115169577
10 60 -5 -4 34 35 342.9813997349398 0.01361725005170911
10 60 -5 -4 35 36 303.170977601388 0.0128975804857987
10 60 -5 -4 36 37 268.3360263951057 0.01232645420623157
10 60 -5 -4 37 38 237.8037957403355 0.01163319265384644
10 60 -5 -4 38 39 211.0005851640671 0.001389466124635419
10 60 -5 -4 39 40 187.4353529308762 0.001224421019713873
10 60 -5 -4 40 42 315.079297064369 0.002041304627823592
10 60 -5 -4 42 44 250.2056907396264 0.001603777725932787
10 60 -5 -4 44 46 199.4577597063963 0.001265384924607815
10 60 -5 -4 46 48 159.5722798923348 0.001005617423601279
10 60 -5 -4 48 50 128.0865409959656 0.004418735806439145
10 60 -5 -4 50 52 103.1308854201686 0.0009684366052766791
10 60 -5 -4 52 54 83.27534336169313 0.002089553361614094
10 60 -5 -4 54 56 67.42172456057914 0.0004155390348756782
10 60 -5 -4 56 58 54.72115352271912 0.0003352449465054974
10 60 -5 -4 58 60 44.51486145783905 0.0002718431930830434
10 60 -5 -4 60 65 78.66093339018151 0.0004796176714734202
10 60 -5 -4 65 70 47.71470958156119 0.0002900539917050082
10 60 -5 -4 70 80 47.20581192774105 0.001069262823982342
10 60 -5 -4 80 90 18.06437466981257 0.0005673302351674181
10 60 -5 -4 90 100 6.971873725099174 0.0002507254537036374
10 60 -4 -3.5 0 0.5 -587790.5886134977 7.830239813658409
