#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -474032.0062955553 17.98615101282485
10 60 -5 -4 0.5 1 69260.74084446536 0.3219723528745817
10 60 -5 -4 1 1.5 77471.83964175038 2.843531654463732
10 60 -5 -4 1.5 2 62465.26590222555 1.992918876167096
10 60 -5 -4 2 2.5 49903.32973282953 1.468225149408681
10 60 -5 -4 2.5 3 40516.42710201124 1.33839904510387
10 60 -5 -4 3 3.5 33476.99091334094 0.902250627426838
10 60 -5 -4 3.5 4 28087.85694819794 0.7203426272862998
10 60 -5 -4 4 4.5 23870.58377566958 0.8171892455538909
10 60 -5 -4 4.5 5 20503.65641459149 0.476076042639761
10 60 -5 -4 5 5.5 17768.38630979974 0.3938799371062487
10 60 -5 -4 5.5 6 15512.78049963427 0.3270496002533037
10 60 -5 -4 6 6.5 13628.77920181817 0.2713144082645158
10 60 -5 -4 6.5 7 12037.87686299558 0.2245513067846332
10 60 -5 -4 7 7.5 10681.85313427419 0.1864715517131117
10 60 -5 -4 7.5 8 9516.716735093973 0.1552073117891268
10 60 -5 -4 8 8.5 8508.641416677416 0.1311659789389523
10 60 -5 -4 8.5 9 7631.204596977706 0.1117441914384472
10 60 -5 -4 9 9.5 6863.463731143136 0.0953894032700191
10 60 -5 -4 9.5 10 6188.610484804595 0.08198106570398522
10 60 -5 -4 10 10.5 5592.985202845904 0.07018198610239779
10 60 -5 -4 10.5 11 5065.371411530183 0.06000889748065674
10 60 -5 -4 11 11.5 4596.481316487752 0.05205213329554681
10 60 -5 -4 11.5 12 4178.547892230981 0.1774319605437995
10 60 -5 -4 12 12.5 3805.029346149902 0.1316234296132279
10 60 -5 -4 12.5 13 3470.381807637836 0.09479892549188662
10 60 -5 -4 13 13.5 3169.88099508736 0.06568178630095645
10 60 -5 -4 13.5 14 2899.4732499716 0.04269159651585142
10 60 -5 -4 14 14.5 2655.663804659435 0.02453589406059109
10 60 -5 -4 14.5 15 2435.430276300773 0.02151420711879837
10 60 -5 -4 15 16 4291.687658727862 0.0440521712635018
10 60 -5 -4 16 17 3634.125710917961 0.1488266594046763
10 60 -5 -4 17 18 3090.021875252648 0.02406869038759396
10 60 -5 -4 18 19 2637.383235881411 0.01949292210338172
10 60 -5 -4 19 20 2258.973581366358 0.01625348560992279
10 60 -5 -4 20 21 1941.181554431556 0.01366182958395257
10 60 -5 -4 21 22 1673.182864728038 0.01277343796323294
10 60 -5 -4 22 23 1446.286267364487 0.01315741113171498
10 60 -5 -4 23 24 1253.489285887113 0.0113675676816456
10 60 -5 -4 24 25 1089.113333420026 0.01206128437820553
10 60 -5 -4 25 26 948.5182045041902 0.01381080920384647
10 60 -5 -4 26 27 827.9010052722792 0.01284295569439564
10 60 -5 -4 27 28 724.1342352083084 0.01186023740444853
10 60 -5 -4 28 29 634.626256449672 0.01161125914961758
10 60 -5 -4 29 30 557.2215112043991 0.0109935077038017
10 60 -5 -4 30 31 490.125542487927 0.01041094575032275
10 60 -5 -4 31 32 431.835375190075 0.01019424857247486
10 60 -5 -4 32 33 381.0865756191619 0.00999005891003435
10 60 -5 -4 33 34 336.8142252866106 0.009284374545529772
10 60 -5 -4 34 35 298.1173967962745 0.008304651474418279
10 60 -5 -4 35 36 264.2322554953601 0.007809473484257978
10 60 -5 -4 36 37 234.5086599680932 0.007275526423796919
10 60 -5 -4 37 38 208.391991240838 0.006796714864350406
10 60 -5 -4 38 39 185.4083422062241 0.006199029508678677
10 60 -5 -4 39 40 165.1513934764995 0.005578715447967397
10 60 -5 -4 40 42 278.7384717579806 0.009468981598274695
10 60 -5 -4 42 44 222.5639811321589 0.007096415498153874
10 60 -5 -4 44 46 178.4010016357669 0.004417003375635886
10 60 -5 -4 46 48 143.5167090045371 0.002168054504522843
10 60 -5 -4 48 50 115.8397773875154 0.0006150337879233803
10 60 -5 -4 50 52 93.79142637821708 0.001269295010985161
10 60 -5 -4 52 54 76.15995327330212 0.002905675371707162
10 60 -5 -4 54 56 62.0102651005468 0.0003252010537977412
10 60 -5 -4 56 58 50.61685410173942 0.0002659243281115664
10 60 -5 -4 58 60 41.41396976175422 0.0002182025210473171
10 60 -5 -4 60 65 73.90125968336868 0.0003875310819694278
10 60 -5 -4 65 70 45.51700444826348 0.0002394760220596481
10 60 -5 -4 70 80 46.0751201985721 0.0008708918477040584
10 60 -5 -4 80 90 18.30990269758574 0.0004736782786345373
10 60 -5 -4 90 100 7.39229885765305 0.000212019062211688
10 60 -4 -3.5 0 0.5 -315439.150665685 4.765554649115074
10 60 -4 -3.5 0.5 1 28502.99461474492 0.5927711490148795
10 60 -4 -3.5 1 1.5 41224.55743130844 1.417246808741766
10 60 -4 -3.5 1.5 2 34775.72347276776 1.118938361250912
10 60 -4 -3.5 2 2.5 28394.35424223195 0.9128976886167948
10 60 -4 -3.5 2.5 3 23377.7799602066 0.7369503809277376
10 60 -4 -3.5 3 3.5 19516.97495650828 0.5877714363923587
10 60 -4 -3.5 3.5 4 16512.99588462858 0.4673232223904051
10 60 -4 -3.5 4 4.5 14135.38335729955 0.3747657322655868
10 60 -4 -3.5 4.5 5 12220.97826988473 0.3014068334505282
10 60 -4 -3.5 5 5.5 10655.31064876171 0.2423320724647056
10 60 -4 -3.5 5.5 6 9357.05916138819 0.1936887034444226
10 60 -4 -3.5 6 6.5 8267.666699714211 0.1562996379325341
10 60 -4 -3.5 6.5 7 7343.974563676615 0.1275331563483633
10 60 -4 -3.5 7 7.5 6553.781415730806 0.1057473255132209
10 60 -4 -3.5 7.5 8 5872.52964271823 0.08935436969022703
10 60 -4 -3.5 8 8.5 5281.195528327572 0.07617614996343036
10 60 -4 -3.5 8.5 9 4764.927160305349 0.06532177854387555
10 60 -4 -3.5 9 9.5 4311.79934229627 0.05594894614569057
10 60 -4 -3.5 9.5 10 3912.267698623011 0.04787419941476401
10 60 -4 -3.5 10 10.5 3558.56520673999 0.04114410172496719
10 60 -4 -3.5 10.5 11 3244.23977879678 0.03550101750170143
10 60 -4 -3.5 11 11.5 2963.975341534156 0.1460955326087969
10 60 -4 -3.5 11.5 12 2713.334642066628 0.1145589349430338
10 60 -4 -3.5 12 12.5 2488.538087813873 0.0885776483232803
