#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -449560.0268439585 7.887761260441039
10 60 -5 -4 0.5 1 66638.74106489058 0.3138487573596649
10 60 -5 -4 1 1.5 74449.86820971659 2.736213792828494
10 60 -5 -4 1.5 2 60100.15123689167 1.928708676212409
10 60 -5 -4 2 2.5 48068.65019455391 1.425607708421012
10 60 -5 -4 2.5 3 39065.17197761222 1.820547161762079
10 60 -5 -4 3 3.5 32304.7189681377 0.8787115511840966
10 60 -5 -4 3.5 4 27123.33628854953 0.7018613413420098
10 60 -5 -4 4 4.5 23064.57194994021 0.564682152828027
10 60 -5 -4 4.5 5 19821.26364154195 0.8912695762592193
10 60 -5 -4 5 5.5 17184.40599784624 0.3832061031680496
10 60 -5 -4 5.5 6 15008.40556768502 0.3179217434353632
10 60 -5 -4 6 6.5 13189.7826862155 0.2635790157892188
10 60 -5 -4 6.5 7 11653.26662786222 0.218039229450369
10 60 -5 -4 7 7.5 10342.98966278936 0.1810259045723797
10 60 -5 -4 7.5 8 9216.704536812125 0.15067283368262
10 60 -5 -4 8 8.5 8241.90028922228 0.1272908749506314
10 60 -5 -4 8.5 9 7393.163081215713 0.1084036983238548
10 60 -5 -4 9 9.5 6650.335474864303 0.0925198914928842
10 60 -5 -4 9.5 10 5997.22845007606 0.07948949110414105
10 60 -5 -4 10 10.5 5420.67771186859 0.06803663562550355
10 60 -5 -4 10.5 11 4909.867325885502 0.05816896886335599
10 60 -5 -4 11 11.5 4455.836592786762 0.05044150675257697
10 60 -5 -4 11.5 12 4051.088555279961 0.1734001480526786
10 60 -5 -4 12 12.5 3689.306294211573 0.1287706679736402
10 60 -5 -4 12.5 13 3365.13452556113 0.09289616586693228
10 60 -5 -4 13 13.5 3074.008135295576 0.06452567986161739
10 60 -5 -4 13.5 14 2812.008916676754 0.04211860395935219
10 60 -5 -4 14 14.5 2575.758056960435 0.02441900419171361
10 60 -5 -4 14.5 15 2362.332772530703 0.02085591643390217
10 60 -5 -4 15 16 4163.333964359978 0.03905815810321656
10 60 -5 -4 16 17 3525.943925823324 0.1414532820290333
10 60 -5 -4 17 18 2998.451638497416 0.02331307734493748
10 60 -5 -4 18 19 2559.569218387049 0.01888384348694672
10 60 -5 -4 19 20 2192.609560281026 0.015744617159271
10 60 -5 -4 20 21 1884.392647170487 0.01323054380668509
10 60 -5 -4 21 22 1624.435366554907 0.01279780209051751
10 60 -5 -4 22 23 1404.319334158295 0.01310912241797269
10 60 -5 -4 23 24 1217.261015728427 0.0113358389885434
10 60 -5 -4 24 25 1057.758607165623 0.01195128193558048
10 60 -5 -4 25 26 921.3158819176077 0.0135772276832995
10 60 -5 -4 26 27 804.2475362408117 0.0125863515564788
10 60 -5 -4 27 28 703.5223768749535 0.01159559549375899
10 60 -5 -4 28 29 616.6283342683696 0.01132086071845606
10 60 -5 -4 29 30 541.4758138467639 0.0106869961546181
10 60 -5 -4 30 31 476.3250624909065 0.01008492371005332
10 60 -5 -4 31 32 419.7187808695634 0.00984787780203078
10 60 -5 -4 32 33 370.4308440857343 0.009638553344984757
10 60 -5 -4 33 34 327.4284755658802 0.008945785437106224
10 60 -5 -4 34 35 289.837862769106 0.007987859404579467
10 60 -5 -4 35 36 256.9180890934322 0.007499758715482585
10 60 -5 -4 36 37 228.038452150894 0.006982200314581632
10 60 -5 -4 37 38 202.660860185162 0.006521838286346338
10 60 -5 -4 38 39 180.3254861288652 0.005947103266720433
10 60 -5 -4 39 40 160.6380474151773 0.005352376941772263
10 60 -5 -4 40 42 271.1554313504259 0.009084405926614636
10 60 -5 -4 42 44 216.5456156548488 0.006824401627966381
10 60 -5 -4 44 46 173.6052099736999 0.004273779298358704
10 60 -5 -4 46 48 139.6808590401908 0.002136686347199657
10 60 -5 -4 48 50 112.7611139687261 0.0005947063683606757
10 60 -5 -4 50 52 91.3125462096604 0.00112161080886608
10 60 -5 -4 52 54 74.15805049271547 0.002678675391180718
10 60 -5 -4 54 56 60.38907739732935 0.0003143574300921159
10 60 -5 -4 56 58 49.30059403011494 0.0002570328685109757
10 60 -5 -4 58 60 40.34272744466857 0.0002108832963401142
10 60 -5 -4 60 65 72.00634218257375 0.000374487613029828
10 60 -5 -4 65 70 44.36504803417039 0.0002313730372591749
10 60 -5 -4 70 80 44.92966703783071 0.0008434224473106156
10 60 -5 -4 80 90 17.86594079117326 0.0004593315462244618
10 60 -5 -4 90 100 7.217112173394482 0.0002057609875247834
10 60 -4 -3.5 0 0.5 -299491.7252365976 4.532311395509169
10 60 -4 -3.5 0.5 1 27491.43666854022 0.5554435686026409
10 60 -4 -3.5 1 1.5 39606.04413082568 1.365628048602957
10 60 -4 -3.5 1.5 2 33438.77486875615 1.083229303651024
10 60 -4 -3.5 2 2.5 27328.39152894302 0.8863676175024011
10 60 -4 -3.5 2.5 3 22518.76705434632 0.7163764638462453
10 60 -4 -3.5 3 3.5 18813.04531570003 0.5715374739374965
10 60 -4 -3.5 3.5 4 15926.82855896018 0.4543621356879157
10 60 -4 -3.5 4 4.5 13640.37692345263 0.3642709566192934
10 60 -4 -3.5 4.5 5 11797.91026964181 0.2928901058166957
10 60 -4 -3.5 5 5.5 10290.02055776954 0.2354429931983759
10 60 -4 -3.5 5.5 6 9038.911123808686 0.1881622953715123
10 60 -4 -3.5 6 6.5 7988.515773956291 0.1518030424749668
10 60 -4 -3.5 6.5 7 7097.477911438002 0.123821775648139
10 60 -4 -3.5 7 7.5 6334.917206900192 0.1026321203007683
10 60 -4 -3.5 7.5 8 5677.264790667956 0.08667349351435405
10 60 -4 -3.5 8 8.5 5106.250380067047 0.0738573251546768
10 60 -4 -3.5 8.5 9 4607.599518555126 0.0633028726451812
10 60 -4 -3.5 9 9.5 4169.843144892156 0.0541927958438464
10 60 -4 -3.5 9.5 10 3783.796731360382 0.04636076358883656
10 60 -4 -3.5 10 10.5 3441.981101107533 0.03983838422891495
10 60 -4 -3.5 10.5 11 3138.180293190525 0.03436795528114089
10 60 -4 -3.5 11 11.5 2867.27056932095 0.1419192172329531
10 60 -4 -3.5 11.5 12 2624.973039243882 0.1112774137186534
10 60 -4 -3.5 12 12.5 2407.641678530079 0.08603748819587054
10 60 -4 -3.5 12.5 13 2212.189973213561 0.06483867144106625
10 60 -4 -3.5 13 13.5 2036.002824073632 0.04820068226467811
10 60 -4 -3.5 13.5 14 1876.825771216086 0.03572707991133939
10 60 -4 -3.5 14 14.5 1732.700685540925 0.02524720233168409
10 60 -4 -3.5 14.5 15 1601.941283724869 0.01660270436286737
10 60 -4 -3.5 15 16 2857.955131460615 0.05854572550788362
10 60 -4 -3.5 16 17 2462.101711696731 0.01845694021949384
10 60 -4 -3.5 17 18 2131.184248338512 0.04683297598330682
10 60 -4 -3.5 18 19 1852.887089277232 0.06796163775061359
10 60 -4 -3.5 19 20 1617.523886007976 0.07949565408102899
10 60 -4 -3.5 20 21 1417.440878107289 0.008667188633808109
10 60 -4 -3.5 21 22 1246.527386072348 0.007345854770846927
10 60 -4 -3.5 22 23 1099.869485551821 0.006309828593884959
10 60 -4 -3.5 23 24 973.4931377801706 0.005446418340739001
10 60 -4 -3.5 24 25 864.1593983499151 0.004739373694746973
10 60 -4 -3.5 25 26 769.2163702090187 0.005731252347686677
10 60 -4 -3.5 26 27 686.4795917755629 0.006904442238010233
10 60 -4 -3.5 27 28 614.1391052870309 0.007163444867273938
10 60 -4 -3.5 28 29 550.689546209327 0.00780562076181468
10 60 -4 -3.5 29 30 494.8724928304849 0.008452375326669426
10 60 -4 -3.5 30 31 445.6310979278932 0.00891813014516174
10 60 -4 -3.5 31 32 402.0746638250532 0.009690371159820188
10 60 -4 -3.5 32 33 363.4489518377066 0.01027109837457374
10 60 -4 -3.5 33 34 329.1130504761488 0.01031477721585361
10 60 -4 -3.5 34 35 298.5200562334684 0.01028364064245579
10 60 -4 -3.5 35 36 271.2021981266427 0.01031067996433421
10 60 -4 -3.5 36 37 246.7584412980059 0.01031203466894226
10 60 -4 -3.5 37 38 224.843025175619 0.01035376366215246
10 60 -4 -3.5 38 39 205.1567536985024 0.0009512105150975003
10 60 -4 -3.5 39 40 187.4408689765705 0.0008638348047611544
10 60 -4 -3.5 40 42 328.5204216533782 0.001504773504052537
10 60 -4 -3.5 42 44 276.2027297453994 0.001255077713040009
10 60 -4 -3.5 44 46 233.2246711221112 0.001053268697262411
10 60 -4 -3.5 46 48 197.7198122356104 0.0008885760690588995
10 60 -4 -3.5 48 50 168.236612922475 0.0007533979727440965
10 60 -4 -3.5 50 52 143.6360422233491 0.0006418788895814487
10 60 -4 -3.5 52 54 123.0184814922723 0.0005488362506866906
10 60 -4 -3.5 54 56 105.6676908082133 0.0004710465968997823
10 60 -4 -3.5 56 58 91.01008820068428 0.0004053611201015883
10 60 -4 -3.5 58 60 78.58334954211878 0.000350108124123949
10 60 -4 -3.5 60 65 153.5355735028222 0.0006855000916345944
10 60 -4 -3.5 65 70 108.350798575326 0.0004862717430000885
10 60 -4 -3.5 70 80 133.0160870613554 0.0006019583005638651
10 60 -4 -3.5 80 90 70.02768472869731 0.0003222542429597297
10 60 -4 -3.5 90 100 37.84552105971039 0.0003932490423252943
10 60 -3.5 -3.25 0 0.5 -168737.9369114312 2.344744493195321
10 60 -3.5 -3.25 0.5 1 11980.56018093257 0.07366885956434999
10 60 -3.5 -3.25 1 1.5 20096.02351514736 0.6893074106264976
10 60 -3.5 -3.25 1.5 2 17322.76043713152 0.5249695479651564
10 60 -3.5 -3.25 2 2.5 14287.7072627368 0.4152422909119196
10 60 -3.5 -3.25 2.5 3 11836.83699251924 0.3390994990095351
10 60 -3.5 -3.25 3 3.5 9924.823778883456 0.2813538562004396
10 60 -3.5 -3.25 3.5 4 8424.250625178298 0.2319345030482509
10 60 -3.5 -3.25 4 4.5 7229.257333887839 0.1885089583256558
10 60 -3.5 -3.25 4.5 5 6262.626651107434 0.1521893165045185
10 60 -3.5 -3.25 5 5.5 5469.183819887926 0.1233953709534035
10 60 -3.5 -3.25 5.5 6 4809.347064649588 0.1016052418972322
10 60 -3.5 -3.25 6 6.5 4254.348399063609 0.08613694899486291
10 60 -3.5 -3.25 6.5 7 3782.854610667376 0.08846086204675885
10 60 -3.5 -3.25 7 7.5 3378.867806538531 0.09579993976103651
10 60 -3.5 -3.25 7.5 8 3030.113444967434 0.1022279978128608
10 60 -3.5 -3.25 8 8.5 2727.08097977586 0.1058237048523551
10 60 -3.5 -3.25 8.5 9 2462.272791045103 0.113725577308287
10 60 -3.5 -3.25 9 9.5 2229.688466071721 0.02854052545126251
10 60 -3.5 -3.25 9.5 10 2024.496298682124 0.02433255106484467
10 60 -3.5 -3.25 10 10.5 1842.741377759384 0.02101419092855394
10 60 -3.5 -3.25 10.5 11 1681.163909720618 0.01821341870072501
10 60 -3.5 -3.25 11 11.5 1537.049917382845 0.07550268309682906
10 60 -3.5 -3.25 11.5 12 1408.122805822234 0.05837627325490757
10 60 -3.5 -3.25 12 12.5 1292.462380870346 0.04481341663313287
