#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -620304.9517237898 14.15360880864318
10 60 -5 -4 0.5 1 23378.49612447521 1.05959641852678
10 60 -5 -4 1 1.5 59953.14350366986 1.167937497149978
10 60 -5 -4 1.5 2 54286.63320594061 2.183586777638993
10 60 -5 -4 2 2.5 45831.42413625446 0.8723815453340649
10 60 -5 -4 2.5 3 38519.24366737925 0.8458856430734158
10 60 -5 -4 3 3.5 32612.39610770822 0.9929690051249054
10 60 -5 -4 3.5 4 27869.09793620866 0.6707803263343521
10 60 -5 -4 4 4.5 24026.46419309564 0.5824153909488814
10 60 -5 -4 4.5 5 20875.81845389242 0.4964670100744115
10 60 -5 -4 5 5.5 18260.75665781777 0.4197738488255709
10 60 -5 -4 5.5 6 16065.86798349696 0.3530503619476804
10 60 -5 -4 6 6.5 14205.14125492101 0.2956939522828179
10 60 -5 -4 6.5 7 12614.02010940569 0.2484379931029252
10 60 -5 -4 7 7.5 11243.08954167841 0.2091617699734343
10 60 -5 -4 7.5 8 10054.23221543895 0.1762551594365505
10 60 -5 -4 8 8.5 9017.333369991809 0.1505473157831148
10 60 -5 -4 8.5 9 8108.595625023145 0.1286726118160004
10 60 -5 -4 9 9.5 7308.670239044407 0.1106799368308202
10 60 -5 -4 9.5 10 6601.870695085536 0.09521474084522197
10 60 -5 -4 10 10.5 5975.260734116197 0.08179755429227953
10 60 -5 -4 10.5 11 5418.020681186362 0.07004407570366311
10 60 -5 -4 11 11.5 4921.137326269406 0.06104827023591497
10 60 -5 -4 11.5 12 4476.976996192147 0.05314618526426784
10 60 -5 -4 12 12.5 4079.017569617699 0.1710928940296981
10 60 -5 -4 12.5 13 3721.711434948957 0.1249991858394424
10 60 -5 -4 13 13.5 3400.284737816661 0.08949524434774503
10 60 -5 -4 13.5 14 3110.595759446157 0.06033703473030982
10 60 -5 -4 14 14.5 2849.062149004629 0.03745363748294039
10 60 -5 -4 14.5 15 2612.566863928719 0.02525444901812079
10 60 -5 -4 15 16 4602.507762249654 0.0440288696963762
10 60 -5 -4 16 17 3894.909115564267 0.1373140106898063
10 60 -5 -4 17 18 3308.981251337737 0.02799887664878042
10 60 -5 -4 18 19 2821.402774227065 0.02265698289011198
10 60 -5 -4 19 20 2413.815663476962 0.01877944760190076
10 60 -5 -4 20 21 2071.64028164785 0.0178505538438003
10 60 -5 -4 21 22 1783.24692188588 0.0181737367202004
10 60 -5 -4 22 23 1539.275608394006 0.01480596062810946
10 60 -5 -4 23 24 1332.160132683358 0.01016528185482457
10 60 -5 -4 24 25 1155.761088124374 0.009826022861261663
10 60 -5 -4 25 26 1005.056506254808 0.01162872731765674
10 60 -5 -4 26 27 875.9245898749746 0.01224139505018229
10 60 -5 -4 27 28 764.9754531918393 0.01259918117239067
10 60 -5 -4 28 29 669.4004677469537 0.01284196041228824
10 60 -5 -4 29 30 586.8630643912749 0.01257694600838022
10 60 -5 -4 30 31 515.4182209218923 0.01215238091117499
10 60 -5 -4 31 32 453.4382193269423 0.01159877019665601
10 60 -5 -4 32 33 399.554611395381 0.01067309258195337
10 60 -5 -4 33 34 352.6156225386109 0.00956964585031983
10 60 -5 -4 34 35 311.6479020504386 0.008417787085988948
10 60 -5 -4 35 36 275.8266323046527 0.007950896256659234
10 60 -5 -4 36 37 244.4503321400527 0.007696890629489417
10 60 -5 -4 37 38 216.9211447322502 0.007562619761159795
10 60 -5 -4 38 39 192.7291964443134 0.007249339296407697
10 60 -5 -4 39 40 171.4378272273285 0.006758135852066971
10 60 -5 -4 40 42 288.7788644912249 0.01154324818634223
10 60 -5 -4 42 44 229.9800792204884 0.008380952841008593
10 60 -5 -4 44 46 183.8795531440508 0.005096670989928498
10 60 -5 -4 46 48 147.5615995236278 0.002485353338158802
10 60 -5 -4 48 50 118.8219086987088 0.0008318080350022683
10 60 -5 -4 50 52 95.98494935688612 0.001087604937893616
10 60 -5 -4 52 54 77.76741368474062 0.003272095380708606
10 60 -5 -4 54 56 63.18230038409257 0.0003319645462838139
10 60 -5 -4 56 58 51.46570936594093 0.0002703340655614284
10 60 -5 -4 58 60 42.02305502995489 0.0002207203627691001
10 60 -5 -4 60 65 74.74621537572047 0.0003895882197895162
10 60 -5 -4 65 70 45.82612542733938 0.0002382686772151033
10 60 -5 -4 70 80 46.11648323395512 0.0009863216548779974
10 60 -5 -4 80 90 18.18516887866543 0.0005273205831315408
10 60 -5 -4 90 100 7.29107736513754 0.0002188241606972952
10 60 -4 -3.5 0 0.5 -365208.1160388071 5.455797927163076
10 60 -4 -3.5 0.5 1 16250.895710806 0.7092468152113724
10 60 -4 -3.5 1 1.5 37400.58980380037 1.185622802040598
10 60 -4 -3.5 1.5 2 33461.23171311156 1.047306081731222
10 60 -4 -3.5 2 2.5 28082.63115234951 0.8935995922365692
10 60 -4 -3.5 2.5 3 23518.48485490597 0.7441795349550375
10 60 -4 -3.5 3 3.5 19869.55690224365 0.6063310415120213
10 60 -4 -3.5 3.5 4 16960.73704982871 0.4903934090907569
10 60 -4 -3.5 4 4.5 14617.97427770136 0.3993766943895025
10 60 -4 -3.5 4.5 5 12706.14784565376 0.3260253508233291
10 60 -4 -3.5 5 5.5 11125.73368941353 0.2648976614709682
10 60 -4 -3.5 5.5 6 9803.65901392074 0.2142881627751194
10 60 -4 -3.5 6 6.5 8686.082164678322 0.1758950102030212
10 60 -4 -3.5 6.5 7 7732.636337363703 0.1450330491843488
10 60 -4 -3.5 7 7.5 6912.699977139275 0.1212920699790629
10 60 -4 -3.5 7.5 8 6202.669954282009 0.1026601902622133
10 60 -4 -3.5 8 8.5 5584.04381285456 0.08755550856312766
10 60 -4 -3.5 8.5 9 5042.205493988075 0.07508411540675297
10 60 -4 -3.5 9 9.5 4565.37381013683 0.0641194360650843
10 60 -4 -3.5 9.5 10 4143.978417114379 0.05508368961545784
10 60 -4 -3.5 10 10.5 3770.205701733242 0.04717091046904898
10 60 -4 -3.5 10.5 11 3437.532342251661 0.04089155922383725
10 60 -4 -3.5 11 11.5 3140.517121728305 0.03530026712587642
10 60 -4 -3.5 11.5 12 2874.609213928821 0.1307978862478194
10 60 -4 -3.5 12 12.5 2635.923161857917 0.1010694988758587
10 60 -4 -3.5 12.5 13 2421.141294918843 0.07641567025848417
10 60 -4 -3.5 13 13.5 2227.438976917597 0.05657663995270923
