#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -455152.5544747168 9.724915170634631
10 60 -5 -4 0.5 1 91915.2632921386 1.887142567371484
10 60 -5 -4 1 1.5 90166.43792778943 0.6588396308216034
10 60 -5 -4 1.5 2 70526.54167831299 3.258637596954941
10 60 -5 -4 2 2.5 55436.97539001774 2.316248153503693
10 60 -5 -4 2.5 3 44515.06283354979 1.704954644388636
10 60 -5 -4 3 3.5 36472.93887487354 1.279131776209397
10 60 -5 -4 3.5 4 30393.67785239839 0.9766745666056522
10 60 -5 -4 4 4.5 25682.16738776846 0.756434062270273
10 60 -5 -4 4.5 5 21950.28202896508 0.5883070059062447
10 60 -5 -4 5 5.5 18938.82562802286 0.4609166209083924
10 60 -5 -4 5.5 6 16469.98643182909 0.3622999256913317
10 60 -5 -4 6 6.5 14418.77999272395 0.4044013756156346
10 60 -5 -4 6.5 7 12694.96265914813 0.2409773658073391
10 60 -5 -4 7 7.5 11232.04270418108 0.1985595908536197
10 60 -5 -4 7.5 8 9980.135285582828 0.1638812763776514
10 60 -5 -4 8 8.5 8901.041959844106 0.1381431484787754
10 60 -5 -4 8.5 9 7965.069750876158 0.1203980274067362
10 60 -5 -4 9 9.5 7148.77494111625 0.1071069110776079
10 60 -5 -4 9.5 10 6433.426764131295 0.09345792982458079
10 60 -5 -4 10 10.5 5803.851872152896 0.07785178622361855
10 60 -5 -4 10.5 11 5247.648177269966 0.06539602792963706
10 60 -5 -4 11 11.5 4754.57947808337 0.2123363295704621
10 60 -5 -4 11.5 12 4316.116163922388 0.1566967144044611
10 60 -5 -4 12 12.5 3925.105505752671 0.1126768407739291
10 60 -5 -4 12.5 13 3575.503835679701 0.07811957979492945
10 60 -5 -4 13 13.5 3262.170336520702 0.05059037807268396
10 60 -5 -4 13.5 14 2980.716444744726 0.02901774705969729
10 60 -5 -4 14 14.5 2727.374415459463 0.02356514677467203
10 60 -5 -4 14.5 15 2498.891863576686 0.02338196473328935
10 60 -5 -4 15 16 4398.05308561218 0.1158259342755628
10 60 -5 -4 16 17 3718.619802499839 0.03148723616959614
10 60 -5 -4 17 18 3157.745149401018 0.02549771214262364
10 60 -5 -4 18 19 2692.115907755609 0.02092514126388778
10 60 -5 -4 19 20 2303.56030750251 0.01738352498159657
10 60 -5 -4 20 21 1977.773239660181 0.01455456654252885
10 60 -5 -4 21 22 1703.418480935959 0.01201469542934319
10 60 -5 -4 22 23 1471.433570229134 0.01030191510517398
10 60 -5 -4 23 24 1274.535083862555 0.008684407143618955
10 60 -5 -4 24 25 1106.822349419232 0.008593639008722675
10 60 -5 -4 25 26 963.4996242952132 0.007787305355805074
10 60 -5 -4 26 27 840.6415103916985 0.006575188132387666
10 60 -5 -4 27 28 735.0173145835528 0.007870810369126957
10 60 -5 -4 28 29 643.9619191329294 0.008838583495162311
10 60 -5 -4 29 30 565.2644784531404 0.009417652974661905
10 60 -5 -4 30 31 497.082429477204 0.0103539149529297
10 60 -5 -4 31 32 437.8735539797224 0.01090160517389904
10 60 -5 -4 32 33 386.344919023114 0.01050019864044316
10 60 -5 -4 33 34 341.4090766136807 0.00923245760128566
10 60 -5 -4 34 35 302.1450315798459 0.007843367002863033
10 60 -5 -4 35 36 267.7726250989359 0.006999559624944141
10 60 -5 -4 36 37 237.6295747718014 0.00665864934208571
10 60 -5 -4 37 38 211.1505146398599 0.006288718079161981
10 60 -5 -4 38 39 187.8522516101591 0.006043189758997869
10 60 -5 -4 39 40 167.321423998503 0.006062223953620105
10 60 -5 -4 40 42 282.3931641914472 0.01212975515551307
10 60 -5 -4 42 44 225.4828962932952 0.001307542405584172
10 60 -5 -4 44 46 180.7497112300125 0.009005605472964362
10 60 -5 -4 46 48 145.4180614588539 0.005870458408594459
10 60 -5 -4 48 50 117.3881455431766 0.002241368559694479
10 60 -5 -4 50 52 95.05865721551987 0.001346233896612148
10 60 -5 -4 52 54 77.20182753423576 0.0004425515468966523
10 60 -5 -4 54 56 62.87014272897402 0.0003601808957824915
10 60 -5 -4 56 58 51.32912373455378 0.0002943075200718681
10 60 -5 -4 58 60 42.00587435920299 0.0002409830171146154
10 60 -5 -4 60 65 74.98592598941012 0.0004310370816256182
10 60 -5 -4 65 70 46.211568185579 0.0002671307427064562
10 60 -5 -4 70 80 46.81141047520462 0.0008942430285614478
10 60 -5 -4 80 90 18.62025575888834 0.0004395871086089187
10 60 -5 -4 90 100 7.527201338637942 0.000200761674678418
10 60 -4 -3.5 0 0.5 -315531.4943235046 5.442719373735599
10 60 -4 -3.5 0.5 1 33944.29656829993 0.3489701121725375
10 60 -4 -3.5 1 1.5 44536.66271331066 2.087233642305364
10 60 -4 -3.5 1.5 2 36955.68400796708 1.542261303700798
10 60 -4 -3.5 2 2.5 29922.92053075974 1.371429333910783
10 60 -4 -3.5 2.5 3 24497.95672722812 0.8483251687357551
10 60 -4 -3.5 3 3.5 20364.17336695887 0.646938595607935
10 60 -4 -3.5 3.5 4 17169.06118326854 0.4889898237852321
10 60 -4 -3.5 4 4.5 14652.49969646606 0.3961721945834142
10 60 -4 -3.5 4.5 5 12634.32157586081 0.3202524170865217
10 60 -4 -3.5 5 5.5 10989.38208887576 0.2565741443249863
10 60 -4 -3.5 5.5 6 9629.555154919275 0.2070965798211546
10 60 -4 -3.5 6 6.5 8491.581834567825 0.1698673165574291
10 60 -4 -3.5 6.5 7 7529.172838362391 0.1400561449981979
10 60 -4 -3.5 7 7.5 6707.789128857255 0.116532819416534
10 60 -4 -3.5 7.5 8 6001.218444088689 0.09779479327789886
10 60 -4 -3.5 8 8.5 5389.221067305772 0.08241051214736217
10 60 -4 -3.5 8.5 9 4855.946370508374 0.06979556239912199
10 60 -4 -3.5 9 9.5 4388.795496449324 0.05907936893436272
10 60 -4 -3.5 9.5 10 3977.64275503445 0.05005575127142947
10 60 -4 -3.5 10 10.5 3614.248358663614 0.04259928503233823
10 60 -4 -3.5 10.5 11 3291.844373655384 0.03689181615754933
10 60 -4 -3.5 11 11.5 3004.822168904581 0.1384374739654959
10 60 -4 -3.5 11.5 12 2748.491718218729 0.1063964168251914
10 60 -4 -3.5 12 12.5 2518.906288142996 0.08079575075771572
10 60 -4 -3.5 12.5 13 2312.723443869113 0.06041900867830918
10 60 -4 -3.5 13 13.5 2127.094518938502 0.04421614164402854
10 60 -4 -3.5 13.5 14 1959.57921128136 0.03276087518224813
10 60 -4 -3.5 14 14.5 1808.07753927413 0.03045022383548712
10 60 -4 -3.5 14.5 15 1670.773354152808 0.02763108418275806
10 60 -4 -3.5 15 16 2978.749034673993 0.04621286585779671
10 60 -4 -3.5 16 17 2564.176026795362 0.0350942374452643
10 60 -4 -3.5 17 18 2218.151570643657 0.06341999330834369
10 60 -4 -3.5 18 19 1927.526637210422 0.08247827781315209
10 60 -4 -3.5 19 20 1682.018615151589 0.01341219125833959
10 60 -4 -3.5 20 21 1473.510737382777 0.0107932928729042
10 60 -4 -3.5 21 22 1295.543152293738 0.008457466291019955
10 60 -4 -3.5 22 23 1142.934827548567 0.006822480943128539
10 60 -4 -3.5 23 24 1011.503747374998 0.005885481831910511
10 60 -4 -3.5 24 25 897.8487264080092 0.005103250898287115
10 60 -4 -3.5 25 26 799.1873167122583 0.006147837008484203
10 60 -4 -3.5 26 27 713.23179692503 0.007867057169391956
10 60 -4 -3.5 27 28 638.0921239391334 0.008949184175776281
10 60 -4 -3.5 28 29 572.1980249773435 0.01010014843177487
10 60 -4 -3.5 29 30 514.2361801512636 0.010770056715387
10 60 -4 -3.5 30 31 463.1046641151489 0.01153156151417534
10 60 -4 -3.5 31 32 417.8754246341363 0.01299512262454527
10 60 -4 -3.5 32 33 377.7648606468964 0.01385749982091511
10 60 -4 -3.5 33 34 342.1083724442566 0.01361133642427603
10 60 -4 -3.5 34 35 310.3373606087556 0.01369734543379764
10 60 -4 -3.5 35 36 281.9646166908334 0.001401806251067228
10 60 -4 -3.5 36 37 256.574858839143 0.001268396989985376
10 60 -4 -3.5 37 38 233.8086178951417 0.001147933133324841
10 60 -4 -3.5 38 39 213.3559103192545 0.001044891290746364
10 60 -4 -3.5 39 40 194.9484329190362 0.0009479249138166779
10 60 -4 -3.5 40 42 341.7190317288406 0.001654135051410321
10 60 -4 -3.5 42 44 287.3412085084301 0.001381190373308527
10 60 -4 -3.5 44 46 242.6621323486467 0.001160619725482093
10 60 -4 -3.5 46 48 205.7447165134781 0.0009806005199948231
10 60 -4 -3.5 48 50 175.084094513955 0.000832158286499407
10 60 -4 -3.5 50 52 149.4968988395548 0.000709073056015086
10 60 -4 -3.5 52 54 128.049932501153 0.0006072072530400874
10 60 -4 -3.5 54 56 109.9990050542609 0.0005215067432260412
10 60 -4 -3.5 56 58 94.74821878489099 0.0004495526042660458
10 60 -4 -3.5 58 60 81.81751206467685 0.0003885444118481018
10 60 -4 -3.5 60 65 159.8746027858553 0.0007617344653283453
10 60 -4 -3.5 65 70 112.8445391861719 0.0005411298047306445
10 60 -4 -3.5 70 80 138.5639421710662 0.000672502046882073
10 60 -4 -3.5 80 90 72.96289924744585 0.0003612803820516319
10 60 -4 -3.5 90 100 39.43145996564877 0.001635341077651731
10 60 -3.5 -3.25 0 0.5 -179516.6470527081 6.479404642537702
10 60 -3.5 -3.25 0.5 1 14026.60128816707 0.02603312102473865
10 60 -3.5 -3.25 1 1.5 22020.55787636175 1.021365208733187
10 60 -3.5 -3.25 1.5 2 18776.36663811597 0.728686317899701
10 60 -3.5 -3.25 2 2.5 15395.00162915788 0.5432346628513187
10 60 -3.5 -3.25 2.5 3 12700.69235666739 0.5629426864034031
10 60 -3.5 -3.25 3 3.5 10613.90224985146 0.3917816268840397
10 60 -3.5 -3.25 3.5 4 8984.264889810363 0.275682425193736
10 60 -3.5 -3.25 4 4.5 7691.472582297545 0.202855441047177
10 60 -3.5 -3.25 4.5 5 6649.024829179466 0.1635437754712257
10 60 -3.5 -3.25 5 5.5 5795.688766321581 0.1354187401902891
10 60 -3.5 -3.25 5.5 6 5087.7728388835 0.1121986428042874
10 60 -3.5 -3.25 6 6.5 4493.619780347127 0.09201435161867266
10 60 -3.5 -3.25 6.5 7 3989.891048707384 0.075383518765193
10 60 -3.5 -3.25 7 7.5 3559.072295073753 0.06186820601760701
10 60 -3.5 -3.25 7.5 8 3187.804450231049 0.05065242749105892
10 60 -3.5 -3.25 8 8.5 2865.727664163601 0.04188465490506132
10 60 -3.5 -3.25 8.5 9 2584.699929071179 0.04380953152349321
10 60 -3.5 -3.25 9 9.5 2338.228868345333 0.05277235933181146
10 60 -3.5 -3.25 9.5 10 2121.077097146539 0.06069707451115391
10 60 -3.5 -3.25 10 10.5 1928.975436130161 0.06769719717044609
10 60 -3.5 -3.25 10.5 11 1758.404392509137 0.07382492448550693
10 60 -3.5 -3.25 11 11.5 1606.443010241765 0.07919884885859574
10 60 -3.5 -3.25 11.5 12 1470.645640227942 0.05755916289786001
10 60 -3.5 -3.25 12 12.5 1348.946203249614 0.04372122426616443
10 60 -3.5 -3.25 12.5 13 1239.594738939407 0.03269059304261646
10 60 -3.5 -3.25 13 13.5 1141.096996373587 0.02390941508610922
10 60 -3.5 -3.25 13.5 14 1052.171325518096 0.01696356684169587
10 60 -3.5 -3.25 14 14.5 971.7130462334093 0.01145247226520496
10 60 -3.5 -3.25 14.5 15 898.7664492942702 0.007204234860409997
10 60 -3.5 -3.25 15 16 1604.69601699795 0.01869885994801734
10 60 -3.5 -3.25 16 17 1384.212609546649 0.0144873335336797
10 60 -3.5 -3.25 17 18 1200.060241859912 0.03357562582527862
10 60 -3.5 -3.25 18 19 1045.286902061738 0.0437099094565383
10 60 -3.5 -3.25 19 20 914.449677478309 0.005807920466850192
10 60 -3.5 -3.25 20 21 803.248587864069 0.004925461341713344
10 60 -3.5 -3.25 21 22 708.2588818191704 0.004190352519003682
10 60 -3.5 -3.25 22 23 626.7332308349303 0.003628623028475886
10 60 -3.5 -3.25 23 24 556.4514641535302 0.003129131184778089
10 60 -3.5 -3.25 24 25 495.6088166130933 0.002727263337078512
