#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -455086.3060312129 9.71306851238478
10 60 -5 -4 0.5 1 91899.30648656693 1.418576420895988
10 60 -5 -4 1 1.5 90149.49764407148 0.655855434233672
10 60 -5 -4 1.5 2 70513.0190207493 3.287290368927643
10 60 -5 -4 2 2.5 55426.15828185317 2.321580662915949
10 60 -5 -4 2.5 3 44506.196308862 1.699528087163344
10 60 -5 -4 3 3.5 36465.49255221982 1.268885103396315
10 60 -5 -4 3.5 4 30387.28931723089 0.9656981117914256
10 60 -5 -4 4 4.5 25676.58674861338 0.7462985473939625
10 60 -5 -4 4.5 5 21945.3318412034 0.5797035889409017
10 60 -5 -4 5 5.5 18934.34612518126 0.8794274301653786
10 60 -5 -4 5.5 6 16465.97251126824 0.3598004584782757
10 60 -5 -4 6 6.5 14415.11203422571 0.509785502221348
10 60 -5 -4 6.5 7 12691.58213967757 0.2411929255995346
10 60 -5 -4 7 7.5 11228.92197873284 0.1996811506778613
10 60 -5 -4 7.5 8 9977.243434798756 0.1651948955332045
10 60 -5 -4 8 8.5 8898.355957183101 0.1392012261858326
10 60 -5 -4 8.5 9 7962.569101784382 0.120817243955571
10 60 -5 -4 9 9.5 7146.444789711506 0.1069332009519712
10 60 -5 -4 9.5 10 6431.252987300923 0.0930989189309912
10 60 -5 -4 10 10.5 5801.82252169859 0.07763634061939229
10 60 -5 -4 10.5 11 5245.753087705969 0.06529912663063442
10 60 -5 -4 11 11.5 4752.808940383719 0.212116236491056
10 60 -5 -4 11.5 12 4314.461783069453 0.1564939344189042
10 60 -5 -4 12 12.5 3923.559731126087 0.1125166581728081
10 60 -5 -4 12.5 13 3574.059349249256 0.07796624705952127
10 60 -5 -4 13 13.5 3260.82052315843 0.05045483563617381
10 60 -5 -4 13.5 14 2979.455245642655 0.02890287576974515
10 60 -5 -4 14 14.5 2726.196059659153 0.0235017291938675
10 60 -5 -4 14.5 15 2497.790859523621 0.02330194592968837
10 60 -5 -4 15 16 4396.06350287746 0.1163847592124512
10 60 -5 -4 16 17 3716.883788287547 0.03143835553782992
10 60 -5 -4 17 18 3156.231368475591 0.02543047420977018
10 60 -5 -4 18 19 2690.79633045827 0.02092741814976762
10 60 -5 -4 19 20 2302.409888192125 0.01737956755277992
10 60 -5 -4 20 21 1976.77040805938 0.01455278830599127
10 60 -5 -4 21 22 1702.544227215393 0.0119977323411149
10 60 -5 -4 22 23 1470.671293639888 0.01030333040216647
10 60 -5 -4 23 24 1273.870046608014 0.00873045226035174
10 60 -5 -4 24 25 1106.241261469092 0.009885830856774191
10 60 -5 -4 25 26 962.9911418928605 0.008663744648060856
10 60 -5 -4 26 27 840.1961517621947 0.007014642115223069
10 60 -5 -4 27 28 734.6268295436912 0.007821534488471116
