#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -456668.5602948187 8.190558466711082
10 60 -5 -4 0.5 1 71111.18806338478 1.63826204596262
10 60 -5 -4 1 1.5 78384.23216331955 0.5764581433613785
10 60 -5 -4 1.5 2 63016.83783228921 0.09699733423622092
10 60 -5 -4 2 2.5 50309.0321517355 0.08597346228634706
10 60 -5 -4 2.5 3 40860.75147214012 0.07435531760711456
10 60 -5 -4 3 3.5 33795.20148337849 0.07065380571293645
10 60 -5 -4 3.5 4 28395.02257883962 0.07477453850879101
10 60 -5 -4 4 4.5 24172.70901455806 0.05843878479572595
10 60 -5 -4 4.5 5 20802.77890205887 0.06054806946485769
10 60 -5 -4 5 5.5 18064.70312944902 0.04976609232471674
10 60 -5 -4 5.5 6 15805.69296353916 0.3084229247488111
10 60 -5 -4 6 6.5 13917.52888275944 0.2946630718870438
10 60 -5 -4 6.5 7 12321.60323361532 0.03628534308518283
10 60 -5 -4 7 7.5 10959.76401368937 0.03227331733796746
10 60 -5 -4 7.5 8 9788.139505246254 0.02890950744222209
10 60 -5 -4 8 8.5 8773.02734913874 0.02611862140838639
10 60 -5 -4 8.5 9 7888.123210655381 0.02364601640965702
10 60 -5 -4 9 9.5 7112.589815248981 0.02123817461142607
10 60 -5 -4 9.5 10 6429.721602026318 0.01912375171650638
10 60 -5 -4 10 10.5 5825.932831652282 0.01726612779657444
10 60 -5 -4 10.5 11 5290.083680924504 0.01537585540154396
10 60 -5 -4 11 11.5 4812.948739337427 0.01408830189302535
10 60 -5 -4 11.5 12 4386.810925671083 0.1993511570799456
10 60 -5 -4 12 12.5 4005.176793550286 0.1522801561150118
10 60 -5 -4 12.5 13 3662.539952889229 0.114650395506942
10 60 -5 -4 13 13.5 3354.197853194775 0.08408352984361045
10 60 -5 -4 13.5 14 3076.122076338128 0.0595426282166045
10 60 -5 -4 14 14.5 2824.842148682352 0.03998307287110947
10 60 -5 -4 14.5 15 2597.350932163291 0.02450394707830128
10 60 -5 -4 15 16 4594.640022297423 0.05611816715099849
10 60 -5 -4 16 17 3910.770034395077 0.06686016318644761
10 60 -5 -4 17 18 3342.245659774345 0.1395215755528625
10 60 -5 -4 18 19 2867.048980483927 0.01943833457562505
10 60 -5 -4 19 20 2467.899316282414 0.01268408235910101
10 60 -5 -4 20 21 2131.099074157423 0.008752348359848838
10 60 -5 -4 21 22 1845.718056554416 0.0904444710001826
10 60 -5 -4 22 23 1602.973371392934 0.07651700347082624
10 60 -5 -4 23 24 1395.748330430927 0.0646744326991211
10 60 -5 -4 24 25 1218.246290224298 0.05488567683414658
10 60 -5 -4 25 26 1065.728868765435 0.0467137657872172
10 60 -5 -4 26 27 934.2943773310897 0.03978919507926548
10 60 -5 -4 27 28 820.7127708563743 0.03408070177465561
10 60 -5 -4 28 29 722.3040133200151 0.02913506481036165
10 60 -5 -4 29 30 636.8333351057083 0.0250468243081059
10 60 -5 -4 30 31 562.4291078920991 0.02151007842667241
10 60 -5 -4 31 32 497.5154686558129 0.01857436720069927
10 60 -5 -4 32 33 440.7646468980071 0.01601677689592407
10 60 -5 -4 33 34 391.0548903575689 0.01383731621143625
10 60 -5 -4 34 35 347.4309621329738 0.01201400052735835
10 60 -5 -4 35 36 309.079610688881 0.01040767772383333
10 60 -5 -4 36 37 275.3076865199631 0.009044219817781141
10 60 -5 -4 37 38 245.5204984205755 0.007870627775361072
10 60 -5 -4 38 39 219.2074559320907 0.006855437684606613
10 60 -5 -4 39 40 195.9299835654541 0.006279831955708914
10 60 -5 -4 40 42 332.3274202248725 0.01356336338278652
10 60 -5 -4 42 44 267.0957833209068 0.007503439567130954
10 60 -5 -4 44 46 215.4575498608089 0.005776246019479458
10 60 -5 -4 46 48 174.3938976070249 0.004459892821245148
10 60 -5 -4 48 50 141.602406984847 0.006014713415851247
10 60 -5 -4 50 52 115.3143127589113 0.002686791057811888
10 60 -5 -4 52 54 94.1634483569829 0.003356719757221072
10 60 -5 -4 54 56 77.08801633047715 0.001636682253689514
10 60 -5 -4 56 58 63.25917797763264 0.001282114016426306
10 60 -5 -4 58 60 52.02629744661063 0.001006178824660253
10 60 -5 -4 60 65 93.61332628630137 0.001673004443290438
10 60 -5 -4 65 70 58.34902482518549 0.0009229214620418702
10 60 -5 -4 70 80 59.97737202261961 0.000832218575048671
10 60 -5 -4 80 90 24.32764871119646 0.0007009581277976906
10 60 -5 -4 90 100 10.01230186067704 0.0002129750840715872
10 60 -4 -3.5 0 0.5 -299793.2783605998 4.492735400039237
10 60 -4 -3.5 0.5 1 23487.18817107985 0.6334155479744368
10 60 -4 -3.5 1 1.5 37804.29811295805 1.214590850649984
10 60 -4 -3.5 1.5 2 32432.14798997567 1.485447028233466
10 60 -4 -3.5 2 2.5 26724.6507501809 0.2643059382826323
10 60 -4 -3.5 2.5 3 22152.53754941487 0.03798074523365358
10 60 -4 -3.5 3 3.5 18599.48988836258 0.8934391577531642
10 60 -4 -3.5 3.5 4 15816.64178810993 0.1451719987726392
10 60 -4 -3.5 4 4.5 13602.35112149004 0.1299902232494787
10 60 -4 -3.5 4.5 5 11811.43216751721 0.1127298058854649
10 60 -4 -3.5 5 5.5 10340.79861274321 0.09918173102596484
10 60 -4 -3.5 5.5 6 9116.815529058311 0.08374366212410678
10 60 -4 -3.5 6 6.5 8086.078381432643 0.07065558562953811
10 60 -4 -3.5 6.5 7 7209.199658716072 0.05870254488036153
10 60 -4 -3.5 7 7.5 6456.599482100704 0.04830671220406657
10 60 -4 -3.5 7.5 8 5805.706639849152 0.03949421653487661
10 60 -4 -3.5 8 8.5 5239.008938253524 0.03454861374575557
10 60 -4 -3.5 8.5 9 4742.731621221721 0.03090382442678674
10 60 -4 -3.5 9 9.5 4305.880082919431 0.03024551280850574
10 60 -4 -3.5 9.5 10 3919.582890292647 0.02982298399001593
10 60 -4 -3.5 10 10.5 3576.594039639969 0.03155087427376202
10 60 -4 -3.5 10.5 11 3270.939341335732 0.03383704930911335
10 60 -4 -3.5 11 11.5 2997.649336874466 0.0348541105613549
10 60 -4 -3.5 11.5 12 2752.552518338523 0.1257755312594782
10 60 -4 -3.5 12 12.5 2532.125492490491 0.09923955101339743
10 60 -4 -3.5 12.5 13 2333.373981505726 0.07778895619003379
10 60 -4 -3.5 13 13.5 2153.73611954868 0.06043550363165195
10 60 -4 -3.5 13.5 14 1991.008860387119 0.04636212543550755
10 60 -4 -3.5 14 14.5 1843.289601676405 0.03498420237633582
10 60 -4 -3.5 14.5 15 1708.927287280993 0.02882394232983643
10 60 -4 -3.5 15 16 3061.185391679185 0.1226696742910462
10 60 -4 -3.5 16 17 2651.326374079888 0.1309445260776556
10 60 -4 -3.5 17 18 2306.997339760985 0.1112845425645901
10 60 -4 -3.5 18 19 2015.980785539013 0.09486276155348605
10 60 -4 -3.5 19 20 1768.665141915547 0.08108856296848899
10 60 -4 -3.5 20 21 1557.412154017186 0.06977201575455183
10 60 -4 -3.5 21 22 1376.103884951748 0.0640497338933983
10 60 -4 -3.5 22 23 1219.804726028396 0.05199539636896588
10 60 -4 -3.5 23 24 1084.506545067193 0.04511306817880723
10 60 -4 -3.5 24 25 966.9305745133148 0.0392576283153403
