#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -921121.5722590599 12.43337590736337
10 60 -5 -4 0.5 1 29253.16646991981 0.1004097336153791
10 60 -5 -4 1 1.5 77656.81758719284 0.8350781212066067
10 60 -5 -4 1.5 2 68705.27290108668 0.3007911973109003
10 60 -5 -4 2 2.5 56875.65565237542 2.791855250688968
10 60 -5 -4 2.5 3 47037.66647994969 2.094915832807601
10 60 -5 -4 3 3.5 39299.60010239293 1.595774858207733
10 60 -5 -4 3.5 4 33215.95083973213 1.237367743146024
10 60 -5 -4 4 4.5 28374.85056790307 0.9737947686990083
10 60 -5 -4 4.5 5 24465.85875907862 0.7692948606418213
10 60 -5 -4 5 5.5 21264.39922129294 0.6125993517453026
10 60 -5 -4 5.5 6 18608.34101722562 0.7626882668118924
10 60 -5 -4 6 6.5 16379.62540358465 0.4099490089593019
10 60 -5 -4 6.5 7 14490.69962672974 0.6645361462378787
10 60 -5 -4 7 7.5 12875.91752878557 0.2812574978379416
10 60 -5 -4 7.5 8 11485.01042444196 0.2340910799484845
10 60 -5 -4 8 8.5 10279.1134163103 0.198145882353856
10 60 -5 -4 8.5 9 9227.645433867425 0.1724693966989435
10 60 -5 -4 9 9.5 8306.227739985292 0.1529801530141413
10 60 -5 -4 9.5 10 7495.215132117752 0.1335401222740984
10 60 -5 -4 10 10.5 6778.566186977349 0.1118619523240341
10 60 -5 -4 10.5 11 6143.078425085057 0.09461351017398556
10 60 -5 -4 11 11.5 5577.783034634806 0.08340256732299167
10 60 -5 -4 11.5 12 5073.48334376975 0.2257976812443303
10 60 -5 -4 12 12.5 4622.423139821614 0.1685573772074349
10 60 -5 -4 12.5 13 4218.012251184268 0.123130218174083
10 60 -5 -4 13 13.5 3854.615564003393 0.08651700137806984
10 60 -5 -4 13.5 14 3527.400518126635 0.05746273339855179
10 60 -5 -4 14 14.5 3232.199208368743 0.03522928463007702
10 60 -5 -4 14.5 15 2965.397596759835 0.03459142213432642
10 60 -5 -4 15 16 5228.669633088436 0.06229018625344906
10 60 -5 -4 16 17 4430.878232128258 0.1592104323190142
10 60 -5 -4 17 18 3770.147347418454 0.03818192454036762
10 60 -5 -4 18 19 3220.019648939554 0.03138865641403754
10 60 -5 -4 19 20 2759.753116393424 0.02605862547852666
10 60 -5 -4 20 21 2372.931818297123 0.02186658038590394
10 60 -5 -4 21 22 2046.487021565275 0.01809722067628172
10 60 -5 -4 22 23 1769.925336196535 0.01551148254111467
10 60 -5 -4 23 24 1534.781706007115 0.01308688385483947
10 60 -5 -4 24 25 1334.172000789717 0.01184124704855094
10 60 -5 -4 25 26 1162.485943764395 0.0100608879754418
10 60 -5 -4 26 27 1015.117996377358 0.008200487240742405
