#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -190804.7863716494 6.506702051090542
10 60 -5 -4 0.5 1 99279.32535352142 1.790818172506988
10 60 -5 -4 1 1.5 79686.03251163142 3.907322733837646
10 60 -5 -4 1.5 2 59667.52520215124 0.07701617906423053
10 60 -5 -4 2 2.5 46059.33003761469 0.07805423779791454
10 60 -5 -4 2.5 3 36653.86283282907 0.0660953362021246
10 60 -5 -4 3 3.5 29892.45231199724 0.06093482104552095
10 60 -5 -4 3.5 4 24853.77243744768 0.06091704449136159
10 60 -5 -4 4 4.5 20984.05867786703 0.04918819716476719
10 60 -5 -4 4.5 5 17937.17220079547 0.04799420119888964
10 60 -5 -4 5 5.5 15488.09815236094 0.4225538531372877
10 60 -5 -4 5.5 6 13485.45084009516 0.1557798076391919
10 60 -5 -4 6 6.5 11824.09380774792 0.03331994990367093
10 60 -5 -4 6.5 7 10428.95395127853 0.02989129875459184
10 60 -5 -4 7 7.5 9245.25139065943 0.02655127811885905
10 60 -5 -4 7.5 8 8232.053725263993 0.02375318712438457
10 60 -5 -4 8 8.5 7358.212499421781 0.02143121208882803
10 60 -5 -4 8.5 9 6599.608390275427 0.01936799752184015
10 60 -5 -4 9 9.5 5937.270446875435 0.01738754696270917
10 60 -5 -4 9.5 10 5356.083244171154 0.01564224746016407
10 60 -5 -4 10 10.5 4843.829932500817 0.01410364252569707
10 60 -5 -4 10.5 11 4390.545683840514 0.01257109411562851
10 60 -5 -4 11 11.5 3988.019171723525 0.1874531632579419
10 60 -5 -4 11.5 12 3629.415485491177 0.1425036510518112
10 60 -5 -4 12 12.5 3309.008917688206 0.1065547683674595
10 60 -5 -4 12.5 13 3021.964789446832 0.07800373485861201
10 60 -5 -4 13 13.5 2764.171774477499 0.05499851701915759
10 60 -5 -4 13.5 14 2532.120583847878 0.03668387266998252
10 60 -5 -4 14 14.5 2322.798596428308 0.02221999857920309
10 60 -5 -4 14.5 15 2133.604669619023 0.01088994256770093
10 60 -5 -4 15 16 3769.159760621234 0.02628713233116287
10 60 -5 -4 16 17 3202.837108189571 0.09999985654349075
10 60 -5 -4 17 18 2733.205790424203 0.02247599633165009
10 60 -5 -4 18 19 2341.535584595818 0.01677239728815039
10 60 -5 -4 19 20 2013.192753194043 0.01154917718122306
10 60 -5 -4 20 21 1736.627078571812 0.008350429644679025
10 60 -5 -4 21 22 1502.654751313822 0.07321687758690132
10 60 -5 -4 22 23 1303.921331895316 0.06193086099938228
10 60 -5 -4 23 24 1134.485269924022 0.05234531793553288
10 60 -5 -4 24 25 989.5210683126863 0.04441879536136639
10 60 -5 -4 25 26 865.0929386208626 0.03780085479672834
10 60 -5 -4 26 27 757.9675741545695 0.03220323067034769
10 60 -5 -4 27 28 665.47427066466 0.02758010410400402
10 60 -5 -4 28 29 585.400882711078 0.02358052071883776
10 60 -5 -4 29 30 515.9058736617474 0.02027516783869032
10 60 -5 -4 30 31 455.4493290595161 0.01741410755124662
10 60 -5 -4 31 32 402.7368378476139 0.0150386341915123
10 60 -5 -4 32 33 356.6790829002829 0.01297141496326049
10 60 -5 -4 33 34 316.3566465162734 0.01120950071288007
10 60 -5 -4 34 35 280.9877657850791 0.00973316257488932
10 60 -5 -4 35 36 249.9075700522984 0.008434996619115509
10 60 -5 -4 36 37 222.5497586942878 0.007332046894731548
10 60 -5 -4 37 38 198.4290104500589 0.006382559170873492
10 60 -5 -4 38 39 177.128987228309 0.005561381732405835
10 60 -5 -4 39 40 158.2922739949429 0.005147765322504938
10 60 -5 -4 40 42 268.4276323217738 0.01093385920160017
10 60 -5 -4 42 44 215.6830796194193 0.006098092667713217
10 60 -5 -4 44 46 173.9486754768138 0.004698677972555743
10 60 -5 -4 46 48 140.7734831973492 0.003631845336229844
10 60 -5 -4 48 50 114.289885783103 0.004458109276896494
10 60 -5 -4 50 52 93.0643859828191 0.002193199762686504
10 60 -5 -4 52 54 75.99057272594276 0.002944745791467085
10 60 -5 -4 54 56 62.20909388890433 0.001339789474464226
10 60 -5 -4 56 58 51.04948074815248 0.001051184236175118
10 60 -5 -4 58 60 41.98571810339043 0.0008263174650551264
10 60 -5 -4 60 65 75.55382021321461 0.001378225226204677
10 60 -5 -4 65 70 47.10326937956641 0.0007644364143999383
10 60 -5 -4 70 80 48.44145143929021 0.0006797050183209308
10 60 -5 -4 80 90 19.66775835540652 0.0005605526482668211
10 60 -5 -4 90 100 8.104939225921864 0.00017223253420795
10 60 -4 -3.5 0 0.5 -143247.4170469168 3.474071555450791
10 60 -4 -3.5 0.5 1 43153.70379291558 0.6902327647767379
10 60 -4 -3.5 1 1.5 40135.20775783932 1.33313560148963
10 60 -4 -3.5 1.5 2 31400.6581361405 1.358021458840085
10 60 -4 -3.5 2 2.5 24844.78293239365 1.209930186036217
10 60 -4 -3.5 2.5 3 20113.62950317343 0.907988181195833
10 60 -4 -3.5 3 3.5 16622.95146772055 0.1503425952432735
10 60 -4 -3.5 3.5 4 13973.95993238569 0.1285535227780201
10 60 -4 -3.5 4 4.5 11911.47161044862 0.113326841232265
10 60 -4 -3.5 4.5 5 10269.70809211047 0.09770682394992036
10 60 -4 -3.5 5 5.5 8938.108573221934 0.08518841900331608
10 60 -4 -3.5 5.5 6 7840.819448691651 0.07188684338052553
10 60 -4 -3.5 6 6.5 6924.380670148438 0.0606125149924992
10 60 -4 -3.5 6.5 7 6150.196137555973 0.05047602022841602
10 60 -4 -3.5 7 7.5 5489.763969362027 0.0417802182610103
10 60 -4 -3.5 7.5 8 4921.624776609813 0.03453848749268218
10 60 -4 -3.5 8 8.5 4429.316752570076 0.03029329736273212
10 60 -4 -3.5 8.5 9 4000.013265478769 0.02722108701436809
10 60 -4 -3.5 9 9.5 3623.563345838404 0.02646727832370743
10 60 -4 -3.5 9.5 10 3291.83557020436 0.0260134368004401
10 60 -4 -3.5 10 10.5 2998.233180054945 0.02715705193622853
10 60 -4 -3.5 10.5 11 2737.350141375658 0.02870458461939052
10 60 -4 -3.5 11 11.5 2504.714476948578 0.1185061333840167
10 60 -4 -3.5 11.5 12 2296.592244339483 0.09305478914257037
10 60 -4 -3.5 12 12.5 2109.844775308223 0.07248536341376166
10 60 -4 -3.5 12.5 13 1941.816362683326 0.05595161054611708
10 60 -4 -3.5 13 13.5 1790.244542769415 0.04265578981630824
10 60 -4 -3.5 13.5 14 1653.191506302495 0.03194400108577611
10 60 -4 -3.5 14 14.5 1528.989846464855 0.02552583217652682
10 60 -4 -3.5 14.5 15 1416.197716735697 0.02325716768473285
10 60 -4 -3.5 15 16 2533.552821012317 0.1249172538664425
10 60 -4 -3.5 16 17 2190.904832004885 0.1053937354708978
10 60 -4 -3.5 17 18 1903.720203400824 0.08952591337992999
10 60 -4 -3.5 18 19 1661.512041579756 0.07629990244754481
10 60 -4 -3.5 19 20 1456.061563010669 0.06521687083295546
10 60 -4 -3.5 20 21 1280.863615554493 0.05813966767937018
10 60 -4 -3.5 21 22 1130.726369770071 0.04828897152856371
10 60 -4 -3.5 22 23 1001.474581006718 0.04179906709907755
10 60 -4 -3.5 23 24 889.7271535091661 0.03626673392443536
10 60 -4 -3.5 24 25 792.7256418726222 0.03155904520838249
10 60 -4 -3.5 25 26 708.2065518626316 0.02757654628783257
10 60 -4 -3.5 26 27 634.3024531206214 0.02412870101659337
10 60 -4 -3.5 27 28 569.4659169788243 0.0211923003460015
10 60 -4 -3.5 28 29 512.4074025884487 0.01864903510886506
10 60 -4 -3.5 29 30 462.0445636919433 0.01645308707094273
10 60 -4 -3.5 30 31 417.466301140701 0.01456058765762691
10 60 -4 -3.5 31 32 377.9030007236309 0.01289390972488036
10 60 -4 -3.5 32 33 342.7030813973695 0.01145924916232843
10 60 -4 -3.5 33 34 311.3120893264825 0.01127827840588225
10 60 -4 -3.5 34 35 283.2541128532774 0.01159343198770557
10 60 -4 -3.5 35 36 258.1205803956479 0.0122923927255556
10 60 -4 -3.5 36 37 235.5607812780755 0.007267146385800061
10 60 -4 -3.5 37 38 215.2723562288522 0.006512203832102159
10 60 -4 -3.5 38 39 196.9924487678979 0.005848594512883665
10 60 -4 -3.5 39 40 180.4932302184339 0.005255825481469856
10 60 -4 -3.5 40 42 317.6435654437208 0.009000235151574998
10 60 -4 -3.5 42 44 268.5020155066693 0.007333197315801954
10 60 -4 -3.5 44 46 227.9083764778882 0.00600476502171432
10 60 -4 -3.5 46 48 194.1918095921232 0.004939219669552131
10 60 -4 -3.5 48 50 166.0476185431277 0.004079057994289315
10 60 -4 -3.5 50 52 142.4446334140683 0.003381110392382425
10 60 -4 -3.5 52 54 122.5657753320247 0.002812790840494017
10 60 -4 -3.5 54 56 105.7561865148156 0.00234700697011192
10 60 -4 -3.5 56 58 91.48917539185081 0.001964185759348425
10 60 -4 -3.5 58 60 79.33839498845805 0.001647897768663142
10 60 -4 -3.5 60 65 156.1073891461711 0.003068492155080094
10 60 -4 -3.5 65 70 111.2762530510667 0.002015325774678445
10 60 -4 -3.5 70 80 138.4480963796759 0.002230830196822353
10 60 -4 -3.5 80 90 74.17617694489657 0.001006050780020473
10 60 -4 -3.5 90 100 40.73499648545488 0.0004587271391187642
10 60 -3.5 -3.25 0 0.5 -82918.3760606127 1.722544598640525
10 60 -3.5 -3.25 0.5 1 20000.56270051848 0.190368704192224
10 60 -3.5 -3.25 1 1.5 20025.78104059609 0.5604732987885654
10 60 -3.5 -3.25 1.5 2 15966.23590113246 0.5959303028757859
10 60 -3.5 -3.25 2 2.5 12758.9364287476 0.5424272144264251
10 60 -3.5 -3.25 2.5 3 10396.66554484381 0.4839804906296195
10 60 -3.5 -3.25 3 3.5 8633.082587658668 0.4193648120599391
10 60 -3.5 -3.25 3.5 4 7284.030523704268 0.3617363308676431
10 60 -3.5 -3.25 4 4.5 6227.373400850094 0.1465035157625607
10 60 -3.5 -3.25 4.5 5 5382.280169886947 0.09519094989445875
10 60 -3.5 -3.25 5 5.5 4694.205524065024 0.05695959147942631
10 60 -3.5 -3.25 5.5 6 4125.382090063172 0.02724346591912763
10 60 -3.5 -3.25 6 6.5 3649.014706790577 0.008294094872780988
10 60 -3.5 -3.25 6.5 7 3245.648077996353 0.0137298807821935
10 60 -3.5 -3.25 7 7.5 2900.851104135452 0.02816855612672953
10 60 -3.5 -3.25 7.5 8 2603.713656006842 0.03957896138763317
10 60 -3.5 -3.25 8 8.5 2345.836656435033 0.04859973728889599
10 60 -3.5 -3.25 8.5 9 2120.654773910684 0.05617323454225698
10 60 -3.5 -3.25 9 9.5 1922.959486091991 0.06302941445460419
10 60 -3.5 -3.25 9.5 10 1748.559468072785 0.08695035860046119
10 60 -3.5 -3.25 10 10.5 1594.061251615244 0.07867943655014642
10 60 -3.5 -3.25 10.5 11 1456.663770380518 0.07126692641236332
10 60 -3.5 -3.25 11 11.5 1334.048573081433 0.06490569011725711
10 60 -3.5 -3.25 11.5 12 1224.277951373011 0.0592572177083639
10 60 -3.5 -3.25 12 12.5 1125.719458868019 0.05377970886456751
10 60 -3.5 -3.25 12.5 13 1036.988981807118 0.04893523363239183
10 60 -3.5 -3.25 13 13.5 956.9060751952074 0.04487200374035183
10 60 -3.5 -3.25 13.5 14 884.4585303597983 0.04112061120974886
10 60 -3.5 -3.25 14 14.5 818.7738882497052 0.03766298436244142
10 60 -3.5 -3.25 14.5 15 759.0972180896673 0.03459361038824227
10 60 -3.5 -3.25 15 16 1360.000551492591 0.06098564460626221
10 60 -3.5 -3.25 16 17 1178.497878006706 0.0516585219204444
10 60 -3.5 -3.25 17 18 1026.260525336684 0.04413885334543011
10 60 -3.5 -3.25 18 19 897.7720940818114 0.03769569877806589
10 60 -3.5 -3.25 19 20 788.7033101376475 0.0324255036039176
10 60 -3.5 -3.25 20 21 695.6245656481112 0.03056856188391066
10 60 -3.5 -3.25 21 22 615.7962953493653 0.02421380760256397
10 60 -3.5 -3.25 22 23 547.013954296986 0.02106490691778617
10 60 -3.5 -3.25 23 24 487.4901990055067 0.01836243691832351
10 60 -3.5 -3.25 24 25 435.76746448123 0.01607036682719354
10 60 -3.5 -3.25 25 26 390.6492997694465 0.01410638478853343
10 60 -3.5 -3.25 26 27 351.1486962128516 0.01241417064471761
10 60 -3.5 -3.25 27 28 316.4469220341275 0.01096656723234446
10 60 -3.5 -3.25 28 29 285.861258533762 0.00970434141044052
10 60 -3.5 -3.25 29 30 258.8203000724058 0.00861387796857116
10 60 -3.5 -3.25 30 31 234.8430368672614 0.007663823020465088
10 60 -3.5 -3.25 31 32 213.5230443619281 0.006837004861438345
10 60 -3.5 -3.25 32 33 194.5158381809351 0.006108183327484085
10 60 -3.5 -3.25 33 34 177.5277633073422 0.005473861431312343
10 60 -3.5 -3.25 34 35 162.3077037567258 0.004911184597375495
10 60 -3.5 -3.25 35 36 148.6406468443329 0.004418433184412152
10 60 -3.5 -3.25 36 37 136.3415059719456 0.00397937571312923
10 60 -3.5 -3.25 37 38 125.2501089965216 0.003592887376044018
10 60 -3.5 -3.25 38 39 115.2279145476191 0.003247596702635747
10 60 -3.5 -3.25 39 40 106.1548188606116 0.002941311147367287
10 60 -3.5 -3.25 40 42 188.3754614531716 0.005090795702045625
10 60 -3.5 -3.25 42 44 161.0892528033118 0.004212318238899115
10 60 -3.5 -3.25 44 46 138.387530410459 0.003504086521559202
10 60 -3.5 -3.25 46 48 119.3871375464923 0.002929207724918115
10 60 -3.5 -3.25 48 50 103.3975566927238 0.002459427270935066
