#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -814148.5739974702 13.17435986979399
10 60 -5 -4 0.5 1 60607.27984063221 1.682323107408592
10 60 -5 -4 1 1.5 89621.20123801458 0.8362951206800062
10 60 -5 -4 1.5 2 74657.94924783921 0.4825434558297275
10 60 -5 -4 2 2.5 60158.1551907223 0.3115167783398647
10 60 -5 -4 2.5 3 48914.62508737786 2.231028909031011
10 60 -5 -4 3 3.5 40360.28032219081 1.662852661283978
10 60 -5 -4 3.5 4 33772.16902946509 1.263815348094795
10 60 -5 -4 4 4.5 28606.4813617269 0.9832204379454197
10 60 -5 -4 4.5 5 24483.31234566321 0.7714353896699322
10 60 -5 -4 5 5.5 21138.67225547747 0.6070123657336808
10 60 -5 -4 5.5 6 18386.71907253221 0.4798218057549093
10 60 -5 -4 6 6.5 16094.48677984182 0.3977121045791137
10 60 -5 -4 6.5 7 14164.71024187109 0.3233751616789959
10 60 -5 -4 7 7.5 12525.03158285616 0.27023762295903
10 60 -5 -4 7.5 8 11120.76409912665 0.2273973745886906
10 60 -5 -4 8 8.5 9909.790590614508 0.1940767568157753
10 60 -5 -4 8.5 9 8859.221316279034 0.1682947580648033
10 60 -5 -4 9 9.5 7942.99521553087 0.1470316655013448
10 60 -5 -4 9.5 10 7140.222637853443 0.1267617811436139
10 60 -5 -4 10 10.5 6433.941994658581 0.1063734354383996
10 60 -5 -4 10.5 11 5810.26058705712 0.08992820108051092
10 60 -5 -4 11 11.5 5257.688128957767 0.2334700401042937
10 60 -5 -4 11.5 12 4766.637433618651 0.1696598741245907
10 60 -5 -4 12 12.5 4329.058460684741 0.1194560524145345
10 60 -5 -4 12.5 13 3938.141217390757 0.08017660385030467
10 60 -5 -4 13 13.5 3588.08927242606 0.04908659769353108
10 60 -5 -4 13.5 14 3273.950525921439 0.03709189536903068
10 60 -5 -4 14 14.5 2991.470222847242 0.03264794819369854
10 60 -5 -4 14.5 15 2736.974109887924 0.03125044470471039
10 60 -5 -4 15 16 4806.892199210902 0.1828263786965181
10 60 -5 -4 16 17 4052.599771183277 0.0407863214727513
10 60 -5 -4 17 18 3431.409372861021 0.03358504045854716
10 60 -5 -4 18 19 2916.977939762711 0.02737776090907573
10 60 -5 -4 19 20 2488.783099221516 0.02267225758123459
10 60 -5 -4 20 21 2130.685480993711 0.01878881780748998
10 60 -5 -4 21 22 1829.908160420814 0.01541097860990703
10 60 -5 -4 22 23 1576.250215091688 0.01310021299877917
10 60 -5 -4 23 24 1361.525962998335 0.01097181977297623
10 60 -5 -4 24 25 1179.113126077044 0.01064467761489141
10 60 -5 -4 25 26 1023.639795661726 0.009807855780536556
10 60 -5 -4 26 27 890.7174640753086 0.008545808902681529
10 60 -5 -4 27 28 776.7404682015809 0.009549438041858593
10 60 -5 -4 28 29 678.7404271440791 0.01002744640015862
10 60 -5 -4 29 30 594.2599028481542 0.01009855588870323
10 60 -5 -4 30 31 521.2550248429073 0.01066676114828624
10 60 -5 -4 31 32 458.0192206715454 0.01098223912111962
10 60 -5 -4 32 33 403.1246475171686 0.01061532021151379
10 60 -5 -4 33 34 355.3727708865032 0.00962267817448037
10 60 -5 -4 34 35 313.7508288323704 0.008421149738012446
10 60 -5 -4 35 36 277.4030736448917 0.007634282597337005
10 60 -5 -4 36 37 245.6046137450019 0.00732460679171254
10 60 -5 -4 37 38 217.7378955533757 0.006962922077548228
10 60 -5 -4 38 39 193.2763258176234 0.006663856514677491
10 60 -5 -4 39 40 171.7704332609058 0.006518785367035207
10 60 -5 -4 40 42 288.9729929259622 0.01242512433299225
10 60 -5 -4 42 44 229.7555279978789 0.01100020557839798
