#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -470437.5144857856 9.435828102752566
10 60 -5 -4 0.5 1 85888.19828540835 4.124446784160682
10 60 -5 -4 1 1.5 87555.64460734563 3.099923686051625
10 60 -5 -4 1.5 2 69135.27472648335 2.323396576452069
10 60 -5 -4 2 2.5 54622.12725323635 1.798231062843115
10 60 -5 -4 2.5 3 44013.37342939246 1.409898079771665
10 60 -5 -4 3 3.5 36156.42336736418 1.112883910544042
10 60 -5 -4 3.5 4 30192.99057856678 0.881899781357788
10 60 -5 -4 4 4.5 25556.81834397827 0.9843282172078034
10 60 -5 -4 4.5 5 21875.27872955384 0.5617834337062959
10 60 -5 -4 5 5.5 18898.07148772472 0.449395950694452
10 60 -5 -4 5.5 6 16452.80968185149 0.3639567176251148
10 60 -5 -4 6 6.5 14417.77194273001 0.2962325879689161
10 60 -5 -4 6.5 7 12704.9953924854 0.2430361786500725
10 60 -5 -4 7 7.5 11249.53519676522 0.2013703300126508
10 60 -5 -4 7.5 8 10002.50155239531 0.1681737180915661
10 60 -5 -4 8 8.5 8926.424440451759 0.1411391564906808
10 60 -5 -4 8.5 9 7992.122489228464 0.1192763880144412
10 60 -5 -4 9 9.5 7176.53461329561 0.100897748805437
10 60 -5 -4 9.5 10 6461.19477287158 0.08577658849662839
10 60 -5 -4 10 10.5 5831.141612141509 0.07420631355853402
10 60 -5 -4 10.5 11 5274.123970668733 0.06416302909838123
10 60 -5 -4 11 11.5 4780.01327925523 0.2221033732603246
10 60 -5 -4 11.5 12 4340.365679832649 0.1649558405015341
10 60 -5 -4 12 12.5 3948.087766843171 0.1194783796713637
10 60 -5 -4 12.5 13 3597.181199388642 0.08354760639258529
10 60 -5 -4 13 13.5 3282.541420492786 0.05514311341039502
10 60 -5 -4 13.5 14 2999.802122637637 0.03273182607108538
10 60 -5 -4 14 14.5 2745.210683736937 0.02579354684030477
10 60 -5 -4 14.5 15 2515.526280215776 0.0224696669952209
10 60 -5 -4 15 16 4427.944953556927 0.1024233070538685
10 60 -5 -4 16 17 3744.416452702707 0.03132819596748959
10 60 -5 -4 17 18 3179.947057550607 0.02553343763293014
10 60 -5 -4 18 19 2711.197660555441 0.02064760045186631
10 60 -5 -4 19 20 2319.950681171847 0.017396828872279
10 60 -5 -4 20 21 1991.859713798162 0.01460493519562078
10 60 -5 -4 21 22 1715.536341611295 0.01207299629231784
10 60 -5 -4 22 23 1481.876092658305 0.01221062528816219
10 60 -5 -4 23 24 1283.549930201261 0.01295914823799649
10 60 -5 -4 24 25 1114.624605614734 0.01239630181225948
10 60 -5 -4 25 26 970.2689414880064 0.01173829514777935
10 60 -5 -4 26 27 846.5299341518563 0.01124744392382127
10 60 -5 -4 27 28 740.1568270927896 0.01123243665892915
10 60 -5 -4 28 29 648.4618210215175 0.01158340092831622
10 60 -5 -4 29 30 569.2156358619344 0.01135992140461894
10 60 -5 -4 30 31 500.5621987123303 0.01110463263609063
10 60 -5 -4 31 32 440.9490199376794 0.01049675748697609
10 60 -5 -4 32 33 389.7669107327325 0.003294230211849936
10 60 -5 -4 33 34 343.8353824673736 0.008478989250420454
10 60 -5 -4 34 35 304.3096666178438 0.007886047415240682
10 60 -5 -4 35 36 269.7097666179989 0.007329687746334912
10 60 -5 -4 36 37 239.3677207533691 0.006636036817440072
10 60 -5 -4 37 38 212.714305734387 0.006238982583653296
10 60 -5 -4 38 39 189.2634309648609 0.006064944584323939
10 60 -5 -4 39 40 168.5982502905003 0.005945907044093701
10 60 -5 -4 40 42 284.6034244663298 0.01019701561943975
10 60 -5 -4 42 44 227.3159079737493 0.007861676172296939
10 60 -5 -4 44 46 182.2821521600372 0.005532367490360457
10 60 -5 -4 46 48 146.7095484983077 0.002658450572766924
10 60 -5 -4 48 50 118.4841590595781 0.0006960438947487546
10 60 -5 -4 50 52 95.99419349667754 0.002467558225589528
10 60 -5 -4 52 54 78.00525331039483 0.0004564776013893379
10 60 -5 -4 54 56 63.56353259539875 0.0003733775525915917
10 60 -5 -4 56 58 51.93005236271272 0.0003045818694786817
10 60 -5 -4 58 60 42.52873029689249 0.0002498372405597138
10 60 -5 -4 60 65 76.02310909778009 0.0004485078258085196
10 60 -5 -4 65 70 46.96328326581386 0.00027845916181235
10 60 -5 -4 70 80 47.77498727351556 0.0009273204802511259
10 60 -5 -4 80 90 19.15648795259826 0.0004316774003392254
10 60 -5 -4 90 100 7.827268789846554 0.0002131095144495276
10 60 -4 -3.5 0 0.5 -318220.7817948328 5.27749338146532
10 60 -4 -3.5 0.5 1 33587.36508070034 0.1882883838625276
10 60 -4 -3.5 1 1.5 44549.15348921283 1.947335487515375
10 60 -4 -3.5 1.5 2 37045.55084314129 1.378519109086483
10 60 -4 -3.5 2 2.5 30031.48988488008 1.012141377465014
10 60 -4 -3.5 2.5 3 24607.49541556554 0.7867600753561419
10 60 -4 -3.5 3 3.5 20468.73813629909 0.6273602482178831
10 60 -4 -3.5 3.5 4 17266.54653104936 0.4960812105418881
10 60 -4 -3.5 4 4.5 14742.6648855062 0.3920777419425576
10 60 -4 -3.5 4.5 5 12717.33779692614 0.3103640113004076
10 60 -4 -3.5 5 5.5 11065.65416461298 0.2492579713907617
10 60 -4 -3.5 5.5 6 9699.559666385714 0.203584190674519
10 60 -4 -3.5 6 6.5 8555.807564889757 0.1668690220340068
10 60 -4 -3.5 6.5 7 7588.079275260356 0.1377176440046242
10 60 -4 -3.5 7 7.5 6761.813347023721 0.1151064901869177
10 60 -4 -3.5 7.5 8 6050.758894468446 0.09689248059839883
10 60 -4 -3.5 8 8.5 5434.647094725598 0.08154172322520026
10 60 -4 -3.5 8.5 9 4897.593950507688 0.06869568592264841
10 60 -4 -3.5 9 9.5 4426.977445195967 0.057979370517387
10 60 -4 -3.5 9.5 10 4012.643077288204 0.04936807414105715
10 60 -4 -3.5 10 10.5 3646.329689220303 0.04236893843517464
10 60 -4 -3.5 10.5 11 3321.248524475814 0.03723594408302233
10 60 -4 -3.5 11 11.5 3031.76946539988 0.1421146805437274
10 60 -4 -3.5 11.5 12 2773.185471306359 0.1093970348110815
10 60 -4 -3.5 12 12.5 2541.533981749977 0.0832884772739817
10 60 -4 -3.5 12.5 13 2333.456512656822 0.06244364608392061
10 60 -4 -3.5 13 13.5 2146.090232385405 0.04583001216906268
10 60 -4 -3.5 13.5 14 1976.982039343194 0.03264072486854275
10 60 -4 -3.5 14 14.5 1824.019492066919 0.02215404756043426
10 60 -4 -3.5 14.5 15 1685.376272197604 0.01954688215300848
10 60 -4 -3.5 15 16 3004.377317847686 0.03787740118332295
10 60 -4 -3.5 16 17 2585.673108421794 0.02656494051598202
10 60 -4 -3.5 17 18 2236.175421449042 0.06300688406008703
10 60 -4 -3.5 18 19 1942.632195287295 0.08305720789871884
10 60 -4 -3.5 19 20 1694.672622492249 0.01109590890928303
10 60 -4 -3.5 20 21 1484.105552997649 0.009339358244233154
10 60 -4 -3.5 21 22 1304.408242872441 0.008013063503540252
10 60 -4 -3.5 22 23 1150.347675843251 0.006876051569634001
10 60 -4 -3.5 23 24 1017.695764322874 0.005964393975091298
10 60 -4 -3.5 24 25 903.0153138351828 0.005158156907327793
10 60 -4 -3.5 25 26 803.4939855359455 0.005611320449474988
10 60 -4 -3.5 26 27 716.8183061288428 0.006489929489475799
10 60 -4 -3.5 27 28 641.0743705554779 0.00700611584568378
10 60 -4 -3.5 28 29 574.6722058900293 0.00756261414767323
10 60 -4 -3.5 29 30 516.2839325203742 0.00828541091993884
10 60 -4 -3.5 30 31 464.7955941012129 0.009089859307721326
10 60 -4 -3.5 31 32 419.2688776996009 0.01004413426863948
10 60 -4 -3.5 32 33 378.9100447393318 0.01102400149545701
10 60 -4 -3.5 33 34 343.0450713851737 0.01178190842352933
10 60 -4 -3.5 34 35 311.0996291471909 0.01217772472193701
10 60 -4 -3.5 35 36 282.582324967567 0.01232957504055321
10 60 -4 -3.5 36 37 257.0716812752345 0.01232516117210025
10 60 -4 -3.5 37 38 234.2050974844898 0.001166795536875043
10 60 -4 -3.5 38 39 213.6693046738193 0.00105886791268972
10 60 -4 -3.5 39 40 195.1928703928499 0.0009632499840961373
10 60 -4 -3.5 40 42 342.0468900453048 0.001679086952663056
10 60 -4 -3.5 42 44 287.5138087525608 0.001402441660104614
10 60 -4 -3.5 44 46 242.7307828110247 0.001178329750757712
10 60 -4 -3.5 46 48 205.7462739308821 0.0009956172824558962
10 60 -4 -3.5 48 50 175.0426847605775 0.0008447705384355686
10 60 -4 -3.5 50 52 149.4304706533002 0.0007202714241998365
10 60 -4 -3.5 52 54 127.9698997253221 0.0006164591243020823
10 60 -4 -3.5 54 56 109.9135967797942 0.000529466482674934
10 60 -4 -3.5 56 58 94.66289134374757 0.0004565181686331243
10 60 -4 -3.5 58 60 81.73570067570756 0.0003947320948043398
10 60 -4 -3.5 60 65 159.6976901768869 0.0007739177821974863
10 60 -4 -3.5 65 70 112.7148853032024 0.000549615817647009
10 60 -4 -3.5 70 80 138.4366447214503 0.0006840944726320686
10 60 -4 -3.5 80 90 72.96326660268063 0.0003683080601746269
10 60 -4 -3.5 90 100 39.50177588315936 0.000239350061939092
10 60 -3.5 -3.25 0 0.5 -179512.9544687338 2.804516301839612
10 60 -3.5 -3.25 0.5 1 14338.12208623776 0.01210999746763264
10 60 -3.5 -3.25 1 1.5 22235.91527531151 0.9576823836214317
10 60 -3.5 -3.25 1.5 2 18931.73428762309 0.756815291075327
10 60 -3.5 -3.25 2 2.5 15513.35358480581 0.5448063517815172
10 60 -3.5 -3.25 2.5 3 12794.53444060685 0.3957164763542096
10 60 -3.5 -3.25 3 3.5 10690.51868914308 0.3149175397993531
10 60 -3.5 -3.25 3.5 4 9048.22304337173 0.2564095637335413
10 60 -3.5 -3.25 4 4.5 7745.795975947512 0.205574712716043
10 60 -3.5 -3.25 4.5 5 6695.798437747825 0.1661193065410771
10 60 -3.5 -3.25 5 5.5 5836.402193192169 0.1334718380949198
10 60 -3.5 -3.25 5.5 6 5123.526825045864 0.1065471843066916
10 60 -3.5 -3.25 6 6.5 4525.247091295549 0.0866008481470999
10 60 -3.5 -3.25 6.5 7 4018.033622478317 0.09220612016770247
10 60 -3.5 -3.25 7 7.5 3584.239442755517 0.09904522374699809
10 60 -3.5 -3.25 7.5 8 3210.40246355217 0.1043089762938507
10 60 -3.5 -3.25 8 8.5 2886.091315964803 0.1088142746052654
10 60 -3.5 -3.25 8.5 9 2603.103896650093 0.1128325384788695
10 60 -3.5 -3.25 9 9.5 2354.903725953995 0.1162805967469467
10 60 -3.5 -3.25 9.5 10 2136.220182472145 0.02615993432573305
10 60 -3.5 -3.25 10 10.5 1942.752273600894 0.02257603510633999
10 60 -3.5 -3.25 10.5 11 1770.960614272246 0.01937621179558846
10 60 -3.5 -3.25 11 11.5 1617.904083569467 0.07578700790895709
10 60 -3.5 -3.25 11.5 12 1481.119804914215 0.05827431275520212
10 60 -3.5 -3.25 12 12.5 1358.531047742538 0.04428427640436894
10 60 -3.5 -3.25 12.5 13 1248.375597769974 0.03315769516848377
10 60 -3.5 -3.25 13 13.5 1149.14938633422 0.02429315044832947
10 60 -3.5 -3.25 13.5 14 1059.562373775057 0.01725490477656422
10 60 -3.5 -3.25 14 14.5 978.502850652956 0.0116854619092237
10 60 -3.5 -3.25 14.5 15 905.0087771162899 0.00729382025679115
10 60 -3.5 -3.25 15 16 1615.725703765214 0.0196658664331153
10 60 -3.5 -3.25 16 17 1393.570239920423 0.01394623968735687
10 60 -3.5 -3.25 17 18 1208.014486208537 0.03335657215893661
10 60 -3.5 -3.25 18 19 1052.057793590199 0.04372548516039387
10 60 -3.5 -3.25 19 20 920.2187082343206 0.005824572837582309
10 60 -3.5 -3.25 20 21 808.1660835590478 0.004955690172096183
10 60 -3.5 -3.25 21 22 712.450615548998 0.004246153021654209
10 60 -3.5 -3.25 22 23 630.3042429285966 0.003644434677880781
10 60 -3.5 -3.25 23 24 559.4907442648628 0.003165273053127748
10 60 -3.5 -3.25 24 25 498.1917585383902 0.002754175945881343
10 60 -3.5 -3.25 25 26 444.9199619428255 0.002412426481498642
10 60 -3.5 -3.25 26 27 398.4521092456656 0.002119906742620969
10 60 -3.5 -3.25 27 28 357.7766981129686 0.001874181179061907
10 60 -3.5 -3.25 28 29 322.0530398599918 0.001658032235525297
10 60 -3.5 -3.25 29 30 290.5793592305199 0.001481681072618812
10 60 -3.5 -3.25 30 31 262.7669217641229 0.001314780265545323
10 60 -3.5 -3.25 31 32 238.1198469303626 0.001186542784950007
10 60 -3.5 -3.25 32 33 216.2188629528736 0.001059864025080515
10 60 -3.5 -3.25 33 34 196.7078674726471 0.0009584009269474336
10 60 -3.5 -3.25 34 35 179.2833990334091 0.0008646986537996781
10 60 -3.5 -3.25 35 36 163.6859442702404 0.0007836589772693969
10 60 -3.5 -3.25 36 37 149.6927951937547 0.0007116035207275218
10 60 -3.5 -3.25 37 38 137.112172565434 0.0006471530518297186
10 60 -3.5 -3.25 38 39 125.7784331749247 0.0005902141833757923
10 60 -3.5 -3.25 39 40 115.5481106138103 0.0005393551294758936
10 60 -3.5 -3.25 40 42 204.2117072235106 0.0009465705977049765
10 60 -3.5 -3.25 42 44 173.7040182616271 0.0007986332621214842
10 60 -3.5 -3.25 44 46 148.4610294395677 0.0006777804415492028
10 60 -3.5 -3.25 46 48 127.4463548308547 0.0005789356675904855
10 60 -3.5 -3.25 48 50 109.8528741257827 0.0004969626382944625
10 60 -3.5 -3.25 50 52 95.04632774063269 0.0004287152447943754
10 60 -3.5 -3.25 52 54 82.52467238211703 0.0003711939129829034
10 60 -3.5 -3.25 54 56 71.88721344530396 0.0003229716244135261
10 60 -3.5 -3.25 56 58 62.81232327809154 0.0002819656317001318
10 60 -3.5 -3.25 58 60 55.03984276771865 0.0002470346528369305
10 60 -3.5 -3.25 60 65 110.3355169924997 0.0004957724562189014
10 60 -3.5 -3.25 65 70 81.00436218908548 0.0004143553217943463
10 60 -3.5 -3.25 70 80 105.5615539569169 0.0006599058081491194
10 60 -3.5 -3.25 80 90 60.78925091092877 0.000491453487214244
10 60 -3.5 -3.25 90 100 36.17565313121131 0.0003970087276385925
10 60 -3.25 -3 0 0.5 -193179.4091450357 4.564811876916792
10 60 -3.25 -3 0.5 1 12728.12410478421 0.006659715678324574
10 60 -3.25 -3 1 1.5 22214.71902973134 1.002956742730021
10 60 -3.25 -3 1.5 2 19203.48354750464 0.6869825799731188
10 60 -3.25 -3 2 2.5 15842.32783729679 0.5318242041284975
10 60 -3.25 -3 2.5 3 13118.18399505739 0.4279749042834737
10 60 -3.25 -3 3 3.5 10990.68779637727 0.3416821219288977
10 60 -3.25 -3 3.5 4 9320.6902568528 0.2664614630084543
10 60 -3.25 -3 4 4.5 7991.098055106954 0.2068500809682519
10 60 -3.25 -3 4.5 5 6916.05751945375 0.1657130093317392
10 60 -3.25 -3 5 5.5 6034.150300331211 0.1368220376998579
10 60 -3.25 -3 5.5 6 5301.253969857298 0.112138643165963
10 60 -3.25 -3 6 6.5 4685.241335971407 0.09142699407675536
10 60 -3.25 -3 6.5 7 4162.338945961134 0.07655062868161622
10 60 -3.25 -3 7 7.5 3714.655418387375 0.06427870076686304
10 60 -3.25 -3 7.5 8 3328.507260003123 0.05307108924716886
10 60 -3.25 -3 8 8.5 2993.265828892557 0.04383577647740822
10 60 -3.25 -3 8.5 9 2700.555796726303 0.04333664749447053
10 60 -3.25 -3 9 9.5 2443.691073303522 0.04565303760455208
10 60 -3.25 -3 9.5 10 2217.270168570651 0.04805794931280616
10 60 -3.25 -3 10 10.5 2016.881556351781 0.05047379317829837
10 60 -3.25 -3 10.5 11 1838.887728910459 0.05264522990341902
10 60 -3.25 -3 11 11.5 1680.26302140886 0.07945941322009276
10 60 -3.25 -3 11.5 12 1538.471072505418 0.06102680376511671
10 60 -3.25 -3 12 12.5 1411.371100307835 0.05731756276509259
10 60 -3.25 -3 12.5 13 1297.14477978295 0.0585499388594144
10 60 -3.25 -3 13 13.5 1194.239680536295 0.02533768555963434
10 60 -3.25 -3 13.5 14 1101.321804594422 0.01794821547559877
10 60 -3.25 -3 14 14.5 1017.242082487128 0.01212321453635923
10 60 -3.25 -3 14.5 15 941.0050736163948 0.007514844417187305
10 60 -3.25 -3 15 16 1680.455770318232 0.01968797323911531
10 60 -3.25 -3 16 17 1449.985956464631 0.01533472292317128
10 60 -3.25 -3 17 18 1257.479659074225 0.03550436439240912
10 60 -3.25 -3 18 19 1095.678822653068 0.04617222615843275
10 60 -3.25 -3 19 20 958.8979478655615 0.006040315788709449
10 60 -3.25 -3 20 21 842.6438284888363 0.005087184334684025
10 60 -3.25 -3 21 22 743.3370034759964 0.004358278560744111
10 60 -3.25 -3 22 23 658.1050948435303 0.003761819379747067
10 60 -3.25 -3 23 24 584.6274996755656 0.003253239386026507
10 60 -3.25 -3 24 25 521.0174023541957 0.002834662349300743
10 60 -3.25 -3 25 26 465.731403957843 0.0024767080032575
10 60 -3.25 -3 26 27 417.500129431615 0.002183000185709716
10 60 -3.25 -3 27 28 375.2740993016351 0.00193226154669901
10 60 -3.25 -3 28 29 338.1811732439954 0.001707004383490585
10 60 -3.25 -3 29 30 305.4932467927091 0.001520607245709016
10 60 -3.25 -3 30 31 276.5997981392544 0.001365012443443447
10 60 -3.25 -3 31 32 250.9865000472856 0.001214407477164059
10 60 -3.25 -3 32 33 228.2185180382844 0.001101008067024623
10 60 -3.25 -3 33 34 207.9267355095185 0.0009868520552629434
10 60 -3.25 -3 34 35 189.7965993409959 0.0008949584687059087
10 60 -3.25 -3 35 36 173.559105937105 0.0008108586746971014
10 60 -3.25 -3 36 37 158.9834732089622 0.0007363693992772369
10 60 -3.25 -3 37 38 145.8710874731328 0.0006715612908294588
10 60 -3.25 -3 38 39 134.0503356535126 0.0006128839204109227
10 60 -3.25 -3 39 40 123.3726430662301 0.0005605016926466533
10 60 -3.25 -3 40 42 218.6561049490185 0.0009857481603319229
10 60 -3.25 -3 42 44 186.7362066622684 0.0008338389691573411
10 60 -3.25 -3 44 46 160.2744979186608 0.0007101405458911358
10 60 -3.25 -3 46 48 138.199232219193 0.0006085789414953524
10 60 -3.25 -3 48 50 119.6756246679009 0.0005242474012021603
10 60 -3.25 -3 50 52 104.0479054235992 0.0004538822921915653
10 60 -3.25 -3 52 54 90.79665842820593 0.0003948042940606911
10 60 -3.25 -3 54 56 79.50750457963331 0.0003448456554764334
10 60 -3.25 -3 56 58 69.84747503413026 0.0003024087770739925
10 60 -3.25 -3 58 60 61.54728400388941 0.0002662095894407912
10 60 -3.25 -3 60 65 124.6080016796141 0.0005387766035909181
10 60 -3.25 -3 65 70 92.90210668986637 0.0004021898476764818
10 60 -3.25 -3 70 80 123.9790698634817 0.0005399677595079311
10 60 -3.25 -3 80 90 74.02082735751812 0.0003297085589082371
10 60 -3.25 -3 90 100 45.81704830190014 0.0002947914664943596
10 60 -3 -2.75 0 0.5 -206734.5101944745 2.965293615037808
10 60 -3 -2.75 0.5 1 11153.27679529971 0.01163272645135294
10 60 -3 -2.75 1 1.5 22204.6602828015 0.9655310609014123
10 60 -3 -2.75 1.5 2 19479.67515540925 0.7238616206559527
10 60 -3 -2.75 2 2.5 16173.1411820261 0.5665519112717448
10 60 -3 -2.75 2.5 3 13442.48673536966 0.4287888729722908
10 60 -3 -2.75 3 3.5 11290.9003701138 0.3299789540651545
10 60 -3 -2.75 3.5 4 9592.857637450265 0.2698538874301448
10 60 -3 -2.75 4 4.5 8235.88480816461 0.2199104793471633
10 60 -3 -2.75 4.5 5 7135.657383775378 0.1757556205857327
10 60 -3 -2.75 5 5.5 6231.132941129777 0.1411558718873493
10 60 -3 -2.75 5.5 6 5478.13108543294 0.1144759698790949
