#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -459466.2415105493 22.56096980260918
10 60 -5 -4 0.5 1 83762.63356748912 3.912856715978705
10 60 -5 -4 1 1.5 85645.88021473649 2.956233312492259
10 60 -5 -4 1.5 2 67725.7222885588 2.236376461194595
10 60 -5 -4 2 2.5 53564.36805207045 1.744299089506967
10 60 -5 -4 2.5 3 43196.8540787681 1.374352754384745
10 60 -5 -4 3 3.5 35510.07717018339 1.088465021486627
10 60 -5 -4 3.5 4 29670.58770302083 0.8652046637726016
10 60 -5 -4 4 4.5 25127.31422910749 0.6915733242749411
10 60 -5 -4 4.5 5 21517.08983480215 0.6280587754627049
10 60 -5 -4 5 5.5 18595.88163227651 0.4437429691715806
10 60 -5 -4 5.5 6 16195.34111966178 0.5705711211594462
10 60 -5 -4 6 6.5 14196.58532509055 0.2917115921663935
10 60 -5 -4 6.5 7 12513.60525556781 0.2388826430033077
10 60 -5 -4 7 7.5 11082.90631252638 0.1978371152308682
10 60 -5 -4 7.5 8 9856.655695157209 0.1653551328763569
10 60 -5 -4 8 8.5 8798.171194377428 0.1389073352529522
10 60 -5 -4 8.5 9 7878.871599747938 0.1175228976399012
10 60 -5 -4 9 9.5 7076.163399916357 0.09943045137060835
10 60 -5 -4 9.5 10 6371.943198452694 0.08447140122734709
10 60 -5 -4 10 10.5 5751.539860417422 0.07306572911602416
10 60 -5 -4 10.5 11 5202.936076905794 0.06317455038060871
10 60 -5 -4 11 11.5 4716.190611200628 0.2213876954720035
10 60 -5 -4 11.5 12 4283.014621814259 0.1647301710954707
10 60 -5 -4 12 12.5 3896.442845100014 0.1196111217072939
10 60 -5 -4 12.5 13 3550.582832586001 0.08398086194756615
10 60 -5 -4 13 13.5 3240.418614351394 0.05575640772349288
10 60 -5 -4 13.5 14 2961.659082428151 0.03346511967902188
10 60 -5 -4 14 14.5 2710.615357524288 0.02544884675262438
10 60 -5 -4 14.5 15 2484.100625194839 0.02217810222009575
10 60 -5 -4 15 16 4373.315050191096 0.09498665446335508
10 60 -5 -4 16 17 3698.968693753618 0.03089530013630792
10 60 -5 -4 17 18 3141.954018965413 0.02517663971411821
10 60 -5 -4 18 19 2679.295105285971 0.02034942303771459
10 60 -5 -4 19 20 2293.053504915266 0.01714232597896626
10 60 -5 -4 20 21 1969.097845867741 0.01439931496065583
10 60 -5 -4 21 22 1696.207221473722 0.01190112833887724
10 60 -5 -4 22 23 1465.409336938803 0.01176042228780716
10 60 -5 -4 23 24 1269.47990660985 0.01271795660409225
10 60 -5 -4 24 25 1102.569124876255 0.01217999158598104
10 60 -5 -4 25 26 959.9127543054153 0.01134682017641353
10 60 -5 -4 26 27 837.6118054728498 0.01052017817028172
10 60 -5 -4 27 28 732.4595312641387 0.01022727220220077
10 60 -5 -4 28 29 641.8040352878905 0.01050319078933626
10 60 -5 -4 29 30 563.4454354931154 0.01034446132450739
10 60 -5 -4 30 31 495.5517869411206 0.01021314118429473
10 60 -5 -4 31 32 436.5905545847295 0.009780331376020968
10 60 -5 -4 32 33 385.2750240670947 0.008885881774972404
10 60 -5 -4 33 34 340.5211421487343 0.008130852120814325
10 60 -5 -4 34 35 301.413073008869 0.007649180066152894
10 60 -5 -4 35 36 267.1746570503052 0.007186559989804664
10 60 -5 -4 36 37 237.1460324112826 0.006585416864083982
10 60 -5 -4 37 38 210.764849551253 0.006259904762657698
10 60 -5 -4 38 39 187.5508370651147 0.006138184109715894
10 60 -5 -4 39 40 167.0920735739959 0.006082868092107674
10 60 -5 -4 40 42 282.1087126164667 0.01073064368404175
10 60 -5 -4 42 44 225.3745753165233 0.008616112457758618
10 60 -5 -4 44 46 180.7658586775234 0.006238381887499145
10 60 -5 -4 46 48 145.5211844910048 0.003122245057937789
10 60 -5 -4 48 50 117.5498774945988 0.0006856615717794057
10 60 -5 -4 50 52 95.25756434487461 0.002757687545752674
10 60 -5 -4 52 54 77.42285957635566 0.0004496716918112043
10 60 -5 -4 54 56 63.1019869871452 0.0003678061702885316
10 60 -5 -4 56 58 51.56347670861217 0.0003000284185787905
10 60 -5 -4 58 60 42.23702402440031 0.0002461016911610159
10 60 -5 -4 60 65 75.52667451788707 0.000441805472348733
10 60 -5 -4 65 70 46.67967291543242 0.0002743112909229239
10 60 -5 -4 70 80 47.51914593023116 0.0009118298489170229
10 60 -5 -4 80 90 19.07339094845416 0.0004244429074162781
10 60 -5 -4 90 100 7.801674366900759 0.0002113188719725656
10 60 -4 -3.5 0 0.5 -310903.086133588 5.139502194419038
10 60 -4 -3.5 0.5 1 32956.81653059331 0.1097720099714934
10 60 -4 -3.5 1 1.5 43719.53308870373 1.945245744267595
10 60 -4 -3.5 1.5 2 36382.37700282771 1.366951090283692
10 60 -4 -3.5 2 2.5 29512.25650506036 0.9975304366344062
10 60 -4 -3.5 2.5 3 24194.54144901529 0.7756762421122403
10 60 -4 -3.5 3 3.5 20133.91108711966 0.6202277606644202
10 60 -4 -3.5 3.5 4 16990.24029248979 0.4909523376554716
10 60 -4 -3.5 4 4.5 14511.16976532356 0.3879816463941097
10 60 -4 -3.5 4.5 5 12520.87795315762 0.3065785659382527
10 60 -4 -3.5 5 5.5 10897.1074339244 0.2457985633973294
10 60 -4 -3.5 5.5 6 9553.620788611737 0.2006733933994838
10 60 -4 -3.5 6 6.5 8428.447361124021 0.164450798120015
10 60 -4 -3.5 6.5 7 7476.180121514934 0.1357594847077053
10 60 -4 -3.5 7 7.5 6662.924107322806 0.1135604690261971
10 60 -4 -3.5 7.5 8 5962.921958784905 0.09566534419991513
10 60 -4 -3.5 8 8.5 5356.279875126508 0.08055070969658118
10 60 -4 -3.5 8.5 9 4827.399556797307 0.06785476187997119
10 60 -4 -3.5 9 9.5 4363.882982241488 0.05724489560543589
