#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -466549.6683879739 8.425760909158271
10 60 -5 -4 0.5 1 64728.18420888943 0.7085984447257943
10 60 -5 -4 1 1.5 75361.91079730293 2.269962433099863
10 60 -5 -4 1.5 2 61329.29476741872 1.121766646960168
10 60 -5 -4 2 2.5 49286.61311382435 0.6237727754196385
10 60 -5 -4 2.5 3 40213.13448771992 0.3558948126301402
10 60 -5 -4 3 3.5 33375.66847873991 0.1952951081184437
10 60 -5 -4 3.5 4 28121.70743557994 0.09093613929871935
10 60 -5 -4 4 4.5 23996.61945831135 1.148978499986697
10 60 -5 -4 4.5 5 20693.04620645446 0.3876753604818077
10 60 -5 -4 5 5.5 18001.05846824473 0.1905272616968432
10 60 -5 -4 5.5 6 15774.42481354308 0.6557582293971791
10 60 -5 -4 6 6.5 13909.01451127274 0.08626518186792964
10 60 -5 -4 6.5 7 12329.08030014009 0.08983420325785119
10 60 -5 -4 7 7.5 10978.36704426593 0.09016635602529277
10 60 -5 -4 7.5 8 9814.324252170531 0.0881051506021322
10 60 -5 -4 8 8.5 8804.192203989956 0.08466559750013403
10 60 -5 -4 8.5 9 7922.351547936968 0.08075724545506091
10 60 -5 -4 9 9.5 7148.475966648022 0.07638876905275538
10 60 -5 -4 9.5 10 6466.222462947276 0.07115670213079284
10 60 -5 -4 10 10.5 5862.297951777205 0.0647283232983682
10 60 -5 -4 10.5 11 5325.774847495481 0.05931026882717561
10 60 -5 -4 11 11.5 4847.582085938871 0.05540221564933745
10 60 -5 -4 11.5 12 4420.126907687197 0.2111849202892699
10 60 -5 -4 12 12.5 4037.005319152664 0.1622125681265061
10 60 -5 -4 12.5 13 3692.779887883868 0.1227938820829877
10 60 -5 -4 13 13.5 3382.803834141765 0.09096493967035713
10 60 -5 -4 13.5 14 3103.086045409949 0.06526854155754336
10 60 -5 -4 14 14.5 2850.182345068075 0.04472233485921606
10 60 -5 -4 14.5 15 2621.106247096814 0.02887580750712004
10 60 -5 -4 15 16 4637.624653919524 0.07853929903194512
10 60 -5 -4 16 17 3948.172006544503 0.05274393217405304
10 60 -5 -4 17 18 3374.658298706444 0.1312491907033291
10 60 -5 -4 18 19 2895.065580414825 0.02790037948534518
10 60 -5 -4 19 20 2492.075727777874 0.02257553541858215
10 60 -5 -4 20 21 2151.949662450516 0.01854749652329701
10 60 -5 -4 21 22 1863.702503006291 0.01552597871159378
10 60 -5 -4 22 23 1618.490984433306 0.0126904614905925
10 60 -5 -4 23 24 1409.148453582123 0.01238143424757254
10 60 -5 -4 24 25 1229.835728999659 0.01180487893793725
10 60 -5 -4 25 26 1075.767127121592 0.01110503794961915
10 60 -5 -4 26 27 943.0032752255566 0.01039392363327352
10 60 -5 -4 27 28 828.2859137509171 0.01031495339384492
10 60 -5 -4 28 29 728.9047680673225 0.01099377471950902
10 60 -5 -4 29 30 642.5994742618504 0.01134488339289419
10 60 -5 -4 30 31 567.4776232824634 0.01174675440449846
