#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -940285.6641548485 12.10357195034157
10 60 -5 -4 0.5 1 21590.23379792905 0.4367301112579298
10 60 -5 -4 1 1.5 74390.53752396905 3.199364486164995
10 60 -5 -4 1.5 2 66996.84980551049 2.648995692186872
10 60 -5 -4 2 2.5 55895.86971238678 2.15759409857128
10 60 -5 -4 2.5 3 46449.52397758871 1.745932464124053
10 60 -5 -4 3 3.5 38940.45733531749 1.40955694551667
10 60 -5 -4 3.5 4 32998.31370250459 1.137840899406001
10 60 -5 -4 4 4.5 28248.01449983621 0.9224351625525742
10 60 -5 -4 4.5 5 24398.76014338624 1.197099299410183
10 60 -5 -4 5 5.5 21237.22503668555 0.6082789104875701
10 60 -5 -4 5.5 6 18608.05021829706 0.497449650800263
10 60 -5 -4 6 6.5 16397.26802341193 0.7874884466364165
10 60 -5 -4 6.5 7 14520.18801649638 0.3398980887177458
10 60 -5 -4 7 7.5 12912.9215853543 0.2839065080825094
10 60 -5 -4 7.5 8 11526.55034993803 0.2389335833140649
10 60 -5 -4 8 8.5 10323.05123944243 0.2019857791401591
10 60 -5 -4 8.5 9 9272.460253985886 0.1716561837292829
10 60 -5 -4 9 9.5 8350.853658599646 0.1459859959577443
10 60 -5 -4 9.5 10 7538.899632689571 0.1247556353810069
10 60 -5 -4 10 10.5 6820.807020937551 0.1083353598360191
10 60 -5 -4 10.5 11 6183.548139842079 0.09399887205472623
10 60 -5 -4 11 11.5 5616.277449672004 0.08080387584959681
10 60 -5 -4 11.5 12 5109.895102906867 0.236479734515342
10 60 -5 -4 12 12.5 4656.710211641946 0.1772986835021584
10 60 -5 -4 12.5 13 4250.182462460699 0.130081198465632
10 60 -5 -4 13 13.5 3884.715976031719 0.09233838481532075
10 60 -5 -4 13.5 14 3555.500185144293 0.06219715182260188
10 60 -5 -4 14 14.5 3258.381201968886 0.03845471457589156
10 60 -5 -4 14.5 15 2989.755412258661 0.03362222698024198
10 60 -5 -4 15 16 5272.31626510921 0.05716880614363617
10 60 -5 -4 16 17 4468.441013963293 0.1496438885760654
10 60 -5 -4 17 18 3802.416392722707 0.03832203494721398
10 60 -5 -4 18 19 3247.721842986629 0.03105776910433633
10 60 -5 -4 19 20 2783.532886508136 0.02616233659591671
10 60 -5 -4 20 21 2393.362759587128 0.02193754775043999
