#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -201402.8038412665 7.211368045565905
10 60 -5 -4 0.5 1 93795.08371217635 4.596918985756929
10 60 -5 -4 1 1.5 77128.5078711572 1.562600343881059
10 60 -5 -4 1.5 2 58241.26059848053 0.7034732787069515
10 60 -5 -4 2 2.5 45192.0035023719 0.3453121174388798
10 60 -5 -4 2.5 3 36100.7544443993 0.1599582381822984
10 60 -5 -4 3 3.5 29530.71873838135 0.05295288922206964
10 60 -5 -4 3.5 4 24615.06418273147 1.139019326110429
10 60 -5 -4 4 4.5 20827.56790566283 0.3788253412458289
10 60 -5 -4 4.5 5 17837.11851173301 0.1896988409389451
10 60 -5 -4 5 5.5 15427.55930637565 0.6150797928221436
10 60 -5 -4 5.5 6 13452.86550600752 0.1084039071301959
10 60 -5 -4 6 6.5 11811.38266813324 0.1094797711757565
10 60 -5 -4 6.5 7 10430.4160570684 0.1067056936371955
10 60 -5 -4 7 7.5 9256.730443951796 0.1021556380310358
10 60 -5 -4 7.5 8 8250.511531884618 0.09647682415561576
10 60 -5 -4 8 8.5 7381.402298960674 0.09032046824358986
10 60 -5 -4 8.5 9 6625.860795606764 0.08418614770289423
10 60 -5 -4 9 9.5 5965.347737160434 0.07811988243065571
10 60 -5 -4 9.5 10 5385.057994905532 0.07179498811274243
10 60 -5 -4 10 10.5 4873.023540919633 0.06491326743162062
10 60 -5 -4 10.5 11 4419.46225397645 0.05901897310468485
10 60 -5 -4 11 11.5 4016.297593210395 0.1990379382755236
10 60 -5 -4 11.5 12 3656.803079595255 0.152488038203046
10 60 -5 -4 12 12.5 3335.332188543685 0.1150018878947776
10 60 -5 -4 12.5 13 3047.111791479202 0.08500892363235835
10 60 -5 -4 13 13.5 2788.0801814743 0.0609555194632776
10 60 -5 -4 13.5 14 2554.762478255604 0.04167953497108101
10 60 -5 -4 14 14.5 2344.171041652692 0.03005079437025415
10 60 -5 -4 14.5 15 2153.724434174934 0.02768493463736377
10 60 -5 -4 15 16 3805.77931173151 0.04784224970035211
10 60 -5 -4 16 17 3234.937752213128 0.08679377290627599
10 60 -5 -4 17 18 2761.218679222114 0.03193148348236718
10 60 -5 -4 18 19 2365.909734426915 0.02676756609707809
10 60 -5 -4 19 20 2034.360216501618 0.02182461644247269
10 60 -5 -4 20 21 1754.994513028795 0.01800252856560292
10 60 -5 -4 21 22 1518.59122572879 0.01511256780690928
10 60 -5 -4 22 23 1317.750843992352 0.01246137754787924
10 60 -5 -4 23 24 1146.494430813883 0.010432923738108
10 60 -5 -4 24 25 999.9631338123194 0.009969799221721587
10 60 -5 -4 25 26 874.1843408748308 0.009414656272156208
10 60 -5 -4 26 27 765.8948001802036 0.008860732931907478
10 60 -5 -4 27 28 672.4005933399866 0.008765814647858861
10 60 -5 -4 28 29 591.4651693123268 0.009206271255948195
10 60 -5 -4 29 30 521.2261306102606 0.009406853599671194
10 60 -5 -4 30 31 460.1264386913504 0.009628154491451824
10 60 -5 -4 31 32 406.8585966894293 0.00933452467626239
10 60 -5 -4 32 33 360.3208404789528 0.0084062880014244
10 60 -5 -4 33 34 319.5813007381582 0.007621928863727589
10 60 -5 -4 34 35 283.8497587761692 0.007169669022459857
10 60 -5 -4 35 36 252.4540320844804 0.006753648576506066
10 60 -5 -4 36 37 224.8203791306201 0.006280756988360281
10 60 -5 -4 37 38 200.4581465616978 0.006066477426088568
10 60 -5 -4 38 39 178.9469036927116 0.006041104094208549
10 60 -5 -4 39 40 159.9247140985441 0.006057148057720951
10 60 -5 -4 40 42 271.2319888621537 0.008964153007127607
10 60 -5 -4 42 44 217.9630263157453 0.009050719208715918
10 60 -5 -4 44 46 175.8237840503974 0.006852907622942439
10 60 -5 -4 46 48 142.3278325646431 0.003994240113343039
10 60 -5 -4 48 50 115.5879435750487 0.001193871714136208
10 60 -5 -4 50 52 94.1555429334187 0.001595826140729173
10 60 -5 -4 52 54 76.91381413791579 0.003781960319145128
10 60 -5 -4 54 56 62.99520262436897 2.332662420911902e-05
10 60 -5 -4 56 58 51.72230312663314 7.585081370109492e-05
10 60 -5 -4 58 60 42.56442939664909 5.088544443054843e-05
10 60 -5 -4 60 65 76.68299541203235 0.0001518384212744195
10 60 -5 -4 65 70 47.9061617915813 9.370643526551703e-05
10 60 -5 -4 70 80 49.45503113442767 0.0007378093308361144
10 60 -5 -4 80 90 20.22884573080126 0.0003654837369566621
10 60 -5 -4 90 100 8.420905118025203 0.0001912249080469053
10 60 -4 -3.5 0 0.5 -145441.9666372592 3.327730507473461
10 60 -4 -3.5 0.5 1 42877.77100288654 0.3351205641156412
10 60 -4 -3.5 1 1.5 40175.38381077717 1.238274372408341
10 60 -4 -3.5 1.5 2 31506.08210610543 0.626968342512555
10 60 -4 -3.5 2 2.5 24964.94097406416 0.3484102418588009
10 60 -4 -3.5 2.5 3 20233.09324098213 0.2147034672161681
10 60 -4 -3.5 3 3.5 16736.48315730654 0.1382461943940143
10 60 -4 -3.5 3.5 4 14080.0864977459 0.1027673086464347
10 60 -4 -3.5 4 4.5 12009.87486870723 0.09281511054359726
10 60 -4 -3.5 4.5 5 10360.60040529408 0.0802861230004055
10 60 -4 -3.5 5 5.5 9021.908622071305 0.07029103648710588
10 60 -4 -3.5 5.5 6 7918.008707641427 0.06115630974454689
10 60 -4 -3.5 6 6.5 6995.450169869758 0.05332342085694108
10 60 -4 -3.5 6.5 7 6215.611735174529 0.04792641620042559
10 60 -4 -3.5 7 7.5 5549.968353226819 0.04412036487065052
10 60 -4 -3.5 7.5 8 4977.026291587832 0.04072415397240547
10 60 -4 -3.5 8 8.5 4480.295035493067 0.03836678103380109
10 60 -4 -3.5 8.5 9 4046.917033302324 0.03640565940713714
10 60 -4 -3.5 9 9.5 3666.717463745441 0.034354867717866
10 60 -4 -3.5 9.5 10 3331.538530391943 0.03266213007464103
10 60 -4 -3.5 10 10.5 3034.76134977232 0.03107688214322479
10 60 -4 -3.5 10.5 11 2770.958613060469 0.02984674511071717
10 60 -4 -3.5 11 11.5 2535.637248451362 0.1225725309268455
10 60 -4 -3.5 11.5 12 2325.045826986682 0.09638163279987566
10 60 -4 -3.5 12 12.5 2136.02937826518 0.07527529225126273
10 60 -4 -3.5 12.5 13 1965.915423795872 0.05824249606553167
10 60 -4 -3.5 13 13.5 1812.426673529492 0.04449551563834575
10 60 -4 -3.5 13.5 14 1673.61205869131 0.03344884341731813
10 60 -4 -3.5 14 14.5 1547.791169171316 0.02453369686668339
10 60 -4 -3.5 14.5 15 1433.510839405412 0.01739566173137064
10 60 -4 -3.5 15 16 2564.193984688229 0.07455220864449075
10 60 -4 -3.5 16 17 2216.914741662412 0.02429096325204227
10 60 -4 -3.5 17 18 1925.812526678917 0.02008513301552739
10 60 -4 -3.5 18 19 1680.289889558 0.04164718193328554
10 60 -4 -3.5 19 20 1472.032839175215 0.05356981900945357
10 60 -4 -3.5 20 21 1294.456694667448 0.05925149492713899
10 60 -4 -3.5 21 22 1142.302816656623 0.01005912389177865
10 60 -4 -3.5 22 23 1011.339676850558 0.008681504838023102
10 60 -4 -3.5 23 24 898.1373847850477 0.007492989872844191
10 60 -4 -3.5 24 25 799.89876086699 0.006519891014704626
10 60 -4 -3.5 25 26 714.3275492487095 0.005639758863253519
10 60 -4 -3.5 26 27 639.5288713110864 0.004922402451143171
10 60 -4 -3.5 27 28 573.9299390728422 0.005247736591172725
10 60 -4 -3.5 28 29 516.2199933348189 0.005789578520307259
10 60 -4 -3.5 29 30 465.3006704735934 0.006526251875982325
10 60 -4 -3.5 30 31 420.2475775003775 0.007380601312661383
10 60 -4 -3.5 31 32 380.2797391642948 0.008434510639403925
10 60 -4 -3.5 32 33 344.208291939572 0.009519870537928909
10 60 -4 -3.5 33 34 313.0470216933006 0.01041315067402593
10 60 -4 -3.5 34 35 284.7351406914073 0.01087883513105226
10 60 -4 -3.5 35 36 259.3846176495327 0.01108535862198323
10 60 -4 -3.5 36 37 236.6392129428453 0.01111825505654451
10 60 -4 -3.5 37 38 216.1915081211395 0.001192440493753111
10 60 -4 -3.5 38 39 197.7752742644264 0.001056562559881513
10 60 -4 -3.5 39 40 181.159080234987 0.000936594264857149
10 60 -4 -3.5 40 42 318.6885916414751 0.001567930814815099
10 60 -4 -3.5 42 44 269.2506953133914 0.001237156166723707
10 60 -4 -3.5 44 46 228.4389220307016 0.0009776714458382685
10 60 -4 -3.5 46 48 194.5628424160347 0.000772881874866016
10 60 -4 -3.5 48 50 166.3012172013804 0.0006113468139119504
10 60 -4 -3.5 50 52 142.6131206824554 0.0004827960176783108
