#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -421620.6019071671 12.50417803920573
10 60 -5 -4 0.5 1 112945.8298552082 3.845702558333869
10 60 -5 -4 1 1.5 100703.9735037222 3.370487134438008
10 60 -5 -4 1.5 2 76955.70240938428 2.625357286829967
10 60 -5 -4 2 2.5 59739.53452212524 2.068052600814553
10 60 -5 -4 2.5 3 47552.57261201802 1.636839526770927
10 60 -5 -4 3 3.5 38691.63769519534 1.297231784919859
10 60 -5 -4 3.5 4 32051.42303568537 1.029088197330566
10 60 -5 -4 4 4.5 26939.64506136288 1.22325666069446
10 60 -5 -4 4.5 5 22913.40763432824 0.6534872570009611
10 60 -5 -4 5 5.5 19680.394149689 0.5203494078305084
10 60 -5 -4 5.5 6 17041.82319834398 0.8519726368795091
10 60 -5 -4 6 6.5 14858.64307010181 0.3370701327221468
10 60 -5 -4 6.5 7 13031.11058274228 0.2735895042060292
10 60 -5 -4 7 7.5 11486.05130619417 0.225102582036925
10 60 -5 -4 7.5 8 10168.66253099613 0.1876375270494464
10 60 -5 -4 8 8.5 9037.140817892079 0.157265780168018
10 60 -5 -4 8.5 9 8059.068505718545 0.1328517294286939
10 60 -5 -4 9 9.5 7208.928146571083 0.1122503973601852
10 60 -5 -4 9.5 10 6466.366263128808 0.09505720291963371
10 60 -5 -4 10 10.5 5814.953050195018 0.08139667440718767
10 60 -5 -4 10.5 11 5241.28329204998 0.2466629469427062
10 60 -5 -4 11 11.5 4734.314179935232 0.1783348376784488
10 60 -5 -4 11.5 12 4284.872484323746 0.1249212784668998
10 60 -5 -4 12 12.5 3885.278703628668 0.08310529879281603
10 60 -5 -4 12.5 13 3529.061453538223 0.05064926107979772
10 60 -5 -4 13 13.5 3210.733009365763 0.03482588661654518
10 60 -5 -4 13.5 14 2925.6154794111 0.03096475197935433
10 60 -5 -4 14 14.5 2669.701779199402 0.02742232945956857
10 60 -5 -4 14.5 15 2439.543012390329 0.02392238476522834
10 60 -5 -4 15 16 4277.125926359653 0.04043717094464228
10 60 -5 -4 16 17 3598.159411592764 0.03280341765776029
10 60 -5 -4 17 18 3040.602325996619 0.02640632507336704
10 60 -5 -4 18 19 2580.079480020676 0.02133590122457463
10 60 -5 -4 19 20 2197.679290450678 0.01770924453057887
10 60 -5 -4 20 21 1878.594707854143 0.01476721155108862
10 60 -5 -4 21 22 1611.137148343039 0.01212778969875217
10 60 -5 -4 22 23 1386.012646505105 0.01180524454684928
10 60 -5 -4 23 24 1195.778784679268 0.01222983781531184
10 60 -5 -4 24 25 1034.440442089265 0.01139498199972877
10 60 -5 -4 25 26 897.1401951414738 0.01070155880620405
10 60 -5 -4 26 27 779.9218827386853 0.01043877033475837
10 60 -5 -4 27 28 679.5468443468643 0.01054550046296754
10 60 -5 -4 28 29 593.3495534955197 0.01071368806742612
10 60 -5 -4 29 30 519.1285052009164 0.01026794079132287
10 60 -5 -4 30 31 455.058358552591 0.009852103159573744
10 60 -5 -4 31 32 399.6184346849275 0.009334508621861914
10 60 -5 -4 32 33 351.5370434494614 0.008557899967797766
10 60 -5 -4 33 34 309.7472614999522 0.007880823232994771
10 60 -5 -4 34 35 273.3512852470568 0.007359239410163809
10 60 -5 -4 35 36 241.5910715541791 0.006841685162214617
10 60 -5 -4 36 37 213.8246498907956 0.006175307652455331
10 60 -5 -4 37 38 189.5067708002859 0.00576707796560072
10 60 -5 -4 38 39 168.1732821027218 0.005530974956201362
10 60 -5 -4 39 40 149.4276041243725 0.005316430574708875
10 60 -5 -4 40 42 251.320319689824 0.00883631969304588
10 60 -5 -4 42 44 199.7696631630378 0.006320450891934115
10 60 -5 -4 44 46 159.4559004112215 0.003955781977111883
10 60 -5 -4 46 48 127.7698899414285 0.001268376123292114
10 60 -5 -4 48 50 102.7483477757611 0.001119788615497441
10 60 -5 -4 50 52 82.90281602586511 0.00322512648187967
10 60 -5 -4 52 54 67.09934056594723 0.0003821860604489302
10 60 -5 -4 54 56 54.46625967117795 0.0003103125270342844
10 60 -5 -4 56 58 44.33168929221775 0.0002513765134608548
10 60 -5 -4 58 60 36.17436115727521 0.0002048218229901977
10 60 -5 -4 60 65 64.28970425184039 0.0003638187431675988
10 60 -5 -4 65 70 39.38600761078955 0.0002224519148583681
10 60 -5 -4 70 80 39.63841974266038 0.0009162288563899779
10 60 -5 -4 80 90 15.66625718003602 0.0004105951400728003
10 60 -5 -4 90 100 6.316327255361326 0.0001940327972853595
10 60 -4 -3.5 0 0.5 -299059.3569462433 6.017531573481392
10 60 -4 -3.5 0.5 1 48750.989926329 2.131976306249271
10 60 -4 -3.5 1 1.5 52305.00535943214 2.328667472800589
10 60 -4 -3.5 1.5 2 41789.29741827712 1.66532774172083
10 60 -4 -3.5 2 2.5 33203.5874326129 1.223054826259613
10 60 -4 -3.5 2.5 3 26844.97055355995 0.9445979861775413
10 60 -4 -3.5 3 3.5 22103.20525324911 0.7461608148696541
10 60 -4 -3.5 3.5 4 18489.58886726604 0.5846497528546024
10 60 -4 -3.5 4 4.5 15673.34284490162 0.458392006215945
10 60 -4 -3.5 4.5 5 13433.77350557975 0.3598947810387472
10 60 -4 -3.5 5 5.5 11621.31400120087 0.2868969627725164
10 60 -4 -3.5 5.5 6 10132.29006302785 0.2330504938763625
10 60 -4 -3.5 6 6.5 8893.143892123577 0.1902374358251109
10 60 -4 -3.5 6.5 7 7850.512911710224 0.1565094021943878
10 60 -4 -3.5 7 7.5 6964.883984425531 0.1303538068141279
10 60 -4 -3.5 7.5 8 6206.437958610452 0.1092767269210526
10 60 -4 -3.5 8 8.5 5552.277760600914 0.09156380119111418
10 60 -4 -3.5 8.5 9 4984.550236927387 0.07669407363027858
10 60 -4 -3.5 9 9.5 4489.132643541138 0.06442715052253334
